# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
hn0-hadoop;5;2024-07-09 21:39:52 UTC;eth0;109.20;126.00;42.63;106.49;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-09 21:39:52 UTC;lo;29.20;29.20;19.85;19.85;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-09 21:39:57 UTC;eth0;131.74;131.34;64.12;54.79;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-09 21:39:57 UTC;lo;25.95;25.95;15.00;15.00;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-09 21:40:02 UTC;eth0;124.60;120.80;67.28;36.84;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-09 21:40:02 UTC;lo;31.40;31.40;24.17;24.17;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-09 21:40:07 UTC;eth0;124.20;129.00;53.16;77.12;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-09 21:40:07 UTC;lo;19.80;19.80;9.43;9.43;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-09 21:40:12 UTC;eth0;141.60;135.20;77.12;38.95;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-09 21:40:12 UTC;lo;80.60;80.60;55.13;55.13;0.00;0.00;0.00;0.00
