# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
hn0-hadoop;5;2024-07-09 21:47:09 UTC;-1;28.56;0.00;13.34;0.06;0.00;58.04
hn0-hadoop;5;2024-07-09 21:47:14 UTC;-1;41.64;0.00;24.00;0.06;0.00;34.30
hn0-hadoop;5;2024-07-09 21:47:19 UTC;-1;50.87;0.00;23.61;0.06;0.00;25.46
hn0-hadoop;5;2024-07-09 21:47:24 UTC;-1;35.20;0.00;15.12;6.64;0.00;43.05
hn0-hadoop;5;2024-07-09 21:47:29 UTC;-1;8.99;0.00;7.45;3.09;0.00;80.48
hn0-hadoop;5;2024-07-09 21:47:34 UTC;-1;15.28;0.00;7.75;0.00;0.00;76.98
hn0-hadoop;5;2024-07-09 21:47:39 UTC;-1;45.70;0.00;13.55;0.00;0.00;40.75
hn0-hadoop;5;2024-07-09 21:47:44 UTC;-1;54.34;0.00;20.07;0.00;0.00;25.59
hn0-hadoop;5;2024-07-09 21:47:49 UTC;-1;53.74;0.00;19.85;0.12;0.00;26.28
hn0-hadoop;5;2024-07-09 21:47:54 UTC;-1;57.98;0.00;23.12;0.19;0.00;18.71
hn0-hadoop;5;2024-07-09 21:47:59 UTC;-1;49.94;0.00;15.22;0.00;0.00;34.84
hn0-hadoop;5;2024-07-09 21:48:04 UTC;-1;23.53;0.00;6.71;0.05;0.00;69.71
hn0-hadoop;5;2024-07-09 21:48:09 UTC;-1;5.18;0.00;5.07;0.00;0.00;89.75
hn0-hadoop;5;2024-07-09 21:48:14 UTC;-1;7.87;0.00;4.89;0.00;0.00;87.23
hn0-hadoop;5;2024-07-09 21:48:19 UTC;-1;17.50;0.00;7.71;0.00;0.00;74.79
hn0-hadoop;5;2024-07-09 21:48:24 UTC;-1;21.33;0.00;9.13;0.22;0.00;69.32
hn0-hadoop;5;2024-07-09 21:48:29 UTC;-1;24.71;0.00;10.31;0.06;0.00;64.93
hn0-hadoop;5;2024-07-09 21:48:34 UTC;-1;7.86;0.00;6.27;0.00;0.00;85.87
