# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
hn0-hadoop;5;2024-07-09 21:58:30 UTC;eth0;128.60;123.00;66.75;36.90;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-09 21:58:30 UTC;lo;40.40;40.40;34.28;34.28;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-09 21:58:35 UTC;eth0;118.80;117.20;62.74;51.49;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-09 21:58:35 UTC;lo;28.60;28.60;16.61;16.61;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-09 21:58:40 UTC;eth0;153.40;145.40;85.54;39.67;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-09 21:58:40 UTC;lo;50.40;50.40;78.41;78.41;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-09 21:58:45 UTC;eth0;113.60;114.80;58.43;49.87;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-09 21:58:45 UTC;lo;30.80;30.80;19.01;19.01;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-09 21:58:50 UTC;eth0;138.60;140.80;66.77;117.04;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-09 21:58:50 UTC;lo;20.00;20.00;11.64;11.64;0.00;0.00;0.00;0.00
