# hostname;interval;timestamp;tps;rtps;wtps;bread/s;bwrtn/s
hn0-hadoop;5;2024-07-09 22:43:51 UTC;13.20;9.20;4.00;336.00;449.60
hn0-hadoop;5;2024-07-09 22:43:56 UTC;3.80;1.20;2.60;17.60;270.40
hn0-hadoop;5;2024-07-09 22:44:01 UTC;3.80;2.00;1.80;28.80;22.40
hn0-hadoop;5;2024-07-09 22:44:06 UTC;37.20;2.80;34.40;28.80;9536.00
hn0-hadoop;5;2024-07-09 22:44:11 UTC;10.18;5.19;4.99;73.45;73.45
hn0-hadoop;5;2024-07-09 22:44:16 UTC;25.60;16.00;9.60;326.40;179.20
hn0-hadoop;5;2024-07-09 22:44:21 UTC;111.58;108.58;2.99;2200.40;27.15
hn0-hadoop;5;2024-07-09 22:44:26 UTC;12.80;8.60;4.20;142.40;91.20
hn0-hadoop;5;2024-07-09 22:44:31 UTC;3.80;0.20;3.60;1.60;521.60
hn0-hadoop;5;2024-07-09 22:44:36 UTC;8.20;5.60;2.60;264.00;206.40
hn0-hadoop;5;2024-07-09 22:44:41 UTC;21.56;12.97;8.58;257.09;135.73
hn0-hadoop;5;2024-07-09 22:44:46 UTC;11.00;6.60;4.40;184.00;97.60
hn0-hadoop;5;2024-07-09 22:44:51 UTC;7.60;2.00;5.60;38.40;507.20
hn0-hadoop;5;2024-07-09 22:44:56 UTC;4.60;0.80;3.80;8.00;470.40
hn0-hadoop;5;2024-07-09 22:45:01 UTC;46.00;43.40;2.60;3990.40;83.20
hn0-hadoop;5;2024-07-09 22:45:06 UTC;36.20;11.00;25.20;532.80;968.00
hn0-hadoop;5;2024-07-09 22:45:11 UTC;19.40;2.60;16.80;32.00;513.60
hn0-hadoop;5;2024-07-09 22:45:16 UTC;8.00;2.60;5.40;25.60;62.40
hn0-hadoop;5;2024-07-09 22:45:21 UTC;8.20;2.80;5.40;35.20;475.20
hn0-hadoop;5;2024-07-09 22:45:26 UTC;4.99;1.80;3.19;20.76;31.94
hn0-hadoop;5;2024-07-09 22:45:31 UTC;5.80;1.80;4.00;24.00;60.80
hn0-hadoop;5;2024-07-09 22:45:36 UTC;3.20;0.40;2.80;3.20;248.00
hn0-hadoop;5;2024-07-09 22:45:41 UTC;10.20;2.80;7.40;30.40;323.20
hn0-hadoop;5;2024-07-09 22:45:46 UTC;3.80;1.40;2.40;11.20;438.40
hn0-hadoop;5;2024-07-09 22:45:51 UTC;3.60;1.00;2.60;8.00;32.00
hn0-hadoop;5;2024-07-09 22:45:56 UTC;2.80;0.00;2.80;0.00;35.20
hn0-hadoop;5;2024-07-09 22:46:01 UTC;3.20;0.60;2.60;4.80;27.20
hn0-hadoop;5;2024-07-09 22:46:06 UTC;19.60;0.40;19.20;6.40;294.40
hn0-hadoop;5;2024-07-09 22:46:11 UTC;11.80;2.00;9.80;59.20;584.00
hn0-hadoop;5;2024-07-09 22:46:16 UTC;4.59;1.20;3.39;9.58;108.58
hn0-hadoop;5;2024-07-09 22:46:21 UTC;8.20;1.20;7.00;9.60;59.20
hn0-hadoop;5;2024-07-09 22:46:26 UTC;7.40;2.40;5.00;172.80;38.40
hn0-hadoop;5;2024-07-09 22:46:31 UTC;3.20;0.40;2.80;3.20;28.80
hn0-hadoop;5;2024-07-09 22:46:36 UTC;7.58;3.19;4.39;25.55;384.83
hn0-hadoop;5;2024-07-09 22:46:41 UTC;9.40;0.80;8.60;6.40;542.40
hn0-hadoop;5;2024-07-09 22:46:46 UTC;1.20;0.00;1.20;0.00;57.60
hn0-hadoop;5;2024-07-09 22:46:51 UTC;2.00;0.60;1.40;4.80;28.80
hn0-hadoop;5;2024-07-09 22:46:56 UTC;15.40;11.40;4.00;497.60;59.20
hn0-hadoop;5;2024-07-09 22:47:01 UTC;2.00;0.60;1.40;14.40;24.00
hn0-hadoop;5;2024-07-09 22:47:06 UTC;20.60;0.00;20.60;0.00;763.20
hn0-hadoop;5;2024-07-09 22:47:11 UTC;14.20;3.60;10.60;73.60;633.60
hn0-hadoop;5;2024-07-09 22:47:16 UTC;4.60;0.20;4.40;6.40;75.20
hn0-hadoop;5;2024-07-09 22:47:21 UTC;5.40;0.00;5.40;0.00;84.80
hn0-hadoop;5;2024-07-09 22:47:26 UTC;6.00;0.80;5.20;11.20;44.80
hn0-hadoop;5;2024-07-09 22:47:31 UTC;1.80;0.80;1.00;6.40;14.40
hn0-hadoop;5;2024-07-09 22:47:36 UTC;1.80;0.00;1.80;0.00;180.80
hn0-hadoop;5;2024-07-09 22:47:41 UTC;9.80;0.60;9.20;4.80;129.60
hn0-hadoop;5;2024-07-09 22:47:46 UTC;4.40;0.40;4.00;8.00;673.60
hn0-hadoop;5;2024-07-09 22:47:51 UTC;2.80;0.40;2.40;4.80;25.60
hn0-hadoop;5;2024-07-09 22:47:56 UTC;2.00;0.00;2.00;0.00;75.20
hn0-hadoop;5;2024-07-09 22:48:01 UTC;1.40;0.40;1.00;11.20;14.40
hn0-hadoop;5;2024-07-09 22:48:06 UTC;2.00;0.20;1.80;4.80;123.20
hn0-hadoop;5;2024-07-09 22:48:11 UTC;19.40;2.80;16.60;28.80;171.20
hn0-hadoop;5;2024-07-09 22:48:16 UTC;10.00;0.00;10.00;0.00;174.40
hn0-hadoop;5;2024-07-09 22:48:21 UTC;3.80;0.20;3.60;1.60;86.40
hn0-hadoop;5;2024-07-09 22:48:26 UTC;5.20;1.60;3.60;22.40;35.20
hn0-hadoop;5;2024-07-09 22:48:31 UTC;1.60;0.20;1.40;1.60;62.40
hn0-hadoop;5;2024-07-09 22:48:36 UTC;30.40;29.40;1.00;548.80;129.60
