# hostname;interval;timestamp;tps;rtps;wtps;bread/s;bwrtn/s
hn0-hadoop;5;2024-07-09 23:21:23 UTC;14.77;6.99;7.78;217.17;49.50
hn0-hadoop;5;2024-07-09 23:21:28 UTC;18.80;13.40;5.40;158.40;52.80
hn0-hadoop;5;2024-07-09 23:21:33 UTC;3.60;1.60;2.00;14.40;323.20
hn0-hadoop;5;2024-07-09 23:21:38 UTC;3.60;0.60;3.00;11.20;443.20
hn0-hadoop;5;2024-07-09 23:21:43 UTC;6.80;2.00;4.80;16.00;57.60
hn0-hadoop;5;2024-07-09 23:21:48 UTC;17.00;3.80;13.20;49.60;1424.00
hn0-hadoop;5;2024-07-09 23:21:53 UTC;26.60;1.00;25.60;11.20;3200.00
hn0-hadoop;5;2024-07-09 23:21:58 UTC;6.40;1.80;4.60;35.20;484.80
hn0-hadoop;5;2024-07-09 23:22:03 UTC;5.39;3.39;2.00;167.66;25.55
hn0-hadoop;5;2024-07-09 23:22:08 UTC;2.00;0.20;1.80;1.60;25.60
hn0-hadoop;5;2024-07-09 23:22:13 UTC;4.40;1.20;3.20;16.00;46.40
hn0-hadoop;5;2024-07-09 23:22:18 UTC;10.60;0.20;10.40;1.60;800.00
hn0-hadoop;5;2024-07-09 23:22:23 UTC;4.40;1.00;3.40;11.20;33.60
hn0-hadoop;5;2024-07-09 23:22:28 UTC;3.39;0.20;3.19;1.60;480.64
hn0-hadoop;5;2024-07-09 23:22:33 UTC;1.40;0.00;1.40;0.00;83.20
hn0-hadoop;5;2024-07-09 23:22:38 UTC;10.00;0.40;9.60;11.20;350.40
hn0-hadoop;5;2024-07-09 23:22:43 UTC;2.00;0.20;1.80;1.60;33.60
hn0-hadoop;5;2024-07-09 23:22:48 UTC;18.60;1.20;17.40;16.00;376.00
hn0-hadoop;5;2024-07-09 23:22:53 UTC;4.60;1.20;3.40;17.60;40.00
hn0-hadoop;5;2024-07-09 23:22:58 UTC;2.00;0.40;1.60;6.40;19.20
hn0-hadoop;5;2024-07-09 23:23:03 UTC;3.20;0.40;2.80;6.40;129.60
hn0-hadoop;5;2024-07-09 23:23:08 UTC;6.60;5.20;1.40;84.80;19.20
hn0-hadoop;5;2024-07-09 23:23:13 UTC;4.20;1.00;3.20;9.60;49.60
hn0-hadoop;5;2024-07-09 23:23:18 UTC;27.40;1.80;25.60;16.00;860.80
hn0-hadoop;5;2024-07-09 23:23:23 UTC;6.60;0.20;6.40;1.60;51.20
hn0-hadoop;5;2024-07-09 23:23:28 UTC;3.60;0.60;3.00;16.00;438.40
hn0-hadoop;5;2024-07-09 23:23:33 UTC;4.60;0.60;4.00;9.60;44.80
hn0-hadoop;5;2024-07-09 23:23:38 UTC;2.80;0.00;2.80;0.00;72.00
hn0-hadoop;5;2024-07-09 23:23:43 UTC;6.80;4.80;2.00;48.00;38.40
hn0-hadoop;5;2024-07-09 23:23:48 UTC;10.20;1.20;9.00;9.60;478.40
hn0-hadoop;5;2024-07-09 23:23:53 UTC;1.40;0.40;1.00;4.80;20.80
hn0-hadoop;5;2024-07-09 23:23:58 UTC;2.20;0.60;1.60;15.97;25.55
hn0-hadoop;5;2024-07-09 23:24:03 UTC;3.80;0.40;3.40;16.00;40.00
hn0-hadoop;5;2024-07-09 23:24:08 UTC;3.00;0.40;2.60;14.40;27.20
hn0-hadoop;5;2024-07-09 23:24:13 UTC;4.20;0.80;3.40;32.00;92.80
hn0-hadoop;5;2024-07-09 23:24:18 UTC;3.40;0.60;2.80;6.40;206.40
hn0-hadoop;5;2024-07-09 23:24:23 UTC;22.80;0.00;22.80;0.00;672.00
hn0-hadoop;5;2024-07-09 23:24:28 UTC;1.20;0.40;0.80;6.40;12.80
hn0-hadoop;5;2024-07-09 23:24:33 UTC;1.60;0.00;1.60;0.00;19.20
hn0-hadoop;5;2024-07-09 23:24:38 UTC;3.40;0.40;3.00;19.20;40.00
hn0-hadoop;5;2024-07-09 23:24:43 UTC;3.79;0.00;3.79;0.00;36.73
hn0-hadoop;5;2024-07-09 23:24:48 UTC;7.80;0.00;7.80;0.00;339.20
hn0-hadoop;5;2024-07-09 23:24:53 UTC;6.99;0.40;6.59;19.16;118.16
hn0-hadoop;5;2024-07-09 23:24:58 UTC;9.20;7.80;1.40;489.60;33.60
hn0-hadoop;5;2024-07-09 23:25:03 UTC;20.00;16.00;4.00;2075.20;83.20
hn0-hadoop;5;2024-07-09 23:25:08 UTC;2.20;0.00;2.20;0.00;32.00
hn0-hadoop;5;2024-07-09 23:25:13 UTC;7.20;2.80;4.40;36.80;64.00
hn0-hadoop;5;2024-07-09 23:25:18 UTC;8.20;0.40;7.80;8.00;1075.20
hn0-hadoop;5;2024-07-09 23:25:23 UTC;20.96;0.00;20.96;0.00;293.81
hn0-hadoop;5;2024-07-09 23:25:28 UTC;4.60;1.40;3.20;20.80;49.60
hn0-hadoop;5;2024-07-09 23:25:33 UTC;3.60;0.80;2.80;11.20;230.40
hn0-hadoop;5;2024-07-09 23:25:38 UTC;1.40;0.60;0.80;11.20;19.20
hn0-hadoop;5;2024-07-09 23:25:43 UTC;2.80;1.60;1.20;12.80;16.00
hn0-hadoop;5;2024-07-09 23:25:48 UTC;7.80;0.60;7.20;4.80;635.20
hn0-hadoop;5;2024-07-09 23:25:53 UTC;9.40;0.60;8.80;6.40;128.00
hn0-hadoop;5;2024-07-09 23:25:58 UTC;3.40;0.00;3.40;0.00;75.20
hn0-hadoop;5;2024-07-09 23:26:03 UTC;18.60;16.00;2.60;283.20;30.40
