# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
hn0-hadoop;5;2024-07-09 23:21:23 UTC;938040;1133912;7198492;88.47;32500;411792;13301704;85.95;5506144;1302876;8048
hn0-hadoop;5;2024-07-09 23:21:28 UTC;1147208;1342908;6989324;85.90;32500;411640;12971480;83.81;5298308;1301472;7588
hn0-hadoop;5;2024-07-09 23:21:33 UTC;1145072;1341428;6991460;85.93;32500;412300;12978664;83.86;5298984;1302112;7492
hn0-hadoop;5;2024-07-09 23:21:38 UTC;1132864;1329636;7003668;86.08;32500;412716;12994020;83.96;5309952;1302204;6852
hn0-hadoop;5;2024-07-09 23:21:43 UTC;1119404;1317284;7017128;86.24;32500;413804;13006528;84.04;5323288;1300840;7940
hn0-hadoop;5;2024-07-09 23:21:48 UTC;1011420;1209800;7125112;87.57;32536;414208;13259940;85.68;5431076;1300820;10868
hn0-hadoop;5;2024-07-09 23:21:53 UTC;1088780;1287032;7047752;86.62;32536;413980;13534984;87.45;5354372;1300560;2664
hn0-hadoop;5;2024-07-09 23:21:58 UTC;950428;1152076;7186104;88.32;32536;415032;13541368;87.50;5488384;1299984;2596
hn0-hadoop;5;2024-07-09 23:22:03 UTC;932312;1142368;7204220;88.54;32536;423392;13349088;86.25;5496396;1306988;10676
hn0-hadoop;5;2024-07-09 23:22:08 UTC;853152;1055984;7283380;89.51;32536;416208;13508416;87.28;5584428;1298828;3468
hn0-hadoop;5;2024-07-09 23:22:13 UTC;713320;916524;7423212;91.23;32544;416556;13611736;87.95;5725496;1296396;3780
hn0-hadoop;5;2024-07-09 23:22:18 UTC;721048;924140;7415484;91.14;32560;416568;13594316;87.84;5718740;1295864;2824
hn0-hadoop;5;2024-07-09 23:22:23 UTC;706748;909996;7429784;91.31;32560;416644;13602904;87.89;5733040;1295900;3024
hn0-hadoop;5;2024-07-09 23:22:28 UTC;726112;929188;7410420;91.08;32560;416376;13588908;87.80;5714728;1295356;1644
hn0-hadoop;5;2024-07-09 23:22:33 UTC;726008;929148;7410524;91.08;32560;416432;13606156;87.91;5719036;1295408;1564
hn0-hadoop;5;2024-07-09 23:22:38 UTC;726688;929856;7409844;91.07;32560;416440;13597508;87.86;5717064;1295388;772
hn0-hadoop;5;2024-07-09 23:22:43 UTC;727412;930696;7409120;91.06;32560;416548;13574200;87.71;5717388;1295144;892
hn0-hadoop;5;2024-07-09 23:22:48 UTC;719288;922960;7417244;91.16;32576;416900;13569684;87.68;5728804;1295188;888
hn0-hadoop;5;2024-07-09 23:22:53 UTC;719036;922860;7417496;91.16;32576;419036;13563140;87.64;5726696;1297280;1052
hn0-hadoop;5;2024-07-09 23:22:58 UTC;728824;933428;7407708;91.04;32576;419836;13561556;87.63;5715152;1297992;1876
hn0-hadoop;5;2024-07-09 23:23:03 UTC;730292;934832;7406240;91.02;32576;419768;13565428;87.65;5713496;1297920;1568
hn0-hadoop;5;2024-07-09 23:23:08 UTC;730364;934880;7406168;91.02;32576;419796;13556644;87.59;5714540;1297508;1600
hn0-hadoop;5;2024-07-09 23:23:13 UTC;686064;890700;7450468;91.57;32580;419888;13783420;89.06;5759444;1297156;1664
hn0-hadoop;5;2024-07-09 23:23:18 UTC;590648;795328;7545884;92.74;32612;422152;13828856;89.35;5852140;1298392;1368
hn0-hadoop;5;2024-07-09 23:23:23 UTC;713364;918348;7423168;91.23;32612;422448;13582880;87.76;5729556;1298624;1720
hn0-hadoop;5;2024-07-09 23:23:28 UTC;725288;930228;7411244;91.09;32612;422444;13550024;87.55;5720620;1297852;624
hn0-hadoop;5;2024-07-09 23:23:33 UTC;714112;919544;7422420;91.22;32612;422852;13558508;87.61;5730840;1298280;1112
hn0-hadoop;5;2024-07-09 23:23:38 UTC;726320;931472;7410212;91.07;32612;422632;13551088;87.56;5717104;1297996;788
hn0-hadoop;5;2024-07-09 23:23:43 UTC;725780;931048;7410752;91.08;32612;422696;13554100;87.58;5718260;1297976;872
hn0-hadoop;5;2024-07-09 23:23:48 UTC;723476;929836;7413056;91.11;32632;423764;13558756;87.61;5719316;1298732;1656
hn0-hadoop;5;2024-07-09 23:23:53 UTC;725320;931712;7411212;91.09;32632;423800;13558756;87.61;5718804;1298764;1728
hn0-hadoop;5;2024-07-09 23:23:58 UTC;651128;857912;7485404;92.00;32632;424144;13587072;87.79;5792956;1298492;2072
hn0-hadoop;5;2024-07-09 23:24:03 UTC;645584;852416;7490948;92.07;32632;424188;13598812;87.87;5799228;1298540;2108
hn0-hadoop;5;2024-07-09 23:24:08 UTC;648940;855936;7487592;92.02;32632;424380;13593648;87.83;5796220;1297400;2340
hn0-hadoop;5;2024-07-09 23:24:13 UTC;660288;866876;7476244;91.88;32632;423972;13594596;87.84;5783964;1296920;1816
hn0-hadoop;5;2024-07-09 23:24:18 UTC;659236;865916;7477296;91.90;32652;424036;13593168;87.83;5784768;1296968;1876
hn0-hadoop;5;2024-07-09 23:24:23 UTC;659736;866436;7476796;91.89;32652;424052;13593168;87.83;5785436;1296868;304
hn0-hadoop;5;2024-07-09 23:24:28 UTC;658976;865820;7477556;91.90;32652;424132;13593168;87.83;5785828;1296688;416
hn0-hadoop;5;2024-07-09 23:24:33 UTC;659736;866720;7476796;91.89;32652;424324;13589476;87.81;5784888;1296880;620
hn0-hadoop;5;2024-07-09 23:24:38 UTC;639356;846540;7497176;92.14;32652;424520;13818132;89.28;5804876;1297104;808
hn0-hadoop;5;2024-07-09 23:24:43 UTC;647480;854908;7489052;92.04;32652;424648;13668188;88.32;5796352;1296728;952
hn0-hadoop;5;2024-07-09 23:24:48 UTC;636668;844948;7499864;92.18;32668;425492;14098896;91.10;5807988;1297092;1632
hn0-hadoop;5;2024-07-09 23:24:53 UTC;635140;843444;7501392;92.19;32668;425508;14105700;91.14;5810440;1296284;1596
hn0-hadoop;5;2024-07-09 23:24:58 UTC;630636;839656;7505896;92.25;32668;426464;14112124;91.18;5815104;1296392;1604
hn0-hadoop;5;2024-07-09 23:25:03 UTC;644876;859600;7491656;92.07;32668;431912;13756824;88.89;5806108;1289832;1652
hn0-hadoop;5;2024-07-09 23:25:08 UTC;644984;860036;7491548;92.07;32668;432308;13657736;88.25;5806972;1289540;1960
hn0-hadoop;5;2024-07-09 23:25:13 UTC;625776;841928;7510756;92.31;32672;433312;14083484;91.00;5824844;1290536;3032
hn0-hadoop;5;2024-07-09 23:25:18 UTC;483256;699552;7653276;94.06;32696;433440;14572716;94.16;5963400;1290660;2320
hn0-hadoop;5;2024-07-09 23:25:23 UTC;546296;762504;7590236;93.29;32696;433396;14362044;92.80;5901512;1290400;1616
hn0-hadoop;5;2024-07-09 23:25:28 UTC;430788;647004;7705744;94.71;32696;433236;14475492;93.53;6016992;1290104;1532
hn0-hadoop;5;2024-07-09 23:25:33 UTC;621088;838604;7515444;92.37;32700;436552;13952732;90.15;5826164;1293240;2396
hn0-hadoop;5;2024-07-09 23:25:38 UTC;640468;858016;7496064;92.13;32700;436552;13755428;88.88;5805232;1293112;2444
hn0-hadoop;5;2024-07-09 23:25:43 UTC;642200;859876;7494332;92.11;32700;436680;13710460;88.59;5803580;1293244;2588
hn0-hadoop;5;2024-07-09 23:25:48 UTC;626380;844440;7510152;92.30;32720;437040;13725372;88.68;5821256;1293000;2156
hn0-hadoop;5;2024-07-09 23:25:53 UTC;627796;845752;7508736;92.28;32720;439004;13716924;88.63;5812408;1300836;1968
hn0-hadoop;5;2024-07-09 23:25:58 UTC;633812;851792;7502720;92.21;32720;439028;13704660;88.55;5806220;1300860;1908
hn0-hadoop;5;2024-07-09 23:26:03 UTC;1112492;1331088;7024040;86.33;32720;439676;13265972;85.72;5329964;1300624;2812
