# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
hn0-hadoop;5;2024-07-09 23:58:25 UTC;eth0;114.80;110.60;60.05;35.91;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-09 23:58:25 UTC;lo;32.60;32.60;14.15;14.15;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-09 23:58:30 UTC;eth0;150.00;134.60;91.43;52.67;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-09 23:58:30 UTC;lo;38.40;38.40;70.51;70.51;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-09 23:58:35 UTC;eth0;92.40;103.20;34.66;34.93;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-09 23:58:35 UTC;lo;21.80;21.80;12.55;12.55;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-09 23:58:40 UTC;eth0;167.00;130.60;120.14;50.31;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-09 23:58:40 UTC;lo;48.40;48.40;75.04;75.04;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-09 23:58:45 UTC;eth0;116.00;120.00;47.91;36.92;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-09 23:58:45 UTC;lo;55.20;55.20;41.83;41.83;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-09 23:58:50 UTC;eth0;95.61;97.60;51.92;90.56;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-09 23:58:50 UTC;lo;18.56;18.56;9.75;9.75;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-09 23:58:55 UTC;eth0;50.40;57.00;21.49;12.58;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-09 23:58:55 UTC;lo;70.60;70.60;364.65;364.65;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-09 23:59:00 UTC;eth0;63.40;58.40;35.69;8.07;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-09 23:59:00 UTC;lo;21.40;21.40;23.10;23.10;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-09 23:59:05 UTC;eth0;46.00;57.80;14.66;16.62;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-09 23:59:05 UTC;lo;42.00;42.00;43.65;43.65;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-09 23:59:10 UTC;eth0;75.00;88.60;32.00;20.18;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-09 23:59:10 UTC;lo;40.40;40.40;26.11;26.11;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-09 23:59:15 UTC;eth0;268.86;237.52;67.65;1470.79;0.00;0.00;0.00;0.02
hn0-hadoop;5;2024-07-09 23:59:15 UTC;lo;48.50;48.50;20.54;20.54;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-09 23:59:20 UTC;eth0;100.80;122.51;38.47;128.11;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-09 23:59:20 UTC;lo;26.49;26.49;9.21;9.21;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-09 23:59:25 UTC;eth0;70.86;76.25;37.83;18.77;0.00;0.00;0.00;0.00
