# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
hn0-hadoop;5;2024-07-09 23:58:25 UTC;1173228;1368548;6963304;85.58;30484;407624;12965904;83.78;5298752;1273008;12140
hn0-hadoop;5;2024-07-09 23:58:30 UTC;1164356;1360796;6972176;85.69;30484;411436;12964044;83.77;5305888;1273500;1476
hn0-hadoop;5;2024-07-09 23:58:35 UTC;1148972;1345812;6987560;85.88;30484;411892;12974800;83.84;5320152;1273456;1840
hn0-hadoop;5;2024-07-09 23:58:40 UTC;1156956;1353900;6979576;85.78;30484;411928;12967584;83.79;5310468;1273572;1716
hn0-hadoop;5;2024-07-09 23:58:45 UTC;1141048;1338644;6995484;85.98;30764;412328;12991912;83.95;5327092;1272792;1776
hn0-hadoop;5;2024-07-09 23:58:50 UTC;1038168;1236932;7098364;87.24;30768;413368;13219352;85.42;5432448;1269128;2828
hn0-hadoop;5;2024-07-09 23:58:55 UTC;1124776;1326404;7011756;86.18;30776;416216;13169996;85.10;5363196;1252872;3116
hn0-hadoop;5;2024-07-09 23:59:00 UTC;968748;1170504;7167784;88.09;30776;416320;13298528;85.93;5517616;1252952;2172
hn0-hadoop;5;2024-07-09 23:59:05 UTC;964100;1174252;7172432;88.15;30776;424724;13323964;86.09;5513868;1259172;10252
hn0-hadoop;5;2024-07-09 23:59:10 UTC;859384;1069896;7277148;89.44;30776;425060;13549124;87.55;5618548;1258516;10312
hn0-hadoop;5;2024-07-09 23:59:15 UTC;757636;961896;7378896;90.69;30892;418712;13715036;88.62;5728764;1247452;3168
hn0-hadoop;5;2024-07-09 23:59:20 UTC;661024;865224;7475508;91.88;30892;418856;13717612;88.63;5833236;1240344;2984
hn0-hadoop;5;2024-07-09 23:59:25 UTC;582576;788448;7553956;92.84;30912;420064;13830656;89.37;5910528;1241196;3564
hn0-hadoop;5;2024-07-09 23:59:30 UTC;744328;950240;7392204;90.85;31136;419956;13553808;87.58;5750992;1240904;2600
hn0-hadoop;5;2024-07-09 23:59:35 UTC;746688;952676;7389844;90.82;31136;419996;13606988;87.92;5749656;1240832;1816
hn0-hadoop;5;2024-07-09 23:59:40 UTC;749040;955224;7387492;90.79;31136;420232;13581304;87.75;5747880;1241048;1464
hn0-hadoop;5;2024-07-09 23:59:45 UTC;731384;938256;7405148;91.01;31144;420632;13632976;88.09;5767136;1241032;1916
hn0-hadoop;5;2024-07-09 23:59:50 UTC;654468;861408;7482064;91.96;31144;420692;14094584;91.07;5844256;1240576;1848
hn0-hadoop;5;2024-07-09 23:59:55 UTC;729376;936464;7407156;91.04;31156;420708;13627860;88.05;5768132;1240572;1332
hn0-hadoop;5;2024-07-10 00:00:00 UTC;718272;925108;7418260;91.17;31156;420508;14052528;90.80;5781612;1240320;1084
hn0-hadoop;5;2024-07-10 00:00:05 UTC;636800;900796;7499732;92.17;32912;478184;13700916;88.53;5822764;1277040;3768
hn0-hadoop;5;2024-07-10 00:00:10 UTC;311544;800048;7824988;96.17;33048;703424;13830528;89.36;6118428;1308144;3688
hn0-hadoop;5;2024-07-10 00:00:15 UTC;229816;770048;7906716;97.18;33196;754272;14210592;91.82;6151212;1356384;448
hn0-hadoop;5;2024-07-10 00:00:20 UTC;242808;689348;7893724;97.02;33340;661844;14291820;92.34;6233636;1262564;4824
hn0-hadoop;5;2024-07-10 00:00:25 UTC;231072;775924;7905460;97.16;33356;758868;14251952;92.09;6146244;1359516;2232
hn0-hadoop;5;2024-07-10 00:00:30 UTC;182196;745936;7954336;97.76;35160;775856;14402304;93.06;6176388;1369396;3656
hn0-hadoop;5;2024-07-10 00:00:35 UTC;144396;693300;7992136;98.23;34644;764252;14296096;92.37;6186908;1401712;5324
hn0-hadoop;5;2024-07-10 00:00:40 UTC;468944;945020;7667588;94.24;33708;689188;13676892;88.37;5781696;1487452;440
hn0-hadoop;5;2024-07-10 00:00:45 UTC;443332;844652;7693200;94.55;33712;615016;13730968;88.72;5967116;1332852;352
hn0-hadoop;5;2024-07-10 00:00:50 UTC;341000;928984;7795532;95.81;33896;799480;13694384;88.48;5913024;1482160;18328
hn0-hadoop;5;2024-07-10 00:00:55 UTC;225056;888568;7911476;97.23;38752;870892;13741820;88.79;5964916;1548560;3184
hn0-hadoop;5;2024-07-10 00:01:00 UTC;139016;883240;7997516;98.29;39116;951296;13733588;88.74;5968960;1626568;5332
hn0-hadoop;5;2024-07-10 00:01:05 UTC;142908;884628;7993624;98.24;38668;944080;13742716;88.80;5938992;1646948;6396
hn0-hadoop;5;2024-07-10 00:01:10 UTC;132188;860940;8004344;98.38;37492;929044;13939548;90.07;5935376;1652288;6528
hn0-hadoop;5;2024-07-10 00:01:15 UTC;207440;852500;7929092;97.45;37556;840976;13848772;89.48;5928224;1583336;476
hn0-hadoop;5;2024-07-10 00:01:20 UTC;129200;738100;8007332;98.41;40444;797692;14156188;91.47;5988680;1596460;456
hn0-hadoop;5;2024-07-10 00:01:25 UTC;132224;722360;8004308;98.37;39084;777972;14045692;90.75;5962784;1618200;1064
hn0-hadoop;5;2024-07-10 00:01:30 UTC;131016;649544;8005516;98.39;41032;700772;14044592;90.75;5983016;1598556;616
hn0-hadoop;5;2024-07-10 00:01:35 UTC;368204;868920;7768328;95.47;43080;680644;13720812;88.66;5825932;1517624;18692
hn0-hadoop;5;2024-07-10 00:01:40 UTC;326052;880492;7810480;95.99;52884;718176;13714992;88.62;5821168;1551708;30104
hn0-hadoop;5;2024-07-10 00:01:45 UTC;224848;900476;7911684;97.24;55276;834636;13692820;88.47;5913812;1558052;34348
hn0-hadoop;5;2024-07-10 00:01:50 UTC;203044;896432;7933488;97.50;56292;855232;13668164;88.32;5916496;1573464;49184
hn0-hadoop;5;2024-07-10 00:01:55 UTC;174892;899016;7961640;97.85;56580;882384;13687560;88.44;5914164;1598300;72200
hn0-hadoop;5;2024-07-10 00:02:00 UTC;157536;908224;7978996;98.06;57176;912364;13679452;88.39;5907196;1621324;59704
hn0-hadoop;5;2024-07-10 00:02:05 UTC;131432;908636;8005100;98.38;57600;940272;13668404;88.32;5903920;1654368;81896
hn0-hadoop;5;2024-07-10 00:02:10 UTC;132220;902764;8004312;98.37;57740;937320;13720308;88.65;5902780;1655052;62604
hn0-hadoop;5;2024-07-10 00:02:15 UTC;214792;905372;7921740;97.36;57464;854996;13703040;88.54;5908792;1565912;2228
hn0-hadoop;5;2024-07-10 00:02:20 UTC;134692;774204;8001840;98.34;57208;802228;13944572;90.10;6014004;1541728;13928
hn0-hadoop;5;2024-07-10 00:02:25 UTC;148828;745800;7987704;98.17;54152;762972;13956252;90.18;6014088;1532804;22824
hn0-hadoop;5;2024-07-10 00:02:30 UTC;420032;916504;7716500;94.84;52908;666060;13688224;88.44;5803460;1478396;1092
hn0-hadoop;5;2024-07-10 00:02:35 UTC;469592;917036;7666940;94.23;2872;674600;13651200;88.21;5766460;1471420;1748
hn0-hadoop;5;2024-07-10 00:02:40 UTC;465092;919344;7671440;94.28;5572;676844;13652328;88.21;5760480;1472460;400
hn0-hadoop;5;2024-07-10 00:02:45 UTC;334608;880772;7801924;95.89;8156;778004;13781104;89.05;5829284;1531512;51056
hn0-hadoop;5;2024-07-10 00:02:50 UTC;334328;907144;7802204;95.89;29104;782744;13558428;87.61;5903712;1458428;51360
hn0-hadoop;5;2024-07-10 00:02:55 UTC;334516;932580;7802016;95.89;50636;783756;13558428;87.61;5898712;1457620;52424
hn0-hadoop;5;2024-07-10 00:03:00 UTC;282860;926280;7853672;96.52;87912;787064;13562196;87.63;5936448;1460748;55272
hn0-hadoop;5;2024-07-10 00:03:05 UTC;246600;909520;7889932;96.97;103712;788256;13576460;87.72;5969892;1461080;56264
hn0-hadoop;5;2024-07-10 00:03:10 UTC;235044;912048;7901488;97.11;115736;788816;13656192;88.24;5979992;1459904;56740
hn0-hadoop;5;2024-07-10 00:03:15 UTC;236024;923144;7900508;97.10;123452;788920;13536584;87.47;5989056;1445424;56788
hn0-hadoop;5;2024-07-10 00:03:20 UTC;220696;926304;7915836;97.29;136952;789856;13536584;87.47;6002952;1446300;7644
hn0-hadoop;5;2024-07-10 00:03:25 UTC;187596;926244;7948936;97.69;161900;790980;13545364;87.52;6027292;1447056;2920
