# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
hn0-hadoop;5;2024-07-08 19:08:17 UTC;eth0;87.80;97.80;35.50;31.40;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 19:08:17 UTC;lo;33.80;33.80;14.77;14.77;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 19:08:22 UTC;eth0;159.20;145.80;89.80;58.24;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 19:08:22 UTC;lo;25.40;25.40;13.52;13.52;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 19:08:27 UTC;eth0;144.60;135.00;72.93;39.80;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 19:08:27 UTC;lo;28.60;28.60;10.68;10.68;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 19:08:32 UTC;eth0;116.00;120.60;52.45;50.61;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 19:08:32 UTC;lo;21.60;21.60;11.98;11.98;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 19:08:37 UTC;eth0;134.60;136.60;61.52;41.10;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 19:08:37 UTC;lo;40.40;40.40;36.54;36.54;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 19:08:42 UTC;eth0;93.80;89.40;56.08;27.93;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 19:08:42 UTC;lo;132.20;132.20;521.72;521.72;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 19:08:47 UTC;eth0;74.80;71.60;44.38;12.38;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 19:08:47 UTC;lo;1137.40;1137.40;227.51;227.51;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 19:08:52 UTC;eth0;81.80;79.00;44.53;170.45;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 19:08:52 UTC;lo;361.80;361.80;91.20;91.20;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 19:08:57 UTC;eth0;144.91;98.40;120.57;21.87;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 19:08:57 UTC;lo;66.87;66.87;352.20;352.20;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 19:09:02 UTC;eth0;54.20;52.80;31.38;7.26;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 19:09:02 UTC;lo;20.60;20.60;15.96;15.96;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 19:09:07 UTC;eth0;84.60;95.60;34.81;32.08;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 19:09:07 UTC;lo;37.80;37.80;76.08;76.08;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 19:09:12 UTC;eth0;173.40;197.40;73.43;99.55;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 19:09:12 UTC;lo;119.00;119.00;37.84;37.84;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 19:09:17 UTC;eth0;80.40;87.80;38.05;97.98;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 19:09:17 UTC;lo;28.40;28.40;17.96;17.96;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 19:09:22 UTC;eth0;58.80;73.20;22.19;15.31;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 19:09:22 UTC;lo;24.20;24.20;12.67;12.67;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 19:09:27 UTC;eth0;80.80;79.40;47.17;13.81;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 19:09:27 UTC;lo;26.40;26.40;14.94;14.94;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 19:09:32 UTC;eth0;38.00;51.00;10.55;6.59;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 19:09:32 UTC;lo;19.20;19.20;11.21;11.21;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 19:09:37 UTC;eth0;84.20;78.00;50.34;13.65;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 19:09:37 UTC;lo;26.40;26.40;11.34;11.34;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 19:09:42 UTC;eth0;52.00;62.00;22.14;7.89;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 19:09:42 UTC;lo;38.40;38.40;65.25;65.25;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 19:09:47 UTC;eth0;76.80;64.20;59.28;8.55;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 19:09:47 UTC;lo;24.80;24.80;20.64;20.64;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 19:09:52 UTC;eth0;88.22;92.22;39.22;230.30;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 19:09:52 UTC;lo;52.89;52.89;37.70;37.70;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 19:09:57 UTC;eth0;100.00;93.80;65.53;18.96;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 19:09:57 UTC;lo;48.20;48.20;48.59;48.59;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 19:10:02 UTC;eth0;68.20;88.20;21.31;13.90;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 19:10:02 UTC;lo;55.80;55.80;23.06;23.06;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 19:10:07 UTC;eth0;46.60;58.20;17.31;8.88;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 19:10:07 UTC;lo;45.60;45.60;218.65;218.65;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 19:10:12 UTC;eth0;63.60;78.80;24.17;11.99;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 19:10:12 UTC;lo;33.60;33.60;12.13;12.13;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 19:10:17 UTC;eth0;41.80;53.20;15.74;6.86;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 19:10:17 UTC;lo;47.80;47.80;93.57;93.57;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 19:10:22 UTC;eth0;101.00;116.80;37.64;131.87;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 19:10:22 UTC;lo;26.40;26.40;11.85;11.85;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 19:10:27 UTC;eth0;107.20;88.40;75.75;15.32;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 19:10:27 UTC;lo;34.00;34.00;41.52;41.52;0.00;0.00;0.00;0.00
