# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
hn0-hadoop;5;2024-07-08 19:08:17 UTC;1201368;1468464;6935168;85.23;41608;467152;13122504;84.79;5232260;1268208;3572
hn0-hadoop;5;2024-07-08 19:08:22 UTC;1222216;1489284;6914320;84.98;41608;467164;12920184;83.48;5211872;1267836;2540
hn0-hadoop;5;2024-07-08 19:08:27 UTC;1204808;1473280;6931728;85.19;41680;468548;12899488;83.35;5227356;1269196;15780
hn0-hadoop;5;2024-07-08 19:08:32 UTC;1204924;1473508;6931612;85.19;41688;468580;12892232;83.30;5228404;1268308;15664
hn0-hadoop;5;2024-07-08 19:08:37 UTC;1199724;1468184;6936812;85.26;41688;470484;12914592;83.45;5230196;1270172;15532
hn0-hadoop;5;2024-07-08 19:08:42 UTC;1125260;1394308;7011276;86.17;41692;471164;13155504;85.00;5303788;1270712;15120
hn0-hadoop;5;2024-07-08 19:08:47 UTC;1196664;1465984;6939872;85.29;41700;471368;12934244;83.57;5231352;1270676;15216
hn0-hadoop;5;2024-07-08 19:08:52 UTC;1044932;1314368;7091604;87.16;41704;469444;13231936;85.50;5379604;1274340;15268
hn0-hadoop;5;2024-07-08 19:08:57 UTC;1060764;1330576;7075772;86.96;41840;469696;13449128;86.90;5361428;1274568;15404
hn0-hadoop;5;2024-07-08 19:09:02 UTC;914768;1185984;7221768;88.76;41848;471172;13574512;87.71;5505616;1275312;2876
hn0-hadoop;5;2024-07-08 19:09:07 UTC;816084;1087780;7320452;89.97;41848;471592;13624096;88.03;5602704;1275796;4292
hn0-hadoop;5;2024-07-08 19:09:12 UTC;713032;984420;7423504;91.24;41848;471296;13648768;88.19;5706796;1274844;2712
hn0-hadoop;5;2024-07-08 19:09:17 UTC;913992;1185008;7222544;88.77;41856;470864;13309680;86.00;5507488;1274364;2368
hn0-hadoop;5;2024-07-08 19:09:22 UTC;933840;1204908;7202696;88.52;41856;470888;13303792;85.96;5489192;1274388;2300
hn0-hadoop;5;2024-07-08 19:09:27 UTC;936836;1207956;7199700;88.49;41856;470928;13294696;85.90;5486836;1274424;2320
hn0-hadoop;5;2024-07-08 19:09:32 UTC;942624;1213840;7193912;88.41;41868;470940;13286676;85.85;5483620;1273784;1948
hn0-hadoop;5;2024-07-08 19:09:37 UTC;924924;1196304;7211612;88.63;41872;471084;13298028;85.92;5502844;1273924;1128
hn0-hadoop;5;2024-07-08 19:09:42 UTC;929836;1203084;7206700;88.57;41872;471292;13269644;85.74;5496524;1273752;1952
hn0-hadoop;5;2024-07-08 19:09:47 UTC;925228;1198348;7211308;88.63;41880;471064;13313996;86.03;5499508;1273300;1824
hn0-hadoop;5;2024-07-08 19:09:52 UTC;865632;1138820;7270904;89.36;41896;471208;13481008;87.11;5560980;1272852;1952
hn0-hadoop;5;2024-07-08 19:09:57 UTC;728056;1001896;7408480;91.05;41896;471804;13544844;87.52;5698524;1273448;2424
hn0-hadoop;5;2024-07-08 19:10:02 UTC;932124;1205440;7204412;88.54;41908;471340;13258964;85.67;5497536;1270992;1696
hn0-hadoop;5;2024-07-08 19:10:07 UTC;932392;1205696;7204144;88.54;41924;471316;13258964;85.67;5497548;1270932;1544
hn0-hadoop;5;2024-07-08 19:10:12 UTC;923328;1196824;7213208;88.65;41924;471496;13264260;85.71;5507252;1270744;1696
hn0-hadoop;5;2024-07-08 19:10:17 UTC;920532;1194136;7216004;88.69;41932;471672;13267624;85.73;5510240;1270836;588
hn0-hadoop;5;2024-07-08 19:10:22 UTC;911632;1185392;7224904;88.80;41932;471744;13262608;85.69;5518888;1270972;724
hn0-hadoop;5;2024-07-08 19:10:27 UTC;918756;1192212;7217780;88.71;41932;471464;13261612;85.69;5509524;1270668;1488
hn0-hadoop;5;2024-07-08 19:10:32 UTC;920120;1193556;7216416;88.69;41948;471500;13261384;85.69;5509200;1270412;1728
hn0-hadoop;5;2024-07-08 19:10:37 UTC;919900;1193356;7216636;88.69;41948;471540;13261384;85.69;5509980;1270432;1744
hn0-hadoop;5;2024-07-08 19:10:42 UTC;919080;1192948;7217456;88.70;41948;471932;13282912;85.83;5509328;1270816;2112
hn0-hadoop;5;2024-07-08 19:10:47 UTC;913976;1188232;7222560;88.77;41956;472380;13328456;86.12;5515936;1270808;2492
hn0-hadoop;5;2024-07-08 19:10:52 UTC;916244;1190880;7220292;88.74;42084;472512;13287160;85.85;5514024;1270808;2196
hn0-hadoop;5;2024-07-08 19:10:57 UTC;914236;1188788;7222300;88.76;42084;472424;13300356;85.94;5515264;1270720;2112
hn0-hadoop;5;2024-07-08 19:11:02 UTC;915724;1190024;7220812;88.75;42092;472172;13316460;86.04;5511304;1270448;924
hn0-hadoop;5;2024-07-08 19:11:07 UTC;915628;1189960;7220908;88.75;42092;472196;13316460;86.04;5511628;1270480;412
hn0-hadoop;5;2024-07-08 19:11:12 UTC;915220;1189636;7221316;88.75;42092;474244;13304692;85.97;5511324;1272324;420
hn0-hadoop;5;2024-07-08 19:11:17 UTC;906864;1181300;7229672;88.85;42100;474276;13304692;85.97;5518864;1272340;476
hn0-hadoop;5;2024-07-08 19:11:22 UTC;908588;1183548;7227948;88.83;42100;474740;13303448;85.96;5518052;1272680;760
hn0-hadoop;5;2024-07-08 19:11:27 UTC;907328;1182200;7229208;88.85;42100;474644;13310868;86.01;5520608;1272584;672
hn0-hadoop;5;2024-07-08 19:11:32 UTC;907692;1182480;7228844;88.84;42108;474624;13318540;86.06;5520120;1272256;1828
hn0-hadoop;5;2024-07-08 19:11:37 UTC;887304;1163456;7249232;89.09;42108;475904;13309564;86.00;5540572;1272868;1732
hn0-hadoop;5;2024-07-08 19:11:42 UTC;885944;1162120;7250592;89.11;42108;476000;13326500;86.11;5539772;1272960;1660
hn0-hadoop;5;2024-07-08 19:11:47 UTC;889188;1165420;7247348;89.07;42116;474072;13334372;86.16;5538008;1273288;1732
hn0-hadoop;5;2024-07-08 19:11:52 UTC;900544;1177008;7235992;88.93;42120;474260;13320436;86.07;5525864;1272856;1956
hn0-hadoop;5;2024-07-08 19:11:57 UTC;894280;1171004;7242256;89.01;42120;474516;13324604;86.10;5533540;1273108;1940
hn0-hadoop;5;2024-07-08 19:12:02 UTC;892848;1169688;7243688;89.03;42128;474572;13325472;86.10;5535424;1273152;728
hn0-hadoop;5;2024-07-08 19:12:07 UTC;889020;1165892;7247516;89.07;42128;474600;13332612;86.15;5538140;1273184;748
hn0-hadoop;5;2024-07-08 19:12:12 UTC;900132;1176732;7236404;88.94;42128;474352;13311960;86.01;5526024;1272748;404
hn0-hadoop;5;2024-07-08 19:12:17 UTC;899912;1176540;7236624;88.94;42136;474380;13311960;86.01;5526716;1272764;348
hn0-hadoop;5;2024-07-08 19:12:22 UTC;899464;1176048;7237072;88.95;42136;474400;13319896;86.06;5527052;1272792;372
hn0-hadoop;5;2024-07-08 19:12:27 UTC;898764;1175468;7237772;88.95;42136;474520;13360120;86.32;5528012;1272904;1492
hn0-hadoop;5;2024-07-08 19:12:32 UTC;887160;1164356;7249376;89.10;42160;474856;13385992;86.49;5539924;1272936;2020
hn0-hadoop;5;2024-07-08 19:12:37 UTC;890356;1167596;7246180;89.06;42160;474892;13380792;86.46;5536464;1272880;2056
hn0-hadoop;5;2024-07-08 19:12:42 UTC;880816;1158308;7255720;89.17;42160;475136;13381844;86.47;5543508;1273032;2228
hn0-hadoop;5;2024-07-08 19:12:47 UTC;833332;1110852;7303204;89.76;42168;475112;13882708;89.70;5590432;1272784;2216
hn0-hadoop;5;2024-07-08 19:12:52 UTC;846476;1124072;7290060;89.60;42172;475232;13587868;87.80;5576972;1272664;3268
hn0-hadoop;5;2024-07-08 19:12:57 UTC;703160;981292;7433376;91.36;42172;475840;13656876;88.24;5721372;1273040;2820
hn0-hadoop;5;2024-07-08 19:13:02 UTC;749636;1027460;7386900;90.79;42184;475352;13840284;89.43;5675776;1272460;1996
hn0-hadoop;5;2024-07-08 19:13:07 UTC;798956;1077120;7337580;90.18;42184;475684;13965768;90.24;5626852;1272732;2792
hn0-hadoop;5;2024-07-08 19:13:12 UTC;624720;903032;7511816;92.32;42184;475796;14432064;93.25;5796256;1272580;2768
hn0-hadoop;5;2024-07-08 19:13:17 UTC;814168;1092048;7322368;89.99;42192;475412;13756516;88.89;5608624;1272164;2460
hn0-hadoop;5;2024-07-08 19:13:22 UTC;844160;1122092;7292376;89.63;42192;475440;13555652;87.59;5579072;1271836;1480
hn0-hadoop;5;2024-07-08 19:13:27 UTC;845252;1123288;7291284;89.61;42192;475472;13515908;87.33;5579316;1271792;1516
hn0-hadoop;5;2024-07-08 19:13:32 UTC;846112;1124192;7290424;89.60;42208;475500;13523228;87.38;5578772;1271496;1784
hn0-hadoop;5;2024-07-08 19:13:37 UTC;843924;1122012;7292612;89.63;42208;477528;13526688;87.40;5579304;1273492;1788
hn0-hadoop;5;2024-07-08 19:13:42 UTC;827756;1106576;7308780;89.83;42208;478252;13533764;87.45;5594580;1274220;2376
hn0-hadoop;5;2024-07-08 19:13:47 UTC;826448;1105272;7310088;89.84;42208;478380;13771488;88.98;5594860;1274248;2384
hn0-hadoop;5;2024-07-08 19:13:52 UTC;835444;1114540;7301092;89.73;42220;476608;13531632;87.43;5592020;1270904;3516
hn0-hadoop;5;2024-07-08 19:13:57 UTC;766088;1044984;7370448;90.58;42220;476420;13790356;89.10;5659008;1270440;3312
hn0-hadoop;5;2024-07-08 19:14:02 UTC;683100;962648;7453436;91.60;42232;477040;13846820;89.47;5741412;1270996;4964
hn0-hadoop;5;2024-07-08 19:14:07 UTC;844184;1123120;7292352;89.62;42232;476616;13521280;87.37;5580964;1270508;4116
hn0-hadoop;5;2024-07-08 19:14:12 UTC;846540;1125476;7289996;89.60;42232;476612;13455632;86.94;5580764;1270212;2476
hn0-hadoop;5;2024-07-08 19:14:17 UTC;828892;1108212;7307644;89.81;42232;476988;13456540;86.95;5599352;1270588;2784
hn0-hadoop;5;2024-07-08 19:14:22 UTC;837428;1116608;7299108;89.71;42240;476840;13456544;86.95;5591528;1270436;2684
hn0-hadoop;5;2024-07-08 19:14:27 UTC;834972;1114200;7301564;89.74;42240;477004;13459948;86.97;5594084;1270516;1712
hn0-hadoop;5;2024-07-08 19:14:32 UTC;845628;1124740;7290908;89.61;42260;476784;13454112;86.93;5581652;1270184;1968
hn0-hadoop;5;2024-07-08 19:14:37 UTC;845736;1124852;7290800;89.61;42260;476840;13458500;86.96;5582168;1270196;1904
hn0-hadoop;5;2024-07-08 19:14:42 UTC;846336;1125860;7290200;89.60;42260;477208;13446028;86.88;5582124;1270464;1800
hn0-hadoop;5;2024-07-08 19:14:47 UTC;846160;1125812;7290376;89.60;42260;477248;13442900;86.86;5582352;1270496;1780
hn0-hadoop;5;2024-07-08 19:14:52 UTC;840728;1120776;7295808;89.67;42272;477612;13422264;86.73;5589876;1270216;2192
hn0-hadoop;5;2024-07-08 19:14:57 UTC;840800;1120888;7295736;89.67;42272;477628;13439212;86.84;5588284;1270148;2116
hn0-hadoop;5;2024-07-08 19:15:02 UTC;844644;1124804;7291892;89.62;42284;477684;13438032;86.83;5583112;1270152;1112
hn0-hadoop;5;2024-07-08 19:15:07 UTC;844396;1124588;7292140;89.62;42284;477640;13438032;86.83;5583208;1270116;572
hn0-hadoop;5;2024-07-08 19:15:12 UTC;845752;1125988;7290784;89.61;42284;477684;13438032;86.83;5582612;1269868;332
hn0-hadoop;5;2024-07-08 19:15:17 UTC;835860;1116152;7300676;89.73;42284;477744;13429740;86.77;5592324;1269912;296
hn0-hadoop;5;2024-07-08 19:15:22 UTC;844024;1124656;7292512;89.63;42292;478060;13424248;86.74;5585696;1270252;656
hn0-hadoop;5;2024-07-08 19:15:27 UTC;839192;1119884;7297344;89.69;42292;478152;13421236;86.72;5590236;1270336;1748
hn0-hadoop;5;2024-07-08 19:15:32 UTC;841928;1122616;7294608;89.65;42300;478368;13425236;86.75;5588784;1270064;2088
hn0-hadoop;5;2024-07-08 19:15:37 UTC;845976;1126344;7290560;89.60;42300;477912;13423868;86.74;5584120;1269788;1804
hn0-hadoop;5;2024-07-08 19:15:42 UTC;846448;1126896;7290088;89.60;42300;477992;13423868;86.74;5584036;1269868;1888
hn0-hadoop;5;2024-07-08 19:15:47 UTC;839704;1120148;7296832;89.68;42300;478036;13491672;87.17;5587628;1269912;1556
hn0-hadoop;5;2024-07-08 19:15:52 UTC;752404;1033024;7384132;90.75;42304;478176;13681532;88.40;5676384;1269504;1724
hn0-hadoop;5;2024-07-08 19:15:57 UTC;640848;922476;7495688;92.12;42312;479064;13712204;88.60;5785672;1270336;1616
hn0-hadoop;5;2024-07-08 19:16:02 UTC;838072;1119132;7298464;89.70;42324;478600;13424368;86.74;5590968;1269792;780
hn0-hadoop;5;2024-07-08 19:16:07 UTC;843104;1124380;7293432;89.64;42324;478704;13427116;86.76;5586340;1269924;1996
hn0-hadoop;5;2024-07-08 19:16:12 UTC;844728;1125616;7291808;89.62;42324;478304;13427736;86.76;5584076;1269332;1604
hn0-hadoop;5;2024-07-08 19:16:17 UTC;842760;1123680;7293776;89.64;42324;480348;13423908;86.74;5584184;1271316;164
hn0-hadoop;5;2024-07-08 19:16:22 UTC;842476;1123436;7294060;89.65;42324;480368;13423908;86.74;5584800;1271356;264
hn0-hadoop;5;2024-07-08 19:16:27 UTC;841828;1122868;7294708;89.65;42332;480408;13432620;86.79;5584956;1271388;332
hn0-hadoop;5;2024-07-08 19:16:32 UTC;841680;1122984;7294856;89.66;42356;480704;13425916;86.75;5586460;1271328;864
hn0-hadoop;5;2024-07-08 19:16:37 UTC;842656;1124000;7293880;89.64;42452;480820;13439796;86.84;5584720;1271360;1084
hn0-hadoop;5;2024-07-08 19:16:42 UTC;826796;1108664;7309740;89.84;42452;481164;13421084;86.72;5601264;1271752;1352
hn0-hadoop;5;2024-07-08 19:16:47 UTC;842892;1124664;7293644;89.64;42452;480948;13442724;86.86;5584204;1271612;1156
hn0-hadoop;5;2024-07-08 19:16:52 UTC;1214292;1495532;6922244;85.08;42456;478456;12817972;82.82;5212740;1274776;744
