# hostname;interval;timestamp;tps;rtps;wtps;bread/s;bwrtn/s
hn0-hadoop;5;2024-07-10 11:14:54 UTC;6.60;3.00;3.60;94.40;56.00
hn0-hadoop;5;2024-07-10 11:14:59 UTC;3.20;0.20;3.00;1.60;41.60
hn0-hadoop;5;2024-07-10 11:15:04 UTC;10.60;0.60;10.00;32.00;4814.40
hn0-hadoop;5;2024-07-10 11:15:09 UTC;4.20;1.00;3.20;8.00;142.40
hn0-hadoop;5;2024-07-10 11:15:14 UTC;4.79;0.00;4.79;0.00;55.89
hn0-hadoop;5;2024-07-10 11:15:19 UTC;9.00;0.80;8.20;6.40;120.00
hn0-hadoop;5;2024-07-10 11:15:24 UTC;5.00;0.80;4.20;8.00;115.20
hn0-hadoop;5;2024-07-10 11:15:29 UTC;3.80;0.00;3.80;0.00;65.60
hn0-hadoop;5;2024-07-10 11:15:34 UTC;32.40;2.40;30.00;19.20;5812.80
hn0-hadoop;5;2024-07-10 11:15:39 UTC;3.99;0.20;3.79;17.56;233.13
hn0-hadoop;5;2024-07-10 11:15:44 UTC;6.00;2.20;3.80;158.40;446.40
hn0-hadoop;5;2024-07-10 11:15:49 UTC;9.40;0.60;8.80;14.40;169.60
hn0-hadoop;5;2024-07-10 11:15:54 UTC;4.00;0.00;4.00;0.00;94.40
hn0-hadoop;5;2024-07-10 11:15:59 UTC;2.60;0.00;2.60;0.00;86.40
hn0-hadoop;5;2024-07-10 11:16:04 UTC;4.00;0.00;4.00;0.00;620.80
hn0-hadoop;5;2024-07-10 11:16:09 UTC;21.00;19.20;1.80;275.20;22.40
hn0-hadoop;5;2024-07-10 11:16:14 UTC;14.60;2.00;12.60;48.00;403.20
hn0-hadoop;5;2024-07-10 11:16:19 UTC;8.80;0.00;8.80;0.00;208.00
hn0-hadoop;5;2024-07-10 11:16:24 UTC;12.00;0.40;11.60;3.20;905.60
hn0-hadoop;5;2024-07-10 11:16:29 UTC;3.60;0.00;3.60;0.00;48.00
hn0-hadoop;5;2024-07-10 11:16:34 UTC;21.40;0.00;21.40;0.00;452.80
hn0-hadoop;5;2024-07-10 11:16:39 UTC;2.00;0.60;1.40;6.40;20.80
hn0-hadoop;5;2024-07-10 11:16:44 UTC;1.40;0.00;1.40;0.00;25.60
hn0-hadoop;5;2024-07-10 11:16:49 UTC;6.60;0.00;6.60;0.00;353.60
hn0-hadoop;5;2024-07-10 11:16:54 UTC;4.59;0.00;4.59;0.00;485.43
hn0-hadoop;5;2024-07-10 11:16:59 UTC;7.80;2.20;5.60;48.00;67.20
hn0-hadoop;5;2024-07-10 11:17:04 UTC;17.00;12.20;4.80;235.20;204.80
hn0-hadoop;5;2024-07-10 11:17:09 UTC;30.34;28.94;1.40;252.30;63.87
hn0-hadoop;5;2024-07-10 11:17:14 UTC;6.00;2.00;4.00;128.00;57.60
hn0-hadoop;5;2024-07-10 11:17:19 UTC;11.00;0.00;11.00;0.00;131.20
hn0-hadoop;5;2024-07-10 11:17:24 UTC;5.20;0.00;5.20;0.00;49.60
hn0-hadoop;5;2024-07-10 11:17:29 UTC;3.60;0.00;3.60;0.00;443.20
hn0-hadoop;5;2024-07-10 11:17:34 UTC;21.60;0.00;21.60;0.00;950.40
hn0-hadoop;5;2024-07-10 11:17:39 UTC;12.40;9.20;3.20;88.00;32.00
hn0-hadoop;5;2024-07-10 11:17:44 UTC;1.80;0.20;1.60;4.80;62.40
hn0-hadoop;5;2024-07-10 11:17:49 UTC;2.00;0.00;2.00;0.00;30.40
hn0-hadoop;5;2024-07-10 11:17:54 UTC;6.80;0.00;6.80;0.00;123.20
hn0-hadoop;5;2024-07-10 11:17:59 UTC;1.60;0.00;1.60;0.00;22.40
hn0-hadoop;5;2024-07-10 11:18:04 UTC;13.80;0.20;13.60;1.60;985.60
hn0-hadoop;5;2024-07-10 11:18:09 UTC;3.60;0.40;3.20;4.80;32.00
hn0-hadoop;5;2024-07-10 11:18:14 UTC;4.00;0.20;3.80;1.60;48.00
hn0-hadoop;5;2024-07-10 11:18:19 UTC;1.40;0.20;1.20;1.60;16.00
hn0-hadoop;5;2024-07-10 11:18:24 UTC;31.14;30.94;0.20;571.66;7.98
hn0-hadoop;5;2024-07-10 11:18:29 UTC;0.80;0.00;0.80;0.00;12.80
hn0-hadoop;5;2024-07-10 11:18:34 UTC;7.60;0.00;7.60;0.00;200.00
hn0-hadoop;5;2024-07-10 11:18:39 UTC;14.20;0.20;14.00;1.60;182.40
hn0-hadoop;5;2024-07-10 11:18:44 UTC;3.79;0.20;3.59;1.60;83.03
hn0-hadoop;5;2024-07-10 11:18:49 UTC;4.40;0.00;4.40;0.00;41.60
hn0-hadoop;5;2024-07-10 11:18:54 UTC;1.60;0.00;1.60;0.00;35.20
hn0-hadoop;5;2024-07-10 11:18:59 UTC;0.80;0.00;0.80;0.00;12.80
hn0-hadoop;5;2024-07-10 11:19:04 UTC;7.20;0.00;7.20;0.00;219.20
hn0-hadoop;5;2024-07-10 11:19:09 UTC;2.80;0.80;2.00;6.40;32.00
hn0-hadoop;5;2024-07-10 11:19:14 UTC;4.60;0.20;4.40;1.60;182.40
hn0-hadoop;5;2024-07-10 11:19:19 UTC;9.60;4.40;5.20;38.40;456.00
hn0-hadoop;5;2024-07-10 11:19:24 UTC;3.40;0.00;3.40;0.00;35.20
hn0-hadoop;5;2024-07-10 11:19:29 UTC;0.60;0.00;0.60;0.00;11.20
hn0-hadoop;5;2024-07-10 11:19:34 UTC;25.60;0.00;25.60;0.00;824.00
hn0-hadoop;5;2024-07-10 11:19:39 UTC;2.00;0.00;2.00;0.00;24.00
hn0-hadoop;5;2024-07-10 11:19:44 UTC;1.60;0.00;1.60;0.00;25.60
hn0-hadoop;5;2024-07-10 11:19:49 UTC;4.60;0.00;4.60;0.00;313.60
hn0-hadoop;5;2024-07-10 11:19:54 UTC;4.59;0.00;4.59;0.00;71.86
hn0-hadoop;5;2024-07-10 11:19:59 UTC;4.00;0.00;4.00;0.00;51.20
hn0-hadoop;5;2024-07-10 11:20:04 UTC;10.40;0.00;10.40;0.00;300.80
hn0-hadoop;5;2024-07-10 11:20:09 UTC;1.40;0.00;1.40;0.00;19.20
hn0-hadoop;5;2024-07-10 11:20:14 UTC;10.20;6.20;4.00;156.80;59.20
hn0-hadoop;5;2024-07-10 11:20:19 UTC;7.40;0.00;7.40;0.00;516.80
hn0-hadoop;5;2024-07-10 11:20:24 UTC;4.00;0.00;4.00;0.00;89.60
hn0-hadoop;5;2024-07-10 11:20:29 UTC;4.39;0.00;4.39;0.00;41.52
hn0-hadoop;5;2024-07-10 11:20:34 UTC;26.20;0.00;26.20;0.00;472.00
hn0-hadoop;5;2024-07-10 11:20:39 UTC;3.80;0.00;3.80;0.00;459.20
hn0-hadoop;5;2024-07-10 11:20:44 UTC;2.00;0.00;2.00;0.00;33.60
hn0-hadoop;5;2024-07-10 11:20:49 UTC;2.20;0.20;2.00;6.40;115.20
hn0-hadoop;5;2024-07-10 11:20:54 UTC;2.40;0.00;2.40;0.00;41.60
hn0-hadoop;5;2024-07-10 11:20:59 UTC;2.20;0.00;2.20;0.00;472.00
hn0-hadoop;5;2024-07-10 11:21:04 UTC;11.20;0.00;11.20;0.00;300.80
hn0-hadoop;5;2024-07-10 11:21:09 UTC;3.80;0.00;3.80;0.00;38.40
hn0-hadoop;5;2024-07-10 11:21:14 UTC;4.80;0.20;4.60;1.60;65.60
hn0-hadoop;5;2024-07-10 11:21:19 UTC;2.40;0.00;2.40;0.00;20.80
hn0-hadoop;5;2024-07-10 11:21:24 UTC;8.60;0.00;8.60;0.00;134.40
hn0-hadoop;5;2024-07-10 11:21:29 UTC;3.20;0.40;2.80;3.20;438.40
hn0-hadoop;5;2024-07-10 11:21:34 UTC;5.20;0.60;4.60;4.80;700.80
hn0-hadoop;5;2024-07-10 11:21:39 UTC;24.80;1.20;23.60;11.20;273.60
hn0-hadoop;5;2024-07-10 11:21:44 UTC;2.40;0.00;2.40;0.00;28.80
hn0-hadoop;5;2024-07-10 11:21:49 UTC;3.00;0.00;3.00;0.00;30.40
hn0-hadoop;5;2024-07-10 11:21:54 UTC;4.40;0.00;4.40;0.00;486.40
hn0-hadoop;5;2024-07-10 11:21:59 UTC;2.20;0.00;2.20;0.00;35.20
hn0-hadoop;5;2024-07-10 11:22:04 UTC;3.80;0.20;3.60;1.60;521.60
hn0-hadoop;5;2024-07-10 11:22:09 UTC;6.20;0.00;6.20;0.00;152.00
hn0-hadoop;5;2024-07-10 11:22:14 UTC;4.00;0.20;3.80;1.60;51.20
hn0-hadoop;5;2024-07-10 11:22:19 UTC;2.80;0.00;2.80;0.00;28.80
hn0-hadoop;5;2024-07-10 11:22:24 UTC;2.80;0.00;2.80;0.00;28.80
hn0-hadoop;5;2024-07-10 11:22:29 UTC;15.20;0.00;15.20;0.00;1025.60
hn0-hadoop;5;2024-07-10 11:22:34 UTC;2.40;0.00;2.40;0.00;196.80
hn0-hadoop;5;2024-07-10 11:22:39 UTC;18.36;17.56;0.80;249.10;12.77
hn0-hadoop;5;2024-07-10 11:22:44 UTC;0.40;0.00;0.40;0.00;9.60
hn0-hadoop;5;2024-07-10 11:22:49 UTC;2.40;0.00;2.40;0.00;25.60
hn0-hadoop;5;2024-07-10 11:22:54 UTC;3.00;0.00;3.00;0.00;35.20
hn0-hadoop;5;2024-07-10 11:22:59 UTC;8.60;0.00;8.60;0.00;134.40
hn0-hadoop;5;2024-07-10 11:23:04 UTC;3.40;0.20;3.20;1.60;182.40
hn0-hadoop;5;2024-07-10 11:23:09 UTC;15.80;2.40;13.40;40.00;232.00
