# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
hn0-hadoop;5;2024-07-08 20:20:55 UTC;1261380;1496224;6875156;84.50;42864;431044;12780652;82.58;5171308;1267312;268
hn0-hadoop;5;2024-07-08 20:21:00 UTC;1257660;1492412;6878876;84.54;42864;431084;12796376;82.68;5173164;1267340;336
hn0-hadoop;5;2024-07-08 20:21:05 UTC;1255076;1489876;6881460;84.57;42864;431120;12810816;82.78;5174640;1267376;372
hn0-hadoop;5;2024-07-08 20:21:10 UTC;1251032;1485916;6885504;84.62;42864;431196;12832096;82.91;5177404;1267080;436
hn0-hadoop;5;2024-07-08 20:21:15 UTC;1231896;1467100;6904640;84.86;42892;431532;12877156;83.20;5196548;1267404;772
hn0-hadoop;5;2024-07-08 20:21:20 UTC;1092448;1329136;7044088;86.57;42948;432912;13150564;84.97;5335832;1266284;11632
hn0-hadoop;5;2024-07-08 20:21:25 UTC;1153148;1389896;6983388;85.83;42948;432884;13144208;84.93;5280084;1261796;11768
hn0-hadoop;5;2024-07-08 20:21:30 UTC;1228440;1465024;6908096;84.90;42948;432668;13080540;84.52;5204784;1261216;11224
hn0-hadoop;5;2024-07-08 20:21:35 UTC;1090516;1327156;7046020;86.60;42948;432700;13223404;85.44;5342552;1261248;11284
hn0-hadoop;5;2024-07-08 20:21:40 UTC;1036152;1303884;7100384;87.27;42964;463212;13255356;85.65;5361700;1291452;41672
hn0-hadoop;5;2024-07-08 20:21:45 UTC;802840;1176836;7333696;90.13;42972;558772;13477200;87.08;5490200;1375844;109420
hn0-hadoop;5;2024-07-08 20:21:50 UTC;583644;1054296;7552892;92.83;43024;641068;13688560;88.45;5602220;1457668;87852
hn0-hadoop;5;2024-07-08 20:21:55 UTC;344976;902140;7791560;95.76;43024;712276;13692644;88.47;5756936;1528808;73908
hn0-hadoop;5;2024-07-08 20:22:00 UTC;237060;794912;7899476;97.09;43024;710488;13792100;89.12;5862204;1532480;73928
hn0-hadoop;5;2024-07-08 20:22:05 UTC;189164;747472;7947372;97.68;43024;710824;13783360;89.06;5911392;1532892;74096
hn0-hadoop;5;2024-07-08 20:22:10 UTC;360008;917684;7776528;95.58;43024;710248;13498944;87.22;5743196;1531728;73572
hn0-hadoop;5;2024-07-08 20:22:15 UTC;345436;903152;7791100;95.75;43032;710268;13451152;86.91;5759492;1531752;73616
hn0-hadoop;5;2024-07-08 20:22:20 UTC;342960;900836;7793576;95.78;43088;710280;13426604;86.75;5761648;1531708;63248
hn0-hadoop;5;2024-07-08 20:22:25 UTC;321308;879332;7815228;96.05;43088;710712;13532240;87.44;5784988;1532052;560
hn0-hadoop;5;2024-07-08 20:22:30 UTC;324888;883756;7811648;96.01;43088;710788;13473848;87.06;5778336;1531892;768
hn0-hadoop;5;2024-07-08 20:22:35 UTC;274720;833696;7861816;96.62;43092;710892;13907976;89.86;5831932;1531880;792
hn0-hadoop;5;2024-07-08 20:22:40 UTC;283344;842200;7853192;96.52;43092;710756;13898868;89.81;5825308;1531020;576
hn0-hadoop;5;2024-07-08 20:22:45 UTC;335320;895688;7801216;95.88;43104;712144;13888832;89.74;5772700;1529616;964
hn0-hadoop;5;2024-07-08 20:22:50 UTC;342260;902556;7794276;95.79;43272;712204;13461980;86.98;5764748;1529356;3440
hn0-hadoop;5;2024-07-08 20:22:55 UTC;340316;900668;7796220;95.82;43272;712260;13463152;86.99;5766804;1529084;3252
hn0-hadoop;5;2024-07-08 20:23:00 UTC;262124;823052;7874412;96.78;43272;712832;13914012;89.90;5847708;1529616;3832
hn0-hadoop;5;2024-07-08 20:23:05 UTC;142452;703472;7994084;98.25;43272;712920;14104584;91.14;5964256;1529740;3892
hn0-hadoop;5;2024-07-08 20:23:10 UTC;185276;745948;7951260;97.72;43272;712788;14129824;91.30;5920552;1529272;3684
hn0-hadoop;5;2024-07-08 20:23:15 UTC;331676;868360;7804860;95.92;43088;693416;13745824;88.82;5779712;1527460;3532
