# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
hn0-hadoop;5;2024-07-08 20:20:55 UTC;eth0;137.20;135.00;66.42;44.55;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 20:20:55 UTC;lo;27.00;27.00;51.68;51.68;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 20:21:00 UTC;eth0;117.00;118.80;58.86;51.74;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 20:21:00 UTC;lo;18.20;18.20;8.43;8.43;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 20:21:05 UTC;eth0;117.60;119.20;58.79;51.09;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 20:21:05 UTC;lo;31.80;31.80;16.73;16.73;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 20:21:10 UTC;eth0;139.40;135.40;71.61;41.03;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 20:21:10 UTC;lo;58.60;58.60;37.02;37.02;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 20:21:15 UTC;eth0;156.20;151.20;79.57;76.00;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 20:21:15 UTC;lo;53.80;53.80;206.20;206.20;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 20:21:20 UTC;eth0;92.00;76.00;67.18;10.11;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 20:21:20 UTC;lo;22.60;22.60;15.53;15.53;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 20:21:25 UTC;eth0;107.20;109.00;59.47;21.71;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 20:21:25 UTC;lo;56.80;56.80;102.05;102.05;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 20:21:30 UTC;eth0;37.92;49.30;10.54;8.62;0.00;0.00;0.00;0.00
