# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
hn0-hadoop;5;2024-07-08 20:11:50 UTC;1246284;1484820;6890252;84.68;43180;436280;12765808;82.48;5197988;1256584;2188
hn0-hadoop;5;2024-07-08 20:11:55 UTC;1242920;1481260;6893616;84.72;43180;434124;12782596;82.59;5195368;1260932;544
hn0-hadoop;5;2024-07-08 20:12:00 UTC;1227304;1467456;6909232;84.92;43484;435596;12788044;82.63;5208688;1261048;640
hn0-hadoop;5;2024-07-08 20:12:05 UTC;1235712;1485428;6900824;84.81;43696;444884;12768712;82.50;5189028;1268952;1448
hn0-hadoop;5;2024-07-08 20:12:10 UTC;1235620;1485556;6900916;84.81;43700;445152;12786236;82.62;5189544;1269092;1488
hn0-hadoop;5;2024-07-08 20:12:15 UTC;1089788;1340108;7046748;86.61;43712;445460;13035960;84.23;5336780;1269324;2220
hn0-hadoop;5;2024-07-08 20:12:20 UTC;1119444;1369844;7017092;86.24;43712;445484;13033976;84.22;5305400;1268788;192
hn0-hadoop;5;2024-07-08 20:12:25 UTC;1169212;1419812;6967324;85.63;43712;445776;13123056;84.79;5255380;1268996;1480
hn0-hadoop;5;2024-07-08 20:12:30 UTC;1059400;1311192;7077136;86.98;43712;446852;13200752;85.30;5362792;1269472;2568
hn0-hadoop;5;2024-07-08 20:12:35 UTC;880476;1132464;7256060;89.18;43712;446968;13891684;89.76;5531504;1269672;508
hn0-hadoop;5;2024-07-08 20:12:40 UTC;828476;1080560;7308060;89.82;43720;447060;13887676;89.73;5591368;1269688;668
hn0-hadoop;5;2024-07-08 20:12:45 UTC;865188;1117376;7271348;89.37;43736;447124;13624184;88.03;5555040;1269476;892
hn0-hadoop;5;2024-07-08 20:12:50 UTC;776144;1028420;7360392;90.46;43740;447232;13685184;88.43;5642796;1269400;2080
hn0-hadoop;5;2024-07-08 20:12:55 UTC;717760;970704;7418776;91.18;43740;447828;13705428;88.56;5703324;1269796;2692
hn0-hadoop;5;2024-07-08 20:13:00 UTC;794360;1046952;7342176;90.24;43740;447396;13879548;89.68;5628920;1269304;2052
hn0-hadoop;5;2024-07-08 20:13:05 UTC;858896;1111712;7277640;89.44;43740;449544;13913224;89.90;5562400;1271060;2236
hn0-hadoop;5;2024-07-08 20:13:10 UTC;691176;944204;7445360;91.51;43748;449740;14125280;91.27;5728308;1271148;2284
hn0-hadoop;5;2024-07-08 20:13:15 UTC;845356;1098244;7291180;89.61;43760;449580;13688224;88.44;5578040;1270968;2192
hn0-hadoop;5;2024-07-08 20:13:20 UTC;882784;1135404;7253752;89.15;43760;447444;13482752;87.12;5539532;1271636;1384
hn0-hadoop;5;2024-07-08 20:13:25 UTC;883464;1136044;7253072;89.14;43760;447472;13488904;87.16;5539352;1271264;1396
hn0-hadoop;5;2024-07-08 20:13:30 UTC;864296;1116916;7272240;89.38;43760;447512;13438012;86.83;5559564;1271128;1444
hn0-hadoop;5;2024-07-08 20:13:35 UTC;862848;1115500;7273688;89.40;43764;447536;13428792;86.77;5561832;1270944;236
hn0-hadoop;5;2024-07-08 20:13:40 UTC;862908;1115644;7273628;89.39;43772;447612;13438356;86.83;5561488;1271020;364
hn0-hadoop;5;2024-07-08 20:13:45 UTC;857204;1110568;7279332;89.46;43780;448292;13448668;86.90;5567696;1271284;1392
hn0-hadoop;5;2024-07-08 20:13:50 UTC;859172;1112596;7277364;89.44;43784;448344;13432996;86.80;5565340;1271300;1456
hn0-hadoop;5;2024-07-08 20:13:55 UTC;859984;1113224;7276552;89.43;43784;448132;13523356;87.38;5564080;1271044;752
hn0-hadoop;5;2024-07-08 20:14:00 UTC;750396;1003716;7386140;90.78;43784;448212;13725744;88.69;5675260;1271124;304
hn0-hadoop;5;2024-07-08 20:14:05 UTC;655144;909192;7481392;91.95;43784;448812;13847500;89.47;5768868;1271408;952
hn0-hadoop;5;2024-07-08 20:14:10 UTC;872380;1125900;7264156;89.28;43792;448328;13369400;86.38;5553836;1270916;524
hn0-hadoop;5;2024-07-08 20:14:15 UTC;852936;1106840;7283600;89.52;43804;448696;13356468;86.30;5573612;1271244;1096
hn0-hadoop;5;2024-07-08 20:14:20 UTC;860024;1113964;7276512;89.43;43804;448712;13363436;86.35;5567416;1271276;1120
hn0-hadoop;5;2024-07-08 20:14:25 UTC;858640;1112712;7277896;89.45;43804;448924;13356436;86.30;5567772;1271116;1364
hn0-hadoop;5;2024-07-08 20:14:30 UTC;872004;1125644;7264532;89.28;43804;448496;13340304;86.20;5555280;1270676;712
