# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
hn0-hadoop;5;2024-07-08 21:51:55 UTC;1073172;1358256;7063364;86.81;39560;483068;13027976;84.18;5365740;1257164;1684
hn0-hadoop;5;2024-07-08 21:52:00 UTC;1220764;1505912;6915772;85.00;39560;483152;12764864;82.48;5218712;1257036;1868
hn0-hadoop;5;2024-07-08 21:52:05 UTC;1205736;1490928;6930800;85.18;39560;483208;12772108;82.53;5233000;1257096;1864
hn0-hadoop;5;2024-07-08 21:52:10 UTC;1213624;1498624;6922912;85.08;39568;484936;12755340;82.42;5221520;1258776;1424
hn0-hadoop;5;2024-07-08 21:52:15 UTC;1210172;1495204;6926364;85.13;39568;484996;12779396;82.57;5224832;1258816;1456
hn0-hadoop;5;2024-07-08 21:52:20 UTC;1097340;1382680;7039196;86.51;39580;483308;13030148;84.19;5341844;1254948;2292
hn0-hadoop;5;2024-07-08 21:52:25 UTC;1155276;1440656;6981260;85.80;39580;483360;13073516;84.47;5282616;1255000;280
hn0-hadoop;5;2024-07-08 21:52:30 UTC;1009284;1295204;7127252;87.60;39580;483720;13196276;85.27;5427016;1255196;700
hn0-hadoop;5;2024-07-08 21:52:35 UTC;1026004;1312896;7110532;87.39;39580;484844;13561364;87.63;5408352;1256320;1828
hn0-hadoop;5;2024-07-08 21:52:40 UTC;973264;1260080;7163272;88.04;39588;484716;13639424;88.13;5460284;1255908;2740
hn0-hadoop;5;2024-07-08 21:52:45 UTC;850136;1137560;7286400;89.55;39588;485312;14122968;91.25;5573976;1256452;3208
hn0-hadoop;5;2024-07-08 21:52:50 UTC;816024;1103348;7320512;89.97;39592;485228;14298128;92.39;5613828;1256248;3632
hn0-hadoop;5;2024-07-08 21:52:55 UTC;817204;1104436;7319332;89.96;39592;485072;13455748;86.94;5618740;1255488;3456
hn0-hadoop;5;2024-07-08 21:53:00 UTC;732464;1019884;7404072;91.00;39592;485332;13901372;89.82;5702812;1255488;3572
hn0-hadoop;5;2024-07-08 21:53:05 UTC;775664;1063036;7360872;90.47;39592;485332;13951596;90.15;5661316;1255448;3580
hn0-hadoop;5;2024-07-08 21:53:10 UTC;639520;926948;7497016;92.14;39600;485364;14151964;91.44;5794648;1255480;2608
hn0-hadoop;5;2024-07-08 21:53:15 UTC;813944;1101500;7322592;90.00;39600;485628;13724164;88.68;5623136;1255720;2368
hn0-hadoop;5;2024-07-08 21:53:20 UTC;834648;1122276;7301888;89.74;39628;485648;13521696;87.37;5604200;1255468;1884
hn0-hadoop;5;2024-07-08 21:53:25 UTC;842428;1129884;7294108;89.65;39628;485400;13511816;87.31;5595272;1255200;1568
hn0-hadoop;5;2024-07-08 21:53:30 UTC;846712;1134200;7289824;89.59;39628;485432;13430264;86.78;5593736;1255168;1448
hn0-hadoop;5;2024-07-08 21:53:35 UTC;846256;1133808;7290280;89.60;39628;485464;13441152;86.85;5593168;1255188;1388
hn0-hadoop;5;2024-07-08 21:53:40 UTC;846872;1134500;7289664;89.59;39636;485532;13429744;86.77;5593112;1255032;1444
hn0-hadoop;5;2024-07-08 21:53:45 UTC;845364;1133492;7291172;89.61;39636;485916;13437744;86.83;5593976;1255404;1828
hn0-hadoop;5;2024-07-08 21:53:50 UTC;832544;1121044;7303992;89.77;39648;486268;13431644;86.79;5607348;1255428;2020
hn0-hadoop;5;2024-07-08 21:53:55 UTC;835196;1123640;7301340;89.74;39648;486332;13518276;87.35;5604272;1255372;1924
hn0-hadoop;5;2024-07-08 21:54:00 UTC;753068;1041768;7383468;90.74;39648;488432;13711988;88.60;5685228;1257108;2164
hn0-hadoop;5;2024-07-08 21:54:05 UTC;632684;921908;7503852;92.22;39648;488752;13855216;89.52;5803680;1257416;2456
hn0-hadoop;5;2024-07-08 21:54:10 UTC;845464;1134176;7291072;89.61;39656;488276;13353780;86.28;5593520;1256916;1924
hn0-hadoop;5;2024-07-08 21:54:15 UTC;837824;1126540;7298712;89.70;39656;488312;13352560;86.28;5601080;1256948;1972
hn0-hadoop;5;2024-07-08 21:54:20 UTC;846096;1134792;7290440;89.60;39664;488356;13346020;86.23;5594396;1256708;1408
hn0-hadoop;5;2024-07-08 21:54:25 UTC;845332;1134228;7291204;89.61;39664;486656;13339452;86.19;5591300;1260952;1528
hn0-hadoop;5;2024-07-08 21:54:30 UTC;830432;1119484;7306104;89.79;39664;486720;13366360;86.37;5605660;1261104;1724
hn0-hadoop;5;2024-07-08 21:54:35 UTC;833440;1122532;7303096;89.76;39664;486748;13362660;86.34;5603616;1260880;692
hn0-hadoop;5;2024-07-08 21:54:40 UTC;846632;1135496;7289904;89.59;39672;486536;13353204;86.28;5589380;1260120;456
hn0-hadoop;5;2024-07-08 21:54:45 UTC;841664;1130828;7294872;89.66;39672;486900;13546828;87.53;5594844;1260464;684
hn0-hadoop;5;2024-07-08 21:54:50 UTC;838396;1127616;7298140;89.70;39680;486952;13403276;86.60;5596280;1260216;1032
hn0-hadoop;5;2024-07-08 21:54:55 UTC;687132;977060;7449404;91.55;39680;487652;13631660;88.08;5748252;1260912;1092
hn0-hadoop;5;2024-07-08 21:55:00 UTC;842916;1132492;7293620;89.64;39680;487344;13362548;86.34;5594596;1260220;896
hn0-hadoop;5;2024-07-08 21:55:05 UTC;844520;1134320;7292016;89.62;39680;487508;13352952;86.28;5591036;1260420;1080
