# hostname;interval;timestamp;tps;rtps;wtps;bread/s;bwrtn/s
hn0-hadoop;5;2024-07-08 21:51:55 UTC;15.40;1.00;14.40;19.20;128.00
hn0-hadoop;5;2024-07-08 21:52:00 UTC;8.40;0.00;8.40;0.00;73.60
hn0-hadoop;5;2024-07-08 21:52:05 UTC;13.00;0.00;13.00;0.00;137.60
hn0-hadoop;5;2024-07-08 21:52:10 UTC;4.60;0.40;4.20;4.80;128.00
hn0-hadoop;5;2024-07-08 21:52:15 UTC;2.40;0.00;2.40;0.00;25.60
hn0-hadoop;5;2024-07-08 21:52:20 UTC;3.60;0.20;3.40;1.60;260.80
hn0-hadoop;5;2024-07-08 21:52:25 UTC;26.80;0.00;26.80;0.00;859.20
hn0-hadoop;5;2024-07-08 21:52:30 UTC;2.00;0.20;1.80;8.00;20.80
hn0-hadoop;5;2024-07-08 21:52:35 UTC;4.00;0.00;4.00;0.00;54.40
hn0-hadoop;5;2024-07-08 21:52:40 UTC;4.39;0.00;4.39;0.00;57.49
hn0-hadoop;5;2024-07-08 21:52:45 UTC;4.00;0.00;4.00;0.00;99.20
hn0-hadoop;5;2024-07-08 21:52:50 UTC;5.20;0.00;5.20;0.00;284.80
hn0-hadoop;5;2024-07-08 21:52:55 UTC;7.80;0.00;7.80;0.00;134.40
hn0-hadoop;5;2024-07-08 21:53:00 UTC;4.19;0.00;4.19;0.00;103.79
hn0-hadoop;5;2024-07-08 21:53:05 UTC;3.00;0.00;3.00;0.00;54.40
hn0-hadoop;5;2024-07-08 21:53:10 UTC;12.00;0.00;12.00;0.00;444.80
hn0-hadoop;5;2024-07-08 21:53:15 UTC;5.60;0.00;5.60;0.00;281.60
hn0-hadoop;5;2024-07-08 21:53:20 UTC;27.40;0.00;27.40;0.00;915.20
hn0-hadoop;5;2024-07-08 21:53:25 UTC;9.20;0.00;9.20;0.00;116.80
hn0-hadoop;5;2024-07-08 21:53:30 UTC;2.20;0.00;2.20;0.00;92.80
hn0-hadoop;5;2024-07-08 21:53:35 UTC;2.20;0.00;2.20;0.00;80.00
hn0-hadoop;5;2024-07-08 21:53:40 UTC;2.20;0.00;2.20;0.00;33.60
hn0-hadoop;5;2024-07-08 21:53:45 UTC;1.80;0.00;1.80;0.00;20.80
hn0-hadoop;5;2024-07-08 21:53:50 UTC;6.20;0.20;6.00;1.60;401.60
hn0-hadoop;5;2024-07-08 21:53:55 UTC;7.60;0.00;7.60;0.00;107.20
hn0-hadoop;5;2024-07-08 21:54:00 UTC;4.59;0.00;4.59;0.00;59.08
hn0-hadoop;5;2024-07-08 21:54:05 UTC;2.60;0.00;2.60;0.00;40.00
hn0-hadoop;5;2024-07-08 21:54:10 UTC;9.20;0.00;9.20;0.00;110.40
hn0-hadoop;5;2024-07-08 21:54:15 UTC;2.60;0.00;2.60;0.00;30.40
hn0-hadoop;5;2024-07-08 21:54:20 UTC;18.20;0.00;18.20;0.00;428.80
hn0-hadoop;5;2024-07-08 21:54:25 UTC;7.80;0.00;7.80;0.00;108.80
hn0-hadoop;5;2024-07-08 21:54:30 UTC;2.80;0.00;2.80;0.00;30.40
hn0-hadoop;5;2024-07-08 21:54:35 UTC;4.60;0.00;4.60;0.00;476.80
hn0-hadoop;5;2024-07-08 21:54:40 UTC;3.80;0.00;3.80;0.00;64.00
hn0-hadoop;5;2024-07-08 21:54:45 UTC;2.40;0.00;2.40;0.00;72.00
hn0-hadoop;5;2024-07-08 21:54:50 UTC;4.20;0.20;4.00;1.60;200.00
hn0-hadoop;5;2024-07-08 21:54:55 UTC;7.00;0.00;7.00;0.00;283.20
hn0-hadoop;5;2024-07-08 21:55:00 UTC;9.60;0.00;9.60;0.00;70.40
hn0-hadoop;5;2024-07-08 21:55:05 UTC;4.40;0.20;4.20;28.80;62.40
