# hostname;interval;timestamp;tps;rtps;wtps;bread/s;bwrtn/s
hn0-hadoop;5;2024-07-09 06:33:00 UTC;10.80;6.40;4.40;147.20;59.20
hn0-hadoop;5;2024-07-09 06:33:05 UTC;8.80;0.20;8.60;1.60;4801.60
hn0-hadoop;5;2024-07-09 06:33:10 UTC;25.80;0.20;25.60;1.60;4998.40
hn0-hadoop;5;2024-07-09 06:33:15 UTC;5.60;0.20;5.40;1.60;73.60
hn0-hadoop;5;2024-07-09 06:33:20 UTC;4.00;0.20;3.80;1.60;52.80
hn0-hadoop;5;2024-07-09 06:33:25 UTC;2.20;0.00;2.20;0.00;24.00
hn0-hadoop;5;2024-07-09 06:33:30 UTC;9.20;4.20;5.00;52.80;97.60
hn0-hadoop;5;2024-07-09 06:33:35 UTC;5.20;0.00;5.20;0.00;657.60
hn0-hadoop;5;2024-07-09 06:33:40 UTC;8.60;0.20;8.40;1.60;171.20
hn0-hadoop;5;2024-07-09 06:33:45 UTC;2.80;0.00;2.80;0.00;28.80
hn0-hadoop;5;2024-07-09 06:33:50 UTC;7.39;2.00;5.39;70.26;76.65
hn0-hadoop;5;2024-07-09 06:33:55 UTC;60.60;0.00;60.60;0.00;5883.20
hn0-hadoop;5;2024-07-09 06:34:00 UTC;66.20;0.20;66.00;1.60;12880.00
hn0-hadoop;5;2024-07-09 06:34:05 UTC;344.31;0.20;344.11;1.60;45903.39
hn0-hadoop;5;2024-07-09 06:34:10 UTC;162.80;5.40;157.40;120.00;33049.60
hn0-hadoop;5;2024-07-09 06:34:15 UTC;34.20;25.60;8.60;665.60;51.20
hn0-hadoop;5;2024-07-09 06:34:20 UTC;24.00;20.80;3.20;712.00;32.00
hn0-hadoop;5;2024-07-09 06:34:25 UTC;2.79;0.40;2.40;3.19;25.55
hn0-hadoop;5;2024-07-09 06:34:30 UTC;3.40;0.20;3.20;1.60;36.80
hn0-hadoop;5;2024-07-09 06:34:35 UTC;6.00;0.40;5.60;3.20;4672.00
hn0-hadoop;5;2024-07-09 06:34:40 UTC;88.40;13.60;74.80;772.80;5715.20
hn0-hadoop;5;2024-07-09 06:34:45 UTC;106.00;0.40;105.60;3.20;19980.80
hn0-hadoop;5;2024-07-09 06:34:50 UTC;7.60;5.40;2.20;88.00;38.40
hn0-hadoop;5;2024-07-09 06:34:55 UTC;2.60;0.00;2.60;0.00;27.20
hn0-hadoop;5;2024-07-09 06:35:00 UTC;4.00;0.40;3.60;4.80;51.20
hn0-hadoop;5;2024-07-09 06:35:05 UTC;44.60;7.80;36.80;1267.20;5672.00
hn0-hadoop;5;2024-07-09 06:35:10 UTC;6.80;0.00;6.80;0.00;115.20
hn0-hadoop;5;2024-07-09 06:35:15 UTC;2.00;0.00;2.00;0.00;22.40
hn0-hadoop;5;2024-07-09 06:35:20 UTC;3.00;0.20;2.80;1.60;300.80
hn0-hadoop;5;2024-07-09 06:35:25 UTC;0.80;0.00;0.80;0.00;12.80
hn0-hadoop;5;2024-07-09 06:35:30 UTC;3.80;0.00;3.80;0.00;44.80
hn0-hadoop;5;2024-07-09 06:35:35 UTC;5.40;0.00;5.40;0.00;585.60
hn0-hadoop;5;2024-07-09 06:35:40 UTC;3.80;1.00;2.80;16.00;28.80
hn0-hadoop;5;2024-07-09 06:35:45 UTC;6.60;0.00;6.60;0.00;104.00
hn0-hadoop;5;2024-07-09 06:35:50 UTC;2.60;0.20;2.40;1.60;113.60
hn0-hadoop;5;2024-07-09 06:35:55 UTC;12.80;0.60;12.20;4.80;190.40
hn0-hadoop;5;2024-07-09 06:36:00 UTC;3.20;0.00;3.20;0.00;49.60
hn0-hadoop;5;2024-07-09 06:36:05 UTC;11.20;0.40;10.80;3.20;392.00
hn0-hadoop;5;2024-07-09 06:36:10 UTC;3.00;0.00;3.00;0.00;30.40
hn0-hadoop;5;2024-07-09 06:36:15 UTC;19.20;0.20;19.00;1.60;328.00
hn0-hadoop;5;2024-07-09 06:36:20 UTC;2.00;1.20;0.80;19.20;12.80
hn0-hadoop;5;2024-07-09 06:36:25 UTC;8.20;0.00;8.20;0.00;118.40
hn0-hadoop;5;2024-07-09 06:36:30 UTC;1.60;0.40;1.20;4.80;132.80
hn0-hadoop;5;2024-07-09 06:36:35 UTC;3.00;0.20;2.80;1.60;121.60
hn0-hadoop;5;2024-07-09 06:36:40 UTC;16.20;0.20;16.00;1.60;324.80
hn0-hadoop;5;2024-07-09 06:36:45 UTC;3.00;0.00;3.00;0.00;30.40
hn0-hadoop;5;2024-07-09 06:36:50 UTC;11.20;7.40;3.80;313.60;59.20
hn0-hadoop;5;2024-07-09 06:36:55 UTC;9.58;0.00;9.58;0.00;194.81
hn0-hadoop;5;2024-07-09 06:37:00 UTC;5.60;0.00;5.60;0.00;48.00
hn0-hadoop;5;2024-07-09 06:37:05 UTC;8.60;0.00;8.60;0.00;457.60
hn0-hadoop;5;2024-07-09 06:37:10 UTC;23.00;0.00;23.00;0.00;289.60
hn0-hadoop;5;2024-07-09 06:37:15 UTC;3.00;0.00;3.00;0.00;30.40
hn0-hadoop;5;2024-07-09 06:37:20 UTC;11.40;0.20;11.20;1.60;688.00
hn0-hadoop;5;2024-07-09 06:37:25 UTC;1.20;0.00;1.20;0.00;16.00
hn0-hadoop;5;2024-07-09 06:37:30 UTC;1.40;0.20;1.20;11.20;88.00
hn0-hadoop;5;2024-07-09 06:37:35 UTC;13.80;0.20;13.60;1.60;747.20
hn0-hadoop;5;2024-07-09 06:37:40 UTC;1.60;0.00;1.60;0.00;41.60
hn0-hadoop;5;2024-07-09 06:37:45 UTC;2.99;0.20;2.79;6.39;28.74
hn0-hadoop;5;2024-07-09 06:37:50 UTC;20.20;0.20;20.00;1.60;404.80
hn0-hadoop;5;2024-07-09 06:37:55 UTC;3.80;0.20;3.60;8.00;35.20
hn0-hadoop;5;2024-07-09 06:38:00 UTC;3.20;0.40;2.80;3.20;100.80
hn0-hadoop;5;2024-07-09 06:38:05 UTC;4.60;0.40;4.20;3.20;232.00
hn0-hadoop;5;2024-07-09 06:38:10 UTC;3.00;0.20;2.80;8.00;35.20
hn0-hadoop;5;2024-07-09 06:38:15 UTC;2.40;0.00;2.40;0.00;48.00
hn0-hadoop;5;2024-07-09 06:38:20 UTC;9.80;0.00;9.80;0.00;140.80
hn0-hadoop;5;2024-07-09 06:38:25 UTC;3.60;0.00;3.60;0.00;80.00
hn0-hadoop;5;2024-07-09 06:38:30 UTC;18.40;0.40;18.00;4.80;376.00
hn0-hadoop;5;2024-07-09 06:38:35 UTC;3.40;0.00;3.40;0.00;249.60
hn0-hadoop;5;2024-07-09 06:38:40 UTC;20.20;0.00;20.20;0.00;238.40
hn0-hadoop;5;2024-07-09 06:38:45 UTC;0.80;0.00;0.80;0.00;12.80
hn0-hadoop;5;2024-07-09 06:38:50 UTC;2.40;0.00;2.40;0.00;36.80
hn0-hadoop;5;2024-07-09 06:38:55 UTC;2.60;0.00;2.60;0.00;27.20
hn0-hadoop;5;2024-07-09 06:39:00 UTC;12.38;0.00;12.38;0.00;328.94
hn0-hadoop;5;2024-07-09 06:39:05 UTC;4.80;0.00;4.80;0.00;187.20
hn0-hadoop;5;2024-07-09 06:39:10 UTC;17.60;2.20;15.40;57.60;1299.20
hn0-hadoop;5;2024-07-09 06:39:15 UTC;1.40;0.40;1.00;4.80;14.40
hn0-hadoop;5;2024-07-09 06:39:20 UTC;15.00;0.00;15.00;0.00;211.20
hn0-hadoop;5;2024-07-09 06:39:25 UTC;1.00;0.00;1.00;0.00;14.40
hn0-hadoop;5;2024-07-09 06:39:30 UTC;1.40;0.00;1.40;0.00;17.60
hn0-hadoop;5;2024-07-09 06:39:35 UTC;5.60;0.00;5.60;0.00;654.40
hn0-hadoop;5;2024-07-09 06:39:40 UTC;5.00;0.20;4.80;3.20;105.60
hn0-hadoop;5;2024-07-09 06:39:45 UTC;2.00;0.00;2.00;0.00;22.40
hn0-hadoop;5;2024-07-09 06:39:50 UTC;9.40;0.40;9.00;3.20;140.80
hn0-hadoop;5;2024-07-09 06:39:55 UTC;3.19;0.00;3.19;0.00;87.82
hn0-hadoop;5;2024-07-09 06:40:00 UTC;5.40;0.00;5.40;0.00;46.40
hn0-hadoop;5;2024-07-09 06:40:05 UTC;8.60;1.40;7.20;16.00;254.40
hn0-hadoop;5;2024-07-09 06:40:10 UTC;19.00;0.00;19.00;0.00;297.60
hn0-hadoop;5;2024-07-09 06:40:15 UTC;2.80;0.00;2.80;0.00;28.80
hn0-hadoop;5;2024-07-09 06:40:20 UTC;8.00;0.00;8.00;0.00;158.40
hn0-hadoop;5;2024-07-09 06:40:25 UTC;9.20;0.00;9.20;0.00;148.80
hn0-hadoop;5;2024-07-09 06:40:30 UTC;0.40;0.00;0.40;0.00;9.60
hn0-hadoop;5;2024-07-09 06:40:35 UTC;1.80;0.00;1.80;0.00;142.40
hn0-hadoop;5;2024-07-09 06:40:40 UTC;3.40;0.20;3.20;1.60;38.40
hn0-hadoop;5;2024-07-09 06:40:45 UTC;3.40;0.00;3.40;0.00;99.20
hn0-hadoop;5;2024-07-09 06:40:50 UTC;4.40;0.20;4.20;1.60;51.20
hn0-hadoop;5;2024-07-09 06:40:55 UTC;6.20;0.00;6.20;0.00;105.60
hn0-hadoop;5;2024-07-09 06:41:00 UTC;1.40;0.00;1.40;0.00;67.20
hn0-hadoop;5;2024-07-09 06:41:05 UTC;3.20;0.00;3.20;0.00;161.60
hn0-hadoop;5;2024-07-09 06:41:10 UTC;13.20;0.00;13.20;0.00;121.60
hn0-hadoop;5;2024-07-09 06:41:15 UTC;3.80;0.00;3.80;0.00;270.40
hn0-hadoop;5;2024-07-09 06:41:20 UTC;3.80;0.00;3.80;0.00;36.80
hn0-hadoop;5;2024-07-09 06:41:25 UTC;9.20;0.00;9.20;0.00;118.40
hn0-hadoop;5;2024-07-09 06:41:30 UTC;0.40;0.00;0.40;0.00;9.60
hn0-hadoop;5;2024-07-09 06:41:35 UTC;4.80;0.00;4.80;0.00;627.20
hn0-hadoop;5;2024-07-09 06:41:40 UTC;1.20;0.20;1.00;1.60;65.60
hn0-hadoop;5;2024-07-09 06:41:45 UTC;1.20;0.00;1.20;0.00;24.00
hn0-hadoop;5;2024-07-09 06:41:50 UTC;4.39;0.80;3.59;25.55;46.31
hn0-hadoop;5;2024-07-09 06:41:55 UTC;11.58;2.59;8.98;38.32;121.36
hn0-hadoop;5;2024-07-09 06:42:00 UTC;3.00;0.00;3.00;0.00;30.40
hn0-hadoop;5;2024-07-09 06:42:05 UTC;12.80;0.00;12.80;0.00;4857.60
hn0-hadoop;5;2024-07-09 06:42:10 UTC;3.20;0.40;2.80;9.60;192.00
hn0-hadoop;5;2024-07-09 06:42:15 UTC;49.40;0.00;49.40;0.00;6649.60
hn0-hadoop;5;2024-07-09 06:42:20 UTC;283.60;0.00;283.60;0.00;35904.00
hn0-hadoop;5;2024-07-09 06:42:25 UTC;225.15;0.00;225.15;0.00;50230.74
hn0-hadoop;5;2024-07-09 06:42:30 UTC;3.20;0.20;3.00;8.00;30.40
hn0-hadoop;5;2024-07-09 06:42:35 UTC;3.20;0.00;3.20;0.00;76.80
hn0-hadoop;5;2024-07-09 06:42:40 UTC;2.20;0.00;2.20;0.00;35.20
hn0-hadoop;5;2024-07-09 06:42:45 UTC;70.92;0.00;70.92;0.00;11223.90
hn0-hadoop;5;2024-07-09 06:42:50 UTC;86.60;1.20;85.40;9.60;12201.60
hn0-hadoop;5;2024-07-09 06:42:55 UTC;53.80;1.00;52.80;11.20;15300.80
hn0-hadoop;5;2024-07-09 06:43:00 UTC;23.15;9.58;13.57;244.31;1060.28
hn0-hadoop;5;2024-07-09 06:43:05 UTC;25.80;19.40;6.40;1720.00;44.80
hn0-hadoop;5;2024-07-09 06:43:10 UTC;5.00;0.40;4.60;3.20;65.60
hn0-hadoop;5;2024-07-09 06:43:15 UTC;4.20;0.60;3.60;11.20;64.00
hn0-hadoop;5;2024-07-09 06:43:20 UTC;8.20;0.20;8.00;1.60;286.40
hn0-hadoop;5;2024-07-09 06:43:25 UTC;30.20;0.20;30.00;1.60;3972.80
hn0-hadoop;5;2024-07-09 06:43:30 UTC;2.00;0.00;2.00;0.00;25.60
hn0-hadoop;5;2024-07-09 06:43:35 UTC;5.40;0.00;5.40;0.00;582.40
hn0-hadoop;5;2024-07-09 06:43:40 UTC;4.00;0.40;3.60;4.80;35.20
