# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
hn0-hadoop;5;2024-07-10 09:10:44 UTC;-1;6.95;0.00;6.74;0.00;0.00;86.31
hn0-hadoop;5;2024-07-10 09:10:49 UTC;-1;10.70;0.00;9.42;12.46;0.00;67.41
hn0-hadoop;5;2024-07-10 09:10:54 UTC;-1;22.40;0.00;15.05;0.06;0.00;62.49
hn0-hadoop;5;2024-07-10 09:10:59 UTC;-1;24.06;0.00;13.00;0.06;0.00;62.89
hn0-hadoop;5;2024-07-10 09:11:04 UTC;-1;19.25;0.00;10.87;0.00;0.00;69.88
hn0-hadoop;5;2024-07-10 09:11:09 UTC;-1;30.57;0.00;13.91;0.00;0.00;55.52
hn0-hadoop;5;2024-07-10 09:11:14 UTC;-1;59.86;0.00;30.22;0.07;0.00;9.86
hn0-hadoop;5;2024-07-10 09:11:19 UTC;-1;62.17;0.00;32.71;0.07;0.00;5.05
hn0-hadoop;5;2024-07-10 09:11:24 UTC;-1;69.33;0.00;27.47;0.00;0.00;3.20
hn0-hadoop;5;2024-07-10 09:11:29 UTC;-1;66.87;0.00;31.79;0.07;0.00;1.27
hn0-hadoop;5;2024-07-10 09:11:34 UTC;-1;64.62;0.00;34.45;0.00;0.00;0.93
hn0-hadoop;5;2024-07-10 09:11:39 UTC;-1;66.95;0.00;29.20;0.00;0.00;3.85
hn0-hadoop;5;2024-07-10 09:11:44 UTC;-1;59.02;0.00;24.60;0.13;0.00;16.25
hn0-hadoop;5;2024-07-10 09:11:49 UTC;-1;39.36;0.00;15.26;0.41;0.00;44.97
hn0-hadoop;5;2024-07-10 09:11:54 UTC;-1;27.07;0.00;25.73;0.00;0.00;47.20
hn0-hadoop;5;2024-07-10 09:11:59 UTC;-1;15.36;0.00;18.33;10.03;0.00;56.28
hn0-hadoop;5;2024-07-10 09:12:04 UTC;-1;25.29;0.00;18.38;2.42;0.00;53.92
hn0-hadoop;5;2024-07-10 09:12:09 UTC;-1;58.85;0.00;22.76;0.13;0.00;18.27
hn0-hadoop;5;2024-07-10 09:12:14 UTC;-1;48.59;0.00;21.30;0.06;0.00;30.05
hn0-hadoop;5;2024-07-10 09:12:19 UTC;-1;47.33;0.00;20.22;0.00;0.00;32.45
hn0-hadoop;5;2024-07-10 09:12:24 UTC;-1;32.88;0.00;10.94;0.06;0.00;56.13
hn0-hadoop;5;2024-07-10 09:12:29 UTC;-1;10.09;0.00;4.75;0.00;0.00;85.16
hn0-hadoop;5;2024-07-10 09:12:34 UTC;-1;4.51;0.00;4.72;2.10;0.00;88.67
hn0-hadoop;5;2024-07-10 09:12:39 UTC;-1;5.80;0.00;6.22;0.00;0.00;87.97
hn0-hadoop;5;2024-07-10 09:12:44 UTC;-1;17.10;0.00;7.45;0.05;0.00;75.40
hn0-hadoop;5;2024-07-10 09:12:49 UTC;-1;24.42;0.00;10.39;0.28;0.00;64.91
