# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
hn0-hadoop;5;2024-07-10 09:30:07 UTC;eth0;105.81;109.22;36.80;60.55;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 09:30:07 UTC;lo;23.25;23.25;13.08;13.08;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 09:30:12 UTC;eth0;152.20;138.20;85.96;54.69;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 09:30:12 UTC;lo;79.40;79.40;50.39;50.39;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 09:30:17 UTC;eth0;125.60;118.00;62.21;37.09;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 09:30:17 UTC;lo;70.80;70.80;303.76;303.76;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 09:30:22 UTC;eth0;163.60;145.40;92.73;141.02;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 09:30:22 UTC;lo;63.20;63.20;38.37;38.37;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 09:30:27 UTC;eth0;102.60;99.80;55.29;33.88;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 09:30:27 UTC;lo;40.80;40.80;13.42;13.42;0.00;0.00;0.00;0.00
