# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
hn0-hadoop;5;2024-07-10 09:01:24 UTC;-1;55.88;0.00;27.37;1.20;0.00;15.55
hn0-hadoop;5;2024-07-10 09:01:29 UTC;-1;20.17;0.00;14.06;0.72;0.00;65.06
hn0-hadoop;5;2024-07-10 09:01:34 UTC;-1;17.88;0.00;10.34;0.06;0.00;71.73
hn0-hadoop;5;2024-07-10 09:01:39 UTC;-1;9.82;0.00;6.37;0.00;0.00;83.81
hn0-hadoop;5;2024-07-10 09:01:44 UTC;-1;5.35;0.00;5.66;0.00;0.00;88.99
hn0-hadoop;5;2024-07-10 09:01:49 UTC;-1;46.04;0.00;16.39;0.85;0.00;36.72
hn0-hadoop;5;2024-07-10 09:01:54 UTC;-1;57.05;0.00;26.80;0.19;0.00;15.95
hn0-hadoop;5;2024-07-10 09:01:59 UTC;-1;58.44;0.00;24.92;0.13;0.00;16.51
hn0-hadoop;5;2024-07-10 09:02:04 UTC;-1;55.37;0.00;19.41;0.06;0.00;25.16
hn0-hadoop;5;2024-07-10 09:02:09 UTC;-1;51.48;0.00;12.83;0.00;0.00;35.69
hn0-hadoop;5;2024-07-10 09:02:14 UTC;-1;52.36;0.00;33.48;0.06;0.00;14.09
hn0-hadoop;5;2024-07-10 09:02:19 UTC;-1;57.19;0.00;21.71;0.31;0.00;20.79
hn0-hadoop;5;2024-07-10 09:02:24 UTC;-1;52.25;0.00;14.23;0.00;0.00;33.52
hn0-hadoop;5;2024-07-10 09:02:29 UTC;-1;27.45;0.00;11.66;0.28;0.00;60.61
hn0-hadoop;5;2024-07-10 09:02:34 UTC;-1;21.21;0.00;8.98;0.00;0.00;69.81
hn0-hadoop;5;2024-07-10 09:02:39 UTC;-1;20.54;0.00;11.07;0.17;0.00;68.22
hn0-hadoop;5;2024-07-10 09:02:44 UTC;-1;4.58;0.00;4.47;0.00;0.00;90.95
hn0-hadoop;5;2024-07-10 09:02:49 UTC;-1;4.72;0.00;4.62;0.37;0.00;90.29
hn0-hadoop;5;2024-07-10 09:02:54 UTC;-1;5.58;0.00;5.11;0.00;0.00;89.30
hn0-hadoop;5;2024-07-10 09:02:59 UTC;-1;7.61;0.00;5.59;0.00;0.00;86.80
hn0-hadoop;5;2024-07-10 09:03:04 UTC;-1;22.50;0.00;10.16;0.06;0.00;67.28
hn0-hadoop;5;2024-07-10 09:03:09 UTC;-1;21.76;0.00;8.71;0.00;0.00;69.53
hn0-hadoop;5;2024-07-10 09:03:14 UTC;-1;24.86;0.00;12.15;0.06;0.00;62.94
hn0-hadoop;5;2024-07-10 09:03:19 UTC;-1;4.18;0.00;3.96;0.26;0.00;91.60
hn0-hadoop;5;2024-07-10 09:03:24 UTC;-1;6.89;0.00;3.79;0.00;0.00;89.32
hn0-hadoop;5;2024-07-10 09:03:29 UTC;-1;6.56;0.00;5.08;0.05;0.00;88.31
hn0-hadoop;5;2024-07-10 09:03:34 UTC;-1;7.25;0.00;4.74;0.00;0.00;88.01
hn0-hadoop;5;2024-07-10 09:03:39 UTC;-1;21.79;0.00;8.80;0.00;0.00;69.41
hn0-hadoop;5;2024-07-10 09:03:44 UTC;-1;22.38;0.00;9.85;0.00;0.00;67.77
hn0-hadoop;5;2024-07-10 09:03:49 UTC;-1;19.69;0.00;8.94;0.33;0.00;71.04
hn0-hadoop;5;2024-07-10 09:03:54 UTC;-1;5.37;0.00;5.32;0.00;0.00;89.31
hn0-hadoop;5;2024-07-10 09:03:59 UTC;-1;4.48;0.00;5.27;0.11;0.00;90.14
hn0-hadoop;5;2024-07-10 09:04:04 UTC;-1;8.67;0.00;5.01;0.00;0.00;86.31
hn0-hadoop;5;2024-07-10 09:04:09 UTC;-1;9.05;0.00;5.98;0.00;0.00;84.97
hn0-hadoop;5;2024-07-10 09:04:14 UTC;-1;26.73;0.00;10.87;0.06;0.00;62.34
