# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
hn0-hadoop;5;2024-07-10 09:59:24 UTC;-1;56.94;0.00;26.86;0.19;0.00;16.01
hn0-hadoop;5;2024-07-10 09:59:29 UTC;-1;27.91;0.00;14.01;0.11;0.00;57.97
hn0-hadoop;5;2024-07-10 09:59:34 UTC;-1;24.05;0.00;12.53;9.00;0.00;54.42
hn0-hadoop;5;2024-07-10 09:59:39 UTC;-1;6.41;0.00;7.04;4.04;0.00;82.51
hn0-hadoop;5;2024-07-10 09:59:44 UTC;-1;9.93;0.00;10.04;0.11;0.00;79.93
hn0-hadoop;5;2024-07-10 09:59:49 UTC;-1;29.35;0.00;15.11;0.29;0.00;55.26
hn0-hadoop;5;2024-07-10 09:59:54 UTC;-1;58.44;0.00;18.88;0.00;0.00;22.68
hn0-hadoop;5;2024-07-10 09:59:59 UTC;-1;62.27;0.00;25.19;0.00;0.00;12.53
hn0-hadoop;5;2024-07-10 10:00:04 UTC;-1;63.34;0.00;31.12;0.07;0.00;5.48
hn0-hadoop;5;2024-07-10 10:00:09 UTC;-1;58.74;0.00;25.36;0.00;0.00;15.90
hn0-hadoop;5;2024-07-10 10:00:14 UTC;-1;59.23;0.00;24.48;0.00;0.00;16.30
hn0-hadoop;5;2024-07-10 10:00:19 UTC;-1;63.41;0.00;22.57;0.06;0.00;13.95
hn0-hadoop;5;2024-07-10 10:00:24 UTC;-1;58.31;0.00;28.90;0.00;0.00;12.79
hn0-hadoop;5;2024-07-10 10:00:29 UTC;-1;58.93;0.00;28.56;0.00;0.00;12.51
hn0-hadoop;5;2024-07-10 10:00:34 UTC;-1;45.48;0.00;29.92;5.44;0.00;19.17
hn0-hadoop;5;2024-07-10 10:00:39 UTC;-1;32.60;0.00;24.62;2.54;0.00;40.24
hn0-hadoop;5;2024-07-10 10:00:44 UTC;-1;54.55;0.00;23.57;0.00;0.00;21.88
hn0-hadoop;5;2024-07-10 10:00:49 UTC;-1;46.48;0.00;22.07;0.00;0.00;31.45
hn0-hadoop;5;2024-07-10 10:00:54 UTC;-1;37.19;0.00;11.01;0.00;0.00;51.80
hn0-hadoop;5;2024-07-10 10:00:59 UTC;-1;30.48;0.00;8.66;0.00;0.00;60.85
hn0-hadoop;5;2024-07-10 10:01:04 UTC;-1;14.07;0.00;6.39;0.76;0.00;78.79
hn0-hadoop;5;2024-07-10 10:01:09 UTC;-1;8.26;0.00;7.20;1.27;0.00;83.27
hn0-hadoop;5;2024-07-10 10:01:14 UTC;-1;43.71;0.00;24.26;0.00;0.00;32.04
hn0-hadoop;5;2024-07-10 10:01:19 UTC;-1;57.04;0.00;22.36;0.00;0.00;20.59
hn0-hadoop;5;2024-07-10 10:01:24 UTC;-1;50.56;0.00;21.81;0.50;0.00;27.14
hn0-hadoop;5;2024-07-10 10:01:29 UTC;-1;9.04;0.00;6.76;0.11;0.00;84.10
hn0-hadoop;5;2024-07-10 10:01:34 UTC;-1;29.48;0.00;9.22;0.34;0.00;60.96
hn0-hadoop;5;2024-07-10 10:01:39 UTC;-1;18.80;0.00;5.68;0.00;0.00;75.52
hn0-hadoop;5;2024-07-10 10:01:44 UTC;-1;4.80;0.00;4.58;0.00;0.00;90.62
hn0-hadoop;5;2024-07-10 10:01:49 UTC;-1;23.75;0.00;10.89;0.23;0.00;65.14
hn0-hadoop;5;2024-07-10 10:01:54 UTC;-1;28.73;0.00;15.48;0.00;0.00;55.79
hn0-hadoop;5;2024-07-10 10:01:59 UTC;-1;23.54;0.00;9.04;0.06;0.00;67.37
hn0-hadoop;5;2024-07-10 10:02:04 UTC;-1;7.14;0.00;5.81;0.21;0.00;86.84
hn0-hadoop;5;2024-07-10 10:02:09 UTC;-1;8.54;0.00;4.32;0.00;0.00;87.14
hn0-hadoop;5;2024-07-10 10:02:14 UTC;-1;24.70;0.00;13.15;0.00;0.00;62.15
hn0-hadoop;5;2024-07-10 10:02:19 UTC;-1;44.65;0.00;10.70;0.12;0.00;44.53
hn0-hadoop;5;2024-07-10 10:02:24 UTC;-1;38.22;0.00;15.31;0.29;0.00;46.17
hn0-hadoop;5;2024-07-10 10:02:29 UTC;-1;24.65;0.00;10.64;0.06;0.00;64.65
hn0-hadoop;5;2024-07-10 10:02:34 UTC;-1;21.37;0.00;8.95;0.22;0.00;69.46
hn0-hadoop;5;2024-07-10 10:02:39 UTC;-1;7.35;0.00;5.34;0.00;0.00;87.32
hn0-hadoop;5;2024-07-10 10:02:44 UTC;-1;5.86;0.00;5.96;0.00;0.00;88.18
hn0-hadoop;5;2024-07-10 10:02:49 UTC;-1;7.16;0.00;5.52;0.11;0.00;87.21
hn0-hadoop;5;2024-07-10 10:02:54 UTC;-1;6.82;0.00;5.92;0.05;0.00;87.20
hn0-hadoop;5;2024-07-10 10:02:59 UTC;-1;18.36;0.00;9.18;0.00;0.00;72.46
hn0-hadoop;5;2024-07-10 10:03:04 UTC;-1;21.20;0.00;8.90;0.33;0.00;69.56
