# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
hn0-hadoop;5;2024-07-10 09:59:24 UTC;931788;1268656;7204744;88.55;52372;526712;12951560;83.69;5497656;1273564;2340
hn0-hadoop;5;2024-07-10 09:59:29 UTC;1137148;1473492;6999384;86.02;52376;526164;12669140;81.86;5292912;1272600;1796
hn0-hadoop;5;2024-07-10 09:59:34 UTC;1132172;1469764;7004360;86.09;52456;527320;12685296;81.96;5296296;1273700;14748
hn0-hadoop;5;2024-07-10 09:59:39 UTC;1120904;1458700;7015628;86.22;52456;527512;12775736;82.55;5304528;1273860;14884
hn0-hadoop;5;2024-07-10 09:59:44 UTC;1120216;1458040;7016316;86.23;52456;527592;12812452;82.79;5302780;1273880;14444
hn0-hadoop;5;2024-07-10 09:59:49 UTC;986952;1326848;7149580;87.87;52460;529704;13528908;87.42;5432648;1275840;15496
hn0-hadoop;5;2024-07-10 09:59:54 UTC;889980;1231144;7246552;89.06;52460;531152;13617736;87.99;5526292;1277104;16736
hn0-hadoop;5;2024-07-10 09:59:59 UTC;972896;1313984;7163636;88.04;52460;531052;13549644;87.55;5445512;1276924;16564
hn0-hadoop;5;2024-07-10 10:00:04 UTC;868368;1209884;7268164;89.33;52608;531276;13843944;89.45;5547856;1276924;16984
hn0-hadoop;5;2024-07-10 10:00:09 UTC;1029916;1371460;7106616;87.34;52608;531236;13083832;84.54;5390232;1275912;3976
hn0-hadoop;5;2024-07-10 10:00:14 UTC;903348;1245744;7233184;88.90;52612;532052;13593976;87.84;5515156;1276612;2708
hn0-hadoop;5;2024-07-10 10:00:19 UTC;912092;1254600;7224440;88.79;52612;534152;13630724;88.07;5503480;1278712;2812
hn0-hadoop;5;2024-07-10 10:00:24 UTC;850320;1217072;7286212;89.55;52612;557492;13671412;88.34;5539352;1301988;25960
hn0-hadoop;5;2024-07-10 10:00:29 UTC;582268;1021364;7554264;92.84;52612;619960;13971100;90.27;5726440;1366328;89080
hn0-hadoop;5;2024-07-10 10:00:34 UTC;560000;1094824;7576532;93.12;53892;703868;13464660;87.00;5650188;1449788;85340
hn0-hadoop;5;2024-07-10 10:00:39 UTC;319808;976364;7816724;96.07;55420;801420;13450804;86.91;5770664;1547284;73648
hn0-hadoop;5;2024-07-10 10:00:44 UTC;260788;929168;7875744;96.79;55556;810704;13354300;86.29;5823080;1556716;83156
hn0-hadoop;5;2024-07-10 10:00:49 UTC;245984;914324;7890548;96.98;55556;810548;13345240;86.23;5835816;1556024;82844
hn0-hadoop;5;2024-07-10 10:00:54 UTC;210548;878904;7925984;97.41;55556;810564;13345240;86.23;5873104;1556016;82872
hn0-hadoop;5;2024-07-10 10:00:59 UTC;220248;888624;7916284;97.29;55556;810584;13369436;86.39;5865416;1556028;82896
hn0-hadoop;5;2024-07-10 10:01:04 UTC;209932;878432;7926600;97.42;55628;810660;13383508;86.48;5871924;1556032;75152
hn0-hadoop;5;2024-07-10 10:01:09 UTC;202484;871168;7934048;97.51;55628;810816;13458728;86.96;5881852;1555800;376
hn0-hadoop;5;2024-07-10 10:01:14 UTC;234200;857164;7902332;97.12;52664;773336;13674408;88.36;5871308;1537060;1692
hn0-hadoop;5;2024-07-10 10:01:19 UTC;135372;710880;8001160;98.34;52284;727036;13803464;89.19;6000416;1510952;2268
hn0-hadoop;5;2024-07-10 10:01:24 UTC;361972;880920;7774560;95.55;51848;668748;13282152;85.82;5823228;1462496;1736
hn0-hadoop;5;2024-07-10 10:01:29 UTC;370228;890052;7766304;95.45;51852;669572;13282980;85.83;5818564;1457540;1464
hn0-hadoop;5;2024-07-10 10:01:34 UTC;367348;888932;7769184;95.49;51884;671040;13280420;85.81;5821300;1457884;4628
hn0-hadoop;5;2024-07-10 10:01:39 UTC;367560;889268;7768972;95.48;51884;671136;13280420;85.81;5821548;1457780;4852
hn0-hadoop;5;2024-07-10 10:01:44 UTC;365396;888004;7771136;95.51;51888;672244;13280888;85.81;5822284;1458276;284
hn0-hadoop;5;2024-07-10 10:01:49 UTC;347392;872480;7789140;95.73;51888;674276;13294100;85.90;5849176;1449792;768
hn0-hadoop;5;2024-07-10 10:01:54 UTC;333836;863164;7802696;95.90;51888;674324;13481996;87.11;5858708;1449052;836
hn0-hadoop;5;2024-07-10 10:01:59 UTC;336468;867220;7800064;95.86;51892;675644;13496428;87.21;5856108;1449036;2160
hn0-hadoop;5;2024-07-10 10:02:04 UTC;357352;888020;7779180;95.61;51908;675384;13288608;85.86;5836160;1448448;2252
hn0-hadoop;5;2024-07-10 10:02:09 UTC;356124;886808;7780408;95.62;51908;675400;13288608;85.86;5836056;1448096;2000
hn0-hadoop;5;2024-07-10 10:02:14 UTC;349732;880448;7786800;95.70;51912;675536;13319276;86.06;5843936;1446332;1564
hn0-hadoop;5;2024-07-10 10:02:19 UTC;202208;735120;7934324;97.51;51912;677164;13556452;87.59;5993568;1447820;3216
hn0-hadoop;5;2024-07-10 10:02:24 UTC;351104;862512;7785428;95.68;51704;662696;13282132;85.82;5838664;1457504;3604
hn0-hadoop;5;2024-07-10 10:02:29 UTC;357724;869204;7778808;95.60;51704;662608;13297180;85.92;5831084;1456620;1036
hn0-hadoop;5;2024-07-10 10:02:34 UTC;362144;873616;7774388;95.55;51724;662652;13292620;85.89;5827184;1456372;1488
hn0-hadoop;5;2024-07-10 10:02:39 UTC;375760;886984;7760772;95.38;51724;662404;13284668;85.84;5813876;1456108;1188
hn0-hadoop;5;2024-07-10 10:02:44 UTC;374356;885728;7762176;95.40;51724;662492;13290628;85.88;5814788;1455872;280
hn0-hadoop;5;2024-07-10 10:02:49 UTC;371860;883332;7764672;95.43;51724;662592;13309988;86.00;5818656;1454940;404
hn0-hadoop;5;2024-07-10 10:02:54 UTC;362596;874368;7773936;95.54;51724;662644;13311332;86.01;5828336;1453780;484
hn0-hadoop;5;2024-07-10 10:02:59 UTC;363148;875424;7773384;95.54;51724;663856;13319608;86.06;5828632;1453484;988
hn0-hadoop;5;2024-07-10 10:03:04 UTC;371540;883540;7764992;95.43;51756;663776;13323384;86.09;5819840;1453136;1192
hn0-hadoop;5;2024-07-10 10:03:09 UTC;357476;870548;7779056;95.61;51760;664824;13336196;86.17;5832828;1453796;2240
hn0-hadoop;5;2024-07-10 10:03:14 UTC;369856;882736;7766676;95.45;51764;664600;13368668;86.38;5820844;1453456;1716
hn0-hadoop;5;2024-07-10 10:03:19 UTC;369636;882560;7766896;95.46;51764;664644;13393980;86.54;5821140;1453500;1596
hn0-hadoop;5;2024-07-10 10:03:24 UTC;367856;880804;7768676;95.48;51764;664668;13393980;86.54;5821732;1453420;1644
hn0-hadoop;5;2024-07-10 10:03:29 UTC;367596;880576;7768936;95.48;51764;664700;13410936;86.65;5821876;1453452;280
hn0-hadoop;5;2024-07-10 10:03:34 UTC;363236;876692;7773296;95.54;51780;665212;13419276;86.71;5827244;1453740;1328
hn0-hadoop;5;2024-07-10 10:03:39 UTC;352588;866180;7783944;95.67;51780;665424;13426796;86.76;5838428;1453928;1360
hn0-hadoop;5;2024-07-10 10:03:44 UTC;353500;867200;7783032;95.66;51780;665520;13433424;86.80;5835068;1454024;928
hn0-hadoop;5;2024-07-10 10:03:49 UTC;366864;880336;7769668;95.49;51780;665292;13428352;86.77;5822028;1453792;712
hn0-hadoop;5;2024-07-10 10:03:54 UTC;358808;872268;7777724;95.59;51780;665324;13417932;86.70;5830120;1453416;760
hn0-hadoop;5;2024-07-10 10:03:59 UTC;366052;879648;7770480;95.50;51780;665364;13421828;86.72;5823244;1453444;732
hn0-hadoop;5;2024-07-10 10:04:04 UTC;365904;880624;7770628;95.50;51796;666472;13421828;86.72;5823324;1454552;1848
hn0-hadoop;5;2024-07-10 10:04:09 UTC;356816;871908;7779716;95.61;51796;666836;13427644;86.76;5832984;1454912;1820
hn0-hadoop;5;2024-07-10 10:04:14 UTC;344916;860980;7791616;95.76;51800;667924;13463292;86.99;5841440;1455792;2924
hn0-hadoop;5;2024-07-10 10:04:19 UTC;352728;868824;7783804;95.66;51800;667952;13463480;86.99;5835972;1455816;2956
hn0-hadoop;5;2024-07-10 10:04:24 UTC;354720;870540;7781812;95.64;51800;667688;13463720;86.99;5833548;1455568;2464
hn0-hadoop;5;2024-07-10 10:04:29 UTC;364180;879928;7772352;95.52;51800;667716;13453520;86.93;5824104;1455500;2412
hn0-hadoop;5;2024-07-10 10:04:34 UTC;362896;878704;7773636;95.54;51812;667792;13457832;86.96;5824448;1455372;1736
hn0-hadoop;5;2024-07-10 10:04:39 UTC;357816;873700;7778716;95.60;51812;667852;13551656;87.56;5830356;1455396;1664
hn0-hadoop;5;2024-07-10 10:04:44 UTC;356520;877208;7780012;95.62;51812;668024;13491532;87.17;5825208;1455276;824
hn0-hadoop;5;2024-07-10 10:04:49 UTC;293004;813848;7843528;96.40;51812;668376;13956928;90.18;5891772;1453296;1144
hn0-hadoop;5;2024-07-10 10:04:54 UTC;286012;806776;7850520;96.48;51812;668372;13954440;90.16;5899972;1452172;1080
hn0-hadoop;5;2024-07-10 10:04:59 UTC;302700;824336;7833832;96.28;51812;669168;13945464;90.11;5883092;1452792;1600
hn0-hadoop;5;2024-07-10 10:05:04 UTC;355420;877632;7781112;95.63;51968;669584;13502528;87.25;5835696;1446680;1476
hn0-hadoop;5;2024-07-10 10:05:09 UTC;355732;878160;7780800;95.63;51968;669604;13495740;87.20;5835432;1446644;1468
hn0-hadoop;5;2024-07-10 10:05:14 UTC;216252;738924;7920280;97.34;51976;669836;14166016;91.53;5976432;1446112;1464
hn0-hadoop;5;2024-07-10 10:05:19 UTC;141804;642708;7994728;98.26;51904;653400;14377672;92.90;6056600;1443228;2712
hn0-hadoop;5;2024-07-10 10:05:24 UTC;144140;528660;7992392;98.23;50848;552908;14518632;93.81;6087616;1427592;4300
hn0-hadoop;5;2024-07-10 10:05:29 UTC;191452;581016;7945080;97.65;50864;559780;14758856;95.36;6056512;1411448;4716
hn0-hadoop;5;2024-07-10 10:05:34 UTC;349308;710672;7787224;95.71;49912;534148;13985276;90.36;5908248;1412832;1016
hn0-hadoop;5;2024-07-10 10:05:39 UTC;532076;893204;7604456;93.46;49912;533852;13502700;87.25;5770480;1367124;796
hn0-hadoop;5;2024-07-10 10:05:44 UTC;530532;892728;7606000;93.48;49912;534932;13493896;87.19;5770936;1367868;1892
hn0-hadoop;5;2024-07-10 10:05:49 UTC;527976;890444;7608556;93.51;49912;537888;13494484;87.19;5770528;1371412;2056
hn0-hadoop;5;2024-07-10 10:05:54 UTC;522104;884832;7614428;93.58;50076;538132;13486760;87.14;5784248;1364528;2116
hn0-hadoop;5;2024-07-10 10:05:59 UTC;511116;874244;7625416;93.72;50076;538476;13519512;87.35;5795464;1364584;2456
hn0-hadoop;5;2024-07-10 10:06:04 UTC;513156;877320;7623376;93.69;50092;539472;13500960;87.23;5792004;1365372;2720
hn0-hadoop;5;2024-07-10 10:06:09 UTC;511424;875712;7625108;93.71;50092;539584;13603088;87.89;5793908;1365320;2608
hn0-hadoop;5;2024-07-10 10:06:14 UTC;468144;832364;7668388;94.25;50144;539456;13765460;88.94;5849424;1353380;1384
hn0-hadoop;5;2024-07-10 10:06:19 UTC;339848;704768;7796684;95.82;50144;540052;13922228;89.96;5975992;1353724;1956
hn0-hadoop;5;2024-07-10 10:06:24 UTC;515472;879756;7621060;93.66;50144;539516;13486316;87.14;5801480;1352556;1484
hn0-hadoop;5;2024-07-10 10:06:29 UTC;524244;888604;7612288;93.56;50144;539548;13474272;87.06;5792924;1352288;1508
hn0-hadoop;5;2024-07-10 10:06:34 UTC;511220;877372;7625312;93.72;50164;541332;13484220;87.13;5806892;1353244;2488
hn0-hadoop;5;2024-07-10 10:06:39 UTC;521212;887480;7615320;93.59;50164;541424;13471020;87.04;5796948;1352656;2684
hn0-hadoop;5;2024-07-10 10:06:44 UTC;507480;873660;7629052;93.76;50164;541432;13482844;87.12;5811308;1352556;2060
hn0-hadoop;5;2024-07-10 10:06:49 UTC;522920;889188;7613612;93.57;50164;541324;13458076;86.96;5795076;1352284;1924
hn0-hadoop;5;2024-07-10 10:06:54 UTC;504200;873172;7632332;93.80;50164;541940;13452120;86.92;5813456;1350280;1952
hn0-hadoop;5;2024-07-10 10:06:59 UTC;513232;882224;7623300;93.69;50164;541972;13670020;88.33;5802724;1350280;1920
hn0-hadoop;5;2024-07-10 10:07:04 UTC;517744;886828;7618788;93.64;50196;542028;13453160;86.93;5799340;1350076;2056
hn0-hadoop;5;2024-07-10 10:07:09 UTC;505672;875212;7630860;93.79;50196;542476;13472280;87.05;5811248;1350476;936
hn0-hadoop;5;2024-07-10 10:07:14 UTC;516532;887020;7620000;93.65;50200;543420;13463316;86.99;5799356;1350984;1708
