timeline;application;%memused
0.0;dfsioe;87.675
0.0;kmeans;87.11
0.0;pagerank;87.58
0.0;terasort;88.985
5.0;dfsioe;87.83500000000001
5.0;kmeans;87.195
5.0;pagerank;88.305
5.0;terasort;89.005
10.0;dfsioe;87.94
10.0;kmeans;87.255
10.0;pagerank;87.58500000000001
10.0;terasort;88.92
15.0;dfsioe;87.88499999999999
15.0;kmeans;87.36
15.0;pagerank;87.82
15.0;terasort;89.355
20.0;dfsioe;88.09
20.0;kmeans;87.275
20.0;pagerank;87.76
20.0;terasort;89.435
21.0;pagerank;89.59
25.0;dfsioe;89.75999999999999
25.0;kmeans;87.19
25.0;pagerank;89.38
25.0;terasort;90.81
26.0;pagerank;90.99
30.0;dfsioe;89.76
30.0;pagerank;89.23
30.0;terasort;91.31
31.0;pagerank;87.94
35.0;dfsioe;89.555
35.0;pagerank;90.12
35.0;terasort;91.425
36.0;pagerank;88.01
40.0;dfsioe;90.15
40.0;pagerank;91.52
40.0;terasort;92.28999999999999
41.0;pagerank;91.22
45.0;dfsioe;93.055
45.0;pagerank;92.9
45.0;terasort;93.24
46.0;pagerank;93.13
50.0;dfsioe;97.34
50.0;pagerank;93.16
50.0;terasort;94.515
51.0;pagerank;93.38
55.0;dfsioe;98.175
55.0;pagerank;93.41
55.0;terasort;94.255
56.0;pagerank;93.21
60.0;dfsioe;97.53
60.0;pagerank;93.34
60.0;terasort;94.08
61.0;pagerank;96.68
65.0;dfsioe;98.005
65.0;pagerank;93.09
65.0;terasort;93.995
66.0;pagerank;93.24
70.0;dfsioe;98.02
70.0;pagerank;92.95
70.0;terasort;93.92
71.0;pagerank;93.22
75.0;dfsioe;97.555
75.0;pagerank;92.83
75.0;terasort;93.91
76.0;pagerank;93.3
80.0;dfsioe;97.515
80.0;pagerank;92.79
80.0;terasort;93.78999999999999
81.0;pagerank;93.44
85.0;dfsioe;96.355
85.0;pagerank;92.66
85.0;terasort;93.765
86.0;pagerank;93.11
90.0;dfsioe;95.315
90.0;pagerank;92.7
90.0;terasort;93.895
91.0;pagerank;93.1
95.0;dfsioe;95.295
95.0;pagerank;92.68
95.0;terasort;93.92
96.0;pagerank;93.13
100.0;dfsioe;95.21000000000001
100.0;pagerank;92.65
100.0;terasort;93.855
101.0;pagerank;93.09
105.0;dfsioe;94.975
105.0;pagerank;92.66
105.0;terasort;93.89
106.0;pagerank;93.28
110.0;dfsioe;94.67
110.0;pagerank;93.04
110.0;terasort;93.8
111.0;pagerank;93.25
115.0;dfsioe;94.525
115.0;pagerank;93.11
115.0;terasort;93.975
116.0;pagerank;93.11
120.0;dfsioe;94.78999999999999
120.0;pagerank;92.74
120.0;terasort;93.855
121.0;pagerank;96.48
125.0;dfsioe;94.585
125.0;pagerank;92.73
125.0;terasort;93.80000000000001
126.0;pagerank;93.05
130.0;dfsioe;94.82499999999999
130.0;pagerank;92.91
130.0;terasort;93.795
131.0;pagerank;93.06
135.0;dfsioe;95.44
135.0;pagerank;92.84
135.0;terasort;94.08
136.0;pagerank;93.15
140.0;dfsioe;94.505
140.0;pagerank;92.94
140.0;terasort;94.195
141.0;pagerank;93.17
145.0;dfsioe;94.505
145.0;pagerank;92.89
145.0;terasort;93.82499999999999
146.0;pagerank;93.06
150.0;dfsioe;94.43
150.0;pagerank;92.9
150.0;terasort;93.88
151.0;pagerank;93.07
155.0;dfsioe;94.49
155.0;pagerank;92.95
155.0;terasort;93.98500000000001
156.0;pagerank;93.08
160.0;dfsioe;94.52000000000001
160.0;pagerank;93.05
160.0;terasort;93.83500000000001
161.0;pagerank;93.08
165.0;dfsioe;94.56
165.0;pagerank;93.26
165.0;terasort;93.845
166.0;pagerank;93.49
170.0;dfsioe;94.62
170.0;pagerank;93.37
170.0;terasort;93.945
171.0;pagerank;93.35
175.0;dfsioe;94.425
175.0;pagerank;93.32
175.0;terasort;93.73
176.0;pagerank;93.22
180.0;dfsioe;94.495
180.0;pagerank;93.23
180.0;terasort;93.75
181.0;pagerank;96.53
185.0;dfsioe;94.905
185.0;pagerank;94.18
185.0;terasort;93.68
186.0;pagerank;95.25
190.0;dfsioe;94.58000000000001
190.0;pagerank;93.22
190.0;terasort;93.61
191.0;pagerank;93.25
195.0;dfsioe;94.44999999999999
195.0;pagerank;93.34
195.0;terasort;93.74
196.0;pagerank;93.47
200.0;dfsioe;94.36
200.0;pagerank;93.22
200.0;terasort;93.67
201.0;pagerank;93.44
205.0;dfsioe;94.46000000000001
205.0;pagerank;93.22
205.0;terasort;93.60499999999999
206.0;pagerank;93.28
210.0;dfsioe;94.545
210.0;pagerank;93.24
210.0;terasort;93.73
211.0;pagerank;93.27
215.0;dfsioe;94.43
215.0;pagerank;93.39
215.0;terasort;93.73
216.0;pagerank;93.27
220.0;dfsioe;94.6
220.0;pagerank;93.41
220.0;terasort;93.745
221.0;pagerank;93.29
225.0;dfsioe;94.43
225.0;pagerank;93.49
225.0;terasort;93.80000000000001
226.0;pagerank;93.52
230.0;dfsioe;94.485
230.0;pagerank;93.53
230.0;terasort;93.97
231.0;pagerank;93.46
235.0;dfsioe;94.57
235.0;pagerank;93.63
235.0;terasort;94.16
236.0;pagerank;93.35
240.0;dfsioe;94.475
240.0;pagerank;93.46
240.0;terasort;94.0
241.0;pagerank;96.63
245.0;dfsioe;94.46
245.0;pagerank;93.62
245.0;terasort;94.01
246.0;pagerank;94.04
250.0;dfsioe;94.515
250.0;pagerank;93.49
250.0;terasort;93.925
251.0;pagerank;93.39
255.0;dfsioe;94.515
255.0;pagerank;93.43
255.0;terasort;93.83
256.0;pagerank;93.58
260.0;dfsioe;94.53
260.0;pagerank;93.51
260.0;terasort;93.97
261.0;pagerank;95.04
265.0;dfsioe;94.515
265.0;pagerank;93.55
265.0;terasort;94.215
266.0;pagerank;94.25
270.0;dfsioe;94.62
270.0;pagerank;93.59
270.0;terasort;93.76499999999999
271.0;pagerank;93.73
275.0;dfsioe;94.495
275.0;pagerank;93.59
275.0;terasort;94.13
276.0;pagerank;93.73
280.0;dfsioe;94.57
280.0;pagerank;93.66
280.0;terasort;94.05
281.0;pagerank;93.67
285.0;dfsioe;94.61
285.0;pagerank;93.5
286.0;pagerank;93.62
290.0;dfsioe;94.565
290.0;pagerank;93.65
291.0;pagerank;93.66
295.0;dfsioe;94.86
295.0;pagerank;93.88
296.0;pagerank;93.72
300.0;dfsioe;94.33
300.0;pagerank;93.77
301.0;pagerank;97.04
305.0;dfsioe;94.55000000000001
305.0;pagerank;94.06
306.0;pagerank;93.53
310.0;dfsioe;94.445
310.0;pagerank;94.02
311.0;pagerank;93.55
315.0;dfsioe;94.645
315.0;pagerank;93.92
316.0;pagerank;93.78
320.0;dfsioe;94.555
320.0;pagerank;93.85
321.0;pagerank;95.57
325.0;dfsioe;94.015
325.0;pagerank;93.74
