timeline;application;rxkB/s;txkB/s
0.0;dfsioe;31.6025;41.07
0.0;kmeans;37.7975;43.550000000000004
0.0;pagerank;31.71;29.265
0.0;terasort;36.85;27.415
5.0;dfsioe;62.89750000000001;47.2475
5.0;kmeans;45.565;35.3975
5.0;pagerank;63.5625;77.6125
5.0;terasort;51.792500000000004;43.959999999999994
9.0;pagerank;42.495;24.915
10.0;dfsioe;43.769999999999996;30.714999999999996
10.0;kmeans;49.3125;29.5775
10.0;pagerank;50.800000000000004;32.575
10.0;terasort;48.105000000000004;28.947499999999998
15.0;dfsioe;29.29;18.04
15.0;pagerank;35.045;17.245
15.0;terasort;29.77;31.639999999999997
20.0;dfsioe;27.2575;17.292499999999997
20.0;pagerank;23.235;17.22
20.0;terasort;32.2675;22.6325
25.0;dfsioe;26.2975;21.43
25.0;pagerank;24.7275;15.5825
25.0;terasort;36.2475;42.3425
30.0;dfsioe;39.49;39.317499999999995
30.0;pagerank;17.455;14.385
30.0;terasort;44.05;27.83
35.0;dfsioe;34.515;24.705
35.0;pagerank;36.4875;752.2850000000001
35.0;terasort;1785.885;55.2575
40.0;dfsioe;25.669999999999998;21.1175
40.0;pagerank;51.79;88.11500000000001
40.0;terasort;54.292500000000004;47.230000000000004
45.0;dfsioe;37.9175;26.7825
45.0;pagerank;28.2975;25.0325
45.0;terasort;37.9;41.1775
50.0;dfsioe;31.24;18.5275
50.0;pagerank;26.03;20.485
50.0;terasort;21.8875;22.8925
55.0;dfsioe;36.9975;31.597500000000004
55.0;pagerank;33.81;22.1475
55.0;terasort;30.3075;24.165
60.0;dfsioe;57.505;69.89000000000001
60.0;pagerank;36.9675;26.0125
60.0;terasort;40.540000000000006;41.5025
65.0;dfsioe;73.94999999999999;1319.39
65.0;pagerank;46.355000000000004;42.925
65.0;terasort;21.650000000000002;16.865000000000002
70.0;dfsioe;100.86250000000001;3533.8374999999996
70.0;pagerank;31.697499999999998;29.409999999999997
70.0;terasort;34.1225;53.2275
75.0;dfsioe;25.722500000000004;24.835
75.0;pagerank;23.2875;15.8075
75.0;terasort;24.495;23.005000000000003
76.0;terasort;39.785;23.315
80.0;dfsioe;31.972499999999997;26.442500000000003
80.0;pagerank;24.502499999999998;13.4825
80.0;terasort;25.634999999999998;10.975
81.0;terasort;36.730000000000004;19.67
85.0;dfsioe;22.03;19.9675
85.0;pagerank;26.8025;18.314999999999998
85.0;terasort;54.83;112.91499999999999
86.0;terasort;31.46;21.884999999999998
90.0;dfsioe;18.98;15.01
90.0;pagerank;17.34;20.302500000000002
90.0;terasort;24.145000000000003;22.475
91.0;terasort;118.905;131.105
95.0;dfsioe;34.0125;17.125
95.0;pagerank;27.53;19.985
95.0;terasort;29.939999999999998;17.785
96.0;terasort;29.515;17.035
100.0;dfsioe;25.2775;14.462499999999999
100.0;pagerank;29.445;19.235
100.0;terasort;32.935;55.254999999999995
101.0;terasort;42.695;17.53
105.0;dfsioe;26.83;20.805
105.0;pagerank;30.345;19.6425
105.0;terasort;24.27;15.079999999999998
106.0;terasort;9.11;8.14
110.0;dfsioe;37.207499999999996;19.9025
110.0;pagerank;31.3;19.445
110.0;terasort;18.95;14.77
111.0;terasort;12.715;11.175
115.0;dfsioe;40.3275;33.902499999999996
115.0;pagerank;32.535;19.165
115.0;terasort;19.505;18.18
116.0;terasort;32.165;29.71
120.0;dfsioe;19.557499999999997;13.129999999999999
120.0;pagerank;16.362499999999997;14.2475
120.0;terasort;29.805;14.945
121.0;terasort;24.265;8.855
125.0;dfsioe;105.465;120.98250000000002
125.0;pagerank;31.8925;33.47
125.0;terasort;27.295;16.43
126.0;terasort;24.994999999999997;118.895
130.0;dfsioe;30.207499999999996;22.567500000000003
130.0;pagerank;33.88;21.700000000000003
130.0;terasort;14.65;12.54
131.0;terasort;16.815;14.065000000000001
135.0;dfsioe;38.9675;21.417499999999997
135.0;pagerank;34.315;22.645
135.0;terasort;34.555;24.56
136.0;terasort;37.555;29.22
140.0;dfsioe;46.730000000000004;46.665
140.0;pagerank;32.5;31.337500000000002
140.0;terasort;17.045;16.115
141.0;terasort;30.589999999999996;24.419999999999998
145.0;dfsioe;33.4825;25.18
145.0;pagerank;34.042500000000004;16.4125
145.0;terasort;20.905;15.420000000000002
146.0;terasort;18.96;9.594999999999999
150.0;dfsioe;24.814999999999998;23.5225
150.0;pagerank;24.2075;19.29
150.0;terasort;27.880000000000003;31.65
151.0;terasort;54.185;52.735
155.0;dfsioe;21.625;16.34
155.0;pagerank;25.1;19.2075
155.0;terasort;37.885000000000005;39.1975
156.0;dfsioe;22.41;43.875
156.0;terasort;20.395000000000003;11.9475
160.0;dfsioe;27.255;23.419999999999998
160.0;pagerank;35.96;30.5575
160.0;terasort;41.465;60.230000000000004
161.0;dfsioe;29.095;38.31
161.0;terasort;81.455;64.045
165.0;dfsioe;24.675;13.010000000000002
165.0;pagerank;28.395;17.32
165.0;terasort;30.0725;22.2275
166.0;dfsioe;18.979999999999997;16.595
166.0;terasort;28.519999999999996;34.105000000000004
170.0;dfsioe;27.895000000000003;16.35
170.0;pagerank;22.08;19.575
170.0;terasort;34.9025;17.61
171.0;dfsioe;66.85;58.55499999999999
171.0;terasort;26.6375;20.335
175.0;dfsioe;23.145;23.880000000000003
175.0;pagerank;30.627499999999998;21.177500000000002
175.0;terasort;25.064999999999998;19.255000000000003
176.0;dfsioe;21.975;14.885
176.0;terasort;68.16749999999999;58.2125
180.0;dfsioe;22.465;15.035
180.0;pagerank;27.634999999999998;23.7275
180.0;terasort;21.447499999999998;16.205
181.0;dfsioe;26.160000000000004;21.83
181.0;terasort;51.5725;45.4375
185.0;dfsioe;33.24;23.38
185.0;pagerank;24.095;18.3375
185.0;terasort;26.192500000000003;18.855
186.0;dfsioe;45.885;24.14
186.0;terasort;22.0175;50.98
190.0;dfsioe;24.29;25.585
190.0;pagerank;30.455;19.2925
190.0;terasort;35.0725;17.470000000000002
191.0;dfsioe;27.175000000000004;24.470000000000002
191.0;terasort;32.394999999999996;18.6275
195.0;dfsioe;36.935;78.08500000000001
195.0;pagerank;37.760000000000005;26.330000000000002
195.0;terasort;13.815000000000001;13.627500000000001
196.0;dfsioe;21.175;17.91
196.0;terasort;21.5025;14.407499999999999
200.0;dfsioe;38.47;16.81
200.0;pagerank;30.72;18.575
200.0;terasort;20.22;12.489999999999998
201.0;dfsioe;24.965;20.835
201.0;terasort;96.34;93.7375
205.0;dfsioe;22.305;16.305
205.0;pagerank;20.487499999999997;16.28
205.0;terasort;25.15;17.405
206.0;dfsioe;174.985;173.61
206.0;terasort;30.03;52.7825
210.0;dfsioe;52.25;45.529999999999994
210.0;pagerank;21.220000000000002;26.6475
210.0;terasort;26.677500000000002;15.705
211.0;dfsioe;25.1;18.78
211.0;terasort;105.22999999999999;97.6725
215.0;dfsioe;27.060000000000002;19.15
215.0;pagerank;34.86;20.127499999999998
215.0;terasort;35.4925;29.4125
216.0;dfsioe;33.805;90.395
216.0;terasort;32.12;22.34
220.0;dfsioe;27.665;21.57
220.0;pagerank;46.9625;39.7875
220.0;terasort;22.3925;23.1475
221.0;dfsioe;27.0;19.275
221.0;terasort;66.3925;55.7925
225.0;dfsioe;25.235;20.865
225.0;pagerank;25.2125;15.6075
225.0;terasort;26.44;21.165
226.0;dfsioe;18.805;8.55
226.0;terasort;36.8425;32.3
230.0;dfsioe;29.410000000000004;20.765
230.0;pagerank;31.125;24.705
230.0;terasort;27.2775;20.427500000000002
231.0;dfsioe;222.22;209.95
231.0;terasort;98.18;94.5025
235.0;dfsioe;16.565;12.91
235.0;pagerank;22.1475;18.145
235.0;terasort;23.299999999999997;15.47
236.0;dfsioe;13.850000000000001;13.685
236.0;terasort;27.59;21.14
240.0;dfsioe;16.93;11.68
240.0;pagerank;24.7775;64.3925
240.0;terasort;28.38;26.634999999999998
241.0;dfsioe;18.355;17.595
241.0;terasort;12.557500000000001;10.3225
245.0;dfsioe;35.5;24.43
245.0;pagerank;29.09;40.055
245.0;terasort;21.7325;16.7
246.0;dfsioe;48.669999999999995;23.134999999999998
246.0;terasort;31.35;48.4625
250.0;dfsioe;34.44;15.305
250.0;pagerank;29.6725;24.79
250.0;terasort;41.864999999999995;29.884999999999998
251.0;dfsioe;9.68;9.54
251.0;terasort;16.9525;15.055
255.0;dfsioe;28.080000000000002;18.255
255.0;pagerank;29.299999999999997;34.2375
255.0;terasort;54.13249999999999;104.69
256.0;dfsioe;10.344999999999999;10.205
256.0;terasort;26.520000000000003;20.0375
260.0;dfsioe;37.34;21.545
260.0;pagerank;19.1575;11.23
260.0;terasort;30.17;25.552500000000002
261.0;dfsioe;33.85;19.245
261.0;terasort;98.795;103.46
265.0;dfsioe;25.33;21.854999999999997
265.0;pagerank;23.792499999999997;16.4075
265.0;terasort;41.085;38.91
266.0;dfsioe;158.875;158.94000000000003
266.0;terasort;36.52;72.075
270.0;dfsioe;20.12;13.085
270.0;pagerank;29.7725;27.965000000000003
270.0;terasort;22.740000000000002;20.82
271.0;dfsioe;51.335;33.760000000000005
271.0;terasort;13.690000000000001;13.93
275.0;dfsioe;31.755;22.145
275.0;pagerank;27.5225;23.395000000000003
275.0;terasort;26.849999999999998;17.692500000000003
276.0;dfsioe;32.665;125.60499999999999
276.0;terasort;21.5975;15.0175
280.0;dfsioe;40.46;42.595
280.0;pagerank;31.587500000000002;21.630000000000003
280.0;terasort;36.900000000000006;33.5525
281.0;dfsioe;35.185;32.92
281.0;terasort;47.59;20.035
285.0;dfsioe;35.01;22.77
285.0;pagerank;38.94;26.3175
285.0;terasort;22.6;27.910000000000004
286.0;dfsioe;23.345;19.25
286.0;terasort;15.2975;12.405000000000001
290.0;dfsioe;44.365;41.47
290.0;pagerank;35.9;47.68000000000001
