timeline;application;%cpu_utilization
0.0;dfsioe;29.019999999999996
0.0;kmeans;38.97
0.0;pagerank;44.035
0.0;terasort;31.119999999999997
5.0;dfsioe;25.455
5.0;kmeans;34.325
5.0;pagerank;33.54
5.0;terasort;20.22
10.0;dfsioe;31.585
10.0;kmeans;40.199999999999996
10.0;pagerank;18.769999999999996
10.0;terasort;21.97
15.0;dfsioe;24.559999999999995
15.0;kmeans;32.765
15.0;pagerank;20.235
15.0;terasort;21.169999999999995
20.0;dfsioe;22.474999999999994
20.0;kmeans;39.785
20.0;pagerank;16.79
20.0;terasort;20.675000000000004
25.0;dfsioe;55.93
25.0;kmeans;64.75
25.0;pagerank;44.5
25.0;terasort;54.74
30.0;dfsioe;69.13
30.0;pagerank;73.485
30.0;terasort;80.47
35.0;dfsioe;68.66
35.0;pagerank;77.1
35.0;terasort;75.63499999999999
40.0;dfsioe;64.095
40.0;pagerank;76.72999999999999
40.0;terasort;74.725
45.0;dfsioe;62.010000000000005
45.0;pagerank;71.92500000000001
45.0;terasort;70.255
50.0;dfsioe;54.745000000000005
50.0;pagerank;46.495000000000005
50.0;terasort;64.66999999999999
55.0;dfsioe;53.01
55.0;pagerank;21.775
55.0;terasort;51.25
60.0;dfsioe;65.5
60.0;pagerank;25.335
60.0;terasort;34.665
65.0;dfsioe;72.25999999999999
65.0;pagerank;25.095
65.0;terasort;31.96
70.0;dfsioe;63.405
70.0;pagerank;31.155
70.0;terasort;35.44499999999999
75.0;dfsioe;63.58
75.0;pagerank;28.284999999999997
75.0;terasort;25.229999999999997
80.0;dfsioe;61.19
80.0;pagerank;24.074999999999996
80.0;terasort;18.645000000000003
85.0;dfsioe;63.190000000000005
85.0;pagerank;28.945
85.0;terasort;13.494999999999997
90.0;dfsioe;49.83
90.0;pagerank;28.869999999999997
90.0;terasort;16.134999999999998
95.0;dfsioe;32.9
95.0;pagerank;31.104999999999997
95.0;terasort;33.89
100.0;dfsioe;36.935
100.0;pagerank;33.345
100.0;terasort;30.765
105.0;dfsioe;27.744999999999997
105.0;pagerank;40.1
105.0;terasort;29.82
110.0;dfsioe;25.110000000000007
110.0;pagerank;31.785000000000004
110.0;terasort;22.924999999999997
115.0;dfsioe;31.365000000000002
115.0;pagerank;34.510000000000005
115.0;terasort;12.759999999999998
120.0;dfsioe;28.975
120.0;pagerank;21.034999999999997
120.0;terasort;18.455
125.0;dfsioe;24.805
125.0;pagerank;16.1
125.0;terasort;16.93
130.0;dfsioe;25.1
130.0;pagerank;25.055
130.0;terasort;31.840000000000003
135.0;dfsioe;26.269999999999996
135.0;pagerank;30.105000000000004
135.0;terasort;30.0
140.0;dfsioe;26.185000000000002
140.0;pagerank;31.045
140.0;terasort;29.410000000000004
145.0;dfsioe;41.315
145.0;pagerank;28.630000000000003
145.0;terasort;24.29
150.0;dfsioe;32.495
150.0;pagerank;23.795
150.0;terasort;23.65
155.0;dfsioe;19.884999999999998
155.0;pagerank;15.895000000000003
155.0;terasort;20.265
160.0;dfsioe;15.934999999999995
160.0;pagerank;34.839999999999996
160.0;terasort;25.535000000000004
165.0;dfsioe;30.615000000000002
165.0;pagerank;33.96
165.0;terasort;36.29
166.0;terasort;16.480000000000004
170.0;dfsioe;26.595
170.0;pagerank;34.535
170.0;terasort;35.43000000000001
171.0;terasort;31.459999999999994
175.0;dfsioe;25.92
175.0;pagerank;42.61
175.0;terasort;25.144999999999996
180.0;dfsioe;26.68
180.0;pagerank;31.394999999999996
180.0;terasort;16.775
185.0;dfsioe;33.775
185.0;pagerank;33.099999999999994
185.0;terasort;17.995000000000005
190.0;dfsioe;31.339999999999996
190.0;pagerank;32.455
190.0;terasort;21.625
195.0;dfsioe;33.625
195.0;pagerank;24.050000000000004
195.0;terasort;23.989999999999995
196.0;terasort;15.25
200.0;dfsioe;30.690000000000005
200.0;pagerank;23.674999999999997
200.0;terasort;31.299999999999997
201.0;terasort;20.790000000000006
205.0;dfsioe;24.805
205.0;pagerank;31.875
205.0;terasort;30.730000000000004
206.0;terasort;33.349999999999994
210.0;dfsioe;24.630000000000003
210.0;pagerank;29.314999999999998
210.0;terasort;22.479999999999997
211.0;terasort;30.989999999999995
215.0;dfsioe;24.910000000000004
