timeline;application;bread/s;bwrtn/s
0.0;dfsioe;0.8;1372.8000000000002
0.0;kmeans;48.8;117.52000000000001
0.0;pagerank;4.8;84.80000000000001
0.0;terasort;0.0;121.6
5.0;dfsioe;0.8;93.6
5.0;kmeans;0.0;88.8
5.0;pagerank;0.0;42.36
5.0;terasort;0.0;46.4
10.0;dfsioe;0.8;76.0
10.0;kmeans;0.0;332.0
10.0;pagerank;0.0;79.2
10.0;terasort;0.0;52.0
15.0;dfsioe;0.0;123.19999999999999
15.0;kmeans;1.6;44.8
15.0;pagerank;0.0;318.745
15.0;terasort;0.0;65.6
20.0;dfsioe;0.0;87.2
20.0;kmeans;0.0;338.15999999999997
20.0;pagerank;0.0;480.0
20.0;terasort;0.0;84.0
25.0;dfsioe;4.0;50.400000000000006
25.0;kmeans;3.2;292.8
25.0;pagerank;4.795;83.2
25.0;terasort;1.6;264.0
30.0;dfsioe;0.0;188.8
30.0;pagerank;0.0;303.505
30.0;terasort;0.0;197.6
35.0;dfsioe;0.0;116.8
35.0;pagerank;0.0;80.0
35.0;terasort;0.0;81.6
40.0;dfsioe;0.0;451.56
40.0;pagerank;102.4;125.60000000000001
40.0;terasort;0.0;456.79999999999995
45.0;dfsioe;0.0;581.9350000000001
45.0;pagerank;7.195;71.2
45.0;terasort;0.8;108.0
50.0;dfsioe;0.0;90.4
50.0;pagerank;7.2;189.60000000000002
50.0;terasort;1.595;208.8
55.0;dfsioe;0.0;40602.4
55.0;pagerank;0.8;210.97
55.0;terasort;0.0;300.8
60.0;dfsioe;0.0;48594.3
60.0;pagerank;0.0;172.0
60.0;terasort;0.0;91.2
65.0;dfsioe;1.6;178.265
65.0;pagerank;0.0;72.0
65.0;terasort;0.0;81.6
70.0;dfsioe;0.0;59.13
70.0;pagerank;0.0;68.71
70.0;terasort;0.0;144.0
75.0;dfsioe;0.0;43.96
75.0;pagerank;0.0;424.79999999999995
75.0;terasort;0.0;456.0
80.0;dfsioe;0.0;37.555
80.0;pagerank;0.8;248.0
80.0;terasort;0.0;355.2
85.0;dfsioe;0.8;3114.57
85.0;pagerank;0.0;140.8
85.0;terasort;0.0;146.4
90.0;dfsioe;0.0;8821.155
90.0;pagerank;1.6;129.515
90.0;terasort;0.0;68.8
95.0;dfsioe;2.4000000000000004;2063.2000000000003
95.0;pagerank;0.0;55.2
95.0;terasort;0.0;56.8
100.0;dfsioe;4.79;58.28
100.0;pagerank;0.0;112.0
100.0;terasort;0.0;126.4
105.0;dfsioe;1.6;34.400000000000006
105.0;pagerank;0.0;65.535
105.0;terasort;0.0;80.8
110.0;dfsioe;6.3999999999999995;32.8
110.0;pagerank;0.8;175.2
110.0;terasort;0.0;319.2
115.0;dfsioe;0.8;124.80000000000001
115.0;pagerank;0.0;99.2
115.0;terasort;0.0;179.2
120.0;dfsioe;0.8;984.6500000000001
120.0;pagerank;0.0;114.4
120.0;terasort;0.0;43.2
125.0;dfsioe;1.6;512.8
125.0;pagerank;0.0;32.0
125.0;terasort;0.0;36.0
130.0;dfsioe;2.4000000000000004;91.2
130.0;pagerank;0.0;193.6
130.0;terasort;0.0;108.80000000000001
135.0;dfsioe;1.6;169.60000000000002
135.0;pagerank;0.0;192.0
135.0;terasort;0.0;87.2
140.0;dfsioe;4.800000000000001;46.4
140.0;pagerank;0.0;74.4
140.0;terasort;0.0;90.22
145.0;dfsioe;7.984999999999999;64.8
145.0;pagerank;0.0;69.6
145.0;terasort;0.0;142.4
150.0;dfsioe;0.8;245.6
150.0;pagerank;0.0;266.4
150.0;terasort;0.0;74.4
155.0;dfsioe;0.8;150.4
155.0;pagerank;0.8;45.599999999999994
155.0;terasort;0.0;124.8
160.0;dfsioe;0.8;228.0
160.0;pagerank;0.8;66.33500000000001
160.0;terasort;0.0;77.6
165.0;dfsioe;0.0;295.2
165.0;pagerank;0.0;72.8
165.0;terasort;0.0;62.4
166.0;terasort;0.0;632.0
170.0;dfsioe;0.8;81.6
170.0;pagerank;0.0;152.0
170.0;terasort;0.0;88.0
171.0;terasort;0.0;83.2
175.0;dfsioe;0.795;55.0
175.0;pagerank;0.0;154.4
175.0;terasort;0.0;129.47
180.0;dfsioe;0.0;52.739999999999995
180.0;pagerank;0.0;102.4
180.0;terasort;0.0;70.4
185.0;dfsioe;0.0;180.8
185.0;pagerank;0.0;115.2
185.0;terasort;0.0;87.2
190.0;dfsioe;0.8;192.0
190.0;pagerank;0.0;88.8
190.0;terasort;0.0;143.2
195.0;dfsioe;0.0;50.400000000000006
195.0;pagerank;0.8;53.6
195.0;terasort;0.0;38.4
196.0;terasort;3.19;116.57
200.0;dfsioe;4.0;102.4
200.0;pagerank;0.0;508.0
200.0;terasort;0.0;60.8
201.0;terasort;8.0;33.6
205.0;dfsioe;1.6;99.2
205.0;pagerank;0.0;146.4
205.0;terasort;0.0;109.60000000000001
206.0;terasort;9.6;260.8
210.0;dfsioe;0.0;119.88499999999999
210.0;pagerank;0.0;107.2
210.0;terasort;0.0;88.0
211.0;terasort;0.0;115.2
215.0;dfsioe;4.0;111.885
215.0;pagerank;0.0;30.4
215.0;terasort;0.0;68.72999999999999
216.0;pagerank;1.6;107.2
216.0;terasort;0.0;454.4
220.0;dfsioe;0.8;224.8
220.0;pagerank;1.6;206.4
220.0;terasort;0.0;124.8
221.0;pagerank;0.0;49.5
221.0;terasort;0.0;16.0
225.0;dfsioe;0.0;196.0
225.0;pagerank;0.0;233.6
225.0;terasort;0.8;36.8
226.0;pagerank;0.0;372.8
226.0;terasort;0.0;97.6
230.0;dfsioe;0.0;40.0
230.0;pagerank;0.0;59.2
230.0;terasort;0.0;704.8
231.0;pagerank;16.0;70.4
231.0;terasort;0.0;19.2
235.0;dfsioe;0.8;136.8
235.0;pagerank;0.0;104.0
235.0;terasort;0.0;236.8
236.0;pagerank;1.6;265.6
236.0;terasort;14.4;160.0
240.0;dfsioe;0.0;186.4
240.0;pagerank;0.0;169.6
240.0;terasort;0.8;176.0
241.0;pagerank;0.0;111.78
241.0;terasort;0.0;288.0
245.0;dfsioe;4.0;87.19999999999999
245.0;pagerank;0.0;46.4
245.0;terasort;4.8;22.4
246.0;pagerank;0.0;547.2
246.0;terasort;0.0;51.2
250.0;dfsioe;2.395;163.01
250.0;pagerank;0.0;64.0
250.0;terasort;0.0;83.17999999999999
251.0;pagerank;0.0;54.4
251.0;terasort;0.0;30.4
255.0;dfsioe;0.0;168.8
255.0;pagerank;0.0;201.6
255.0;terasort;0.0;306.585
256.0;pagerank;0.0;24.0
256.0;terasort;1.6;59.2
260.0;dfsioe;0.0;54.4
260.0;pagerank;0.0;41.6
260.0;terasort;8.0;156.8
261.0;pagerank;0.0;123.2
261.0;terasort;0.0;264.0
265.0;dfsioe;0.0;140.0
265.0;pagerank;0.0;78.4
265.0;terasort;0.0;620.8
266.0;pagerank;0.0;624.0
266.0;terasort;0.0;576.0
270.0;dfsioe;0.0;169.6
270.0;pagerank;1.6;72.0
271.0;pagerank;0.0;614.4
271.0;terasort;0.0;120.0
275.0;dfsioe;0.8;159.2
