timeline;application;%memused
0.0;kmeans;85.38
0.0;pagerank;85.23
5.0;kmeans;85.515
5.0;pagerank;85.22999999999999
10.0;kmeans;85.83500000000001
10.0;pagerank;85.285
15.0;kmeans;85.5
15.0;pagerank;85.39
20.0;kmeans;85.525
20.0;pagerank;85.61
25.0;kmeans;85.65
25.0;pagerank;87.21000000000001
30.0;kmeans;87.16
30.0;pagerank;87.22
35.0;pagerank;86.65
40.0;pagerank;87.845
45.0;pagerank;88.41499999999999
50.0;pagerank;89.845
55.0;pagerank;90.12
60.0;pagerank;90.215
65.0;pagerank;90.42500000000001
70.0;pagerank;90.565
75.0;pagerank;90.435
80.0;pagerank;90.405
85.0;pagerank;90.295
90.0;pagerank;90.395
95.0;pagerank;90.45500000000001
100.0;pagerank;90.375
105.0;pagerank;90.51
110.0;pagerank;90.28
115.0;pagerank;90.315
120.0;pagerank;90.37
125.0;pagerank;90.28
130.0;pagerank;90.28
135.0;pagerank;90.36
140.0;pagerank;90.37
145.0;pagerank;90.31
150.0;pagerank;90.385
155.0;pagerank;90.39
160.0;pagerank;90.425
165.0;pagerank;90.455
170.0;pagerank;90.71000000000001
175.0;pagerank;90.725
180.0;pagerank;90.895
185.0;pagerank;90.65
190.0;pagerank;90.86000000000001
195.0;pagerank;90.78
200.0;pagerank;90.88
205.0;pagerank;90.78
210.0;pagerank;90.775
215.0;pagerank;90.675
220.0;pagerank;90.655
225.0;pagerank;90.78999999999999
230.0;pagerank;90.995
235.0;pagerank;90.785
240.0;pagerank;90.845
245.0;pagerank;90.82
250.0;pagerank;90.865
255.0;pagerank;90.745
260.0;pagerank;90.755
265.0;pagerank;90.79499999999999
270.0;pagerank;90.84
275.0;pagerank;90.815
280.0;pagerank;90.775
285.0;pagerank;90.815
290.0;pagerank;90.78999999999999
295.0;pagerank;90.74
300.0;pagerank;90.75
305.0;pagerank;90.98
310.0;pagerank;90.95
315.0;pagerank;90.95
320.0;pagerank;90.975
325.0;pagerank;90.945
330.0;pagerank;91.14
335.0;pagerank;90.96000000000001
340.0;pagerank;90.96000000000001
345.0;pagerank;91.05
350.0;pagerank;91.005
355.0;pagerank;91.005
360.0;pagerank;91.0
365.0;pagerank;91.045
370.0;pagerank;90.985
375.0;pagerank;91.135
380.0;pagerank;91.03
385.0;pagerank;91.06
390.0;pagerank;91.125
395.0;pagerank;91.095
400.0;pagerank;91.03999999999999
405.0;pagerank;91.135
410.0;pagerank;91.205
415.0;pagerank;91.08500000000001
420.0;pagerank;91.1
425.0;pagerank;91.045
430.0;pagerank;90.99000000000001
435.0;pagerank;91.0
440.0;pagerank;90.995
445.0;pagerank;91.095
450.0;pagerank;91.2
455.0;pagerank;91.21000000000001
460.0;pagerank;91.17
465.0;pagerank;91.06
470.0;pagerank;91.06
475.0;pagerank;91.21000000000001
480.0;pagerank;91.12
485.0;pagerank;91.16499999999999
490.0;pagerank;91.285
495.0;pagerank;91.225
500.0;pagerank;91.14500000000001
505.0;pagerank;91.08500000000001
510.0;pagerank;91.14
515.0;pagerank;91.15
520.0;pagerank;91.185
525.0;pagerank;91.29499999999999
530.0;pagerank;91.32499999999999
535.0;pagerank;91.14
540.0;pagerank;91.16
545.0;pagerank;91.25999999999999
550.0;pagerank;91.405
555.0;pagerank;91.285
560.0;pagerank;91.33
565.0;pagerank;91.345
570.0;pagerank;91.32499999999999
575.0;pagerank;91.295
580.0;pagerank;91.28999999999999
585.0;pagerank;91.36
590.0;pagerank;91.44
595.0;pagerank;91.36
600.0;pagerank;91.405
605.0;pagerank;91.33
610.0;pagerank;91.375
615.0;pagerank;91.35
620.0;pagerank;91.405
625.0;pagerank;91.36
630.0;pagerank;91.515
635.0;pagerank;91.42
640.0;pagerank;91.33
645.0;pagerank;91.355
650.0;pagerank;91.4
655.0;pagerank;91.41
660.0;pagerank;91.515
665.0;pagerank;91.54
670.0;pagerank;91.615
675.0;pagerank;91.43
680.0;pagerank;91.6
685.0;pagerank;91.79499999999999
690.0;pagerank;91.96
695.0;pagerank;91.955
700.0;pagerank;92.05
705.0;pagerank;92.165
710.0;pagerank;92.13499999999999
715.0;pagerank;91.965
720.0;pagerank;91.995
725.0;pagerank;91.94999999999999
730.0;pagerank;92.005
735.0;pagerank;91.99
