timeline;application;%memused
0.0;dfsioe;84.95500000000001
0.0;kmeans;83.825
0.0;pagerank;83.33000000000001
0.0;terasort;86.505
5.0;dfsioe;86.515
5.0;kmeans;86.4
5.0;pagerank;85.58500000000001
5.0;terasort;88.63499999999999
10.0;dfsioe;86.555
10.0;kmeans;86.36
10.0;pagerank;85.025
10.0;terasort;88.435
15.0;dfsioe;85.97999999999999
15.0;kmeans;86.4
15.0;pagerank;84.89
15.0;terasort;89.175
20.0;dfsioe;86.83500000000001
20.0;kmeans;86.42
20.0;pagerank;87.56
20.0;terasort;89.31
25.0;dfsioe;86.91499999999999
25.0;pagerank;89.635
25.0;terasort;88.905
30.0;dfsioe;89.255
30.0;pagerank;89.87
30.0;terasort;90.13999999999999
35.0;dfsioe;90.61
35.0;pagerank;90.035
35.0;terasort;91.22
40.0;dfsioe;93.28
40.0;pagerank;89.955
40.0;terasort;91.395
45.0;dfsioe;94.725
45.0;pagerank;90.16999999999999
45.0;terasort;91.19
50.0;dfsioe;95.21000000000001
50.0;pagerank;90.255
50.0;terasort;91.355
55.0;dfsioe;95.34
55.0;pagerank;90.15
55.0;terasort;91.345
60.0;dfsioe;95.38
60.0;pagerank;90.41
60.0;terasort;91.315
65.0;dfsioe;95.63
65.0;pagerank;90.025
65.0;terasort;91.74000000000001
70.0;dfsioe;95.94
70.0;pagerank;90.13499999999999
70.0;terasort;91.67500000000001
75.0;dfsioe;95.97
75.0;pagerank;90.01499999999999
75.0;terasort;91.315
80.0;dfsioe;95.76499999999999
80.0;pagerank;90.015
80.0;terasort;91.25
85.0;dfsioe;95.83500000000001
85.0;pagerank;90.19
85.0;terasort;91.39
90.0;dfsioe;95.66
90.0;pagerank;90.505
90.0;terasort;91.305
95.0;dfsioe;95.795
95.0;pagerank;90.725
95.0;terasort;91.37
100.0;dfsioe;95.945
100.0;pagerank;90.285
100.0;terasort;91.275
105.0;dfsioe;95.99000000000001
105.0;pagerank;90.62
105.0;terasort;91.155
110.0;dfsioe;95.975
110.0;pagerank;91.155
110.0;terasort;91.175
115.0;dfsioe;95.705
115.0;pagerank;90.79499999999999
115.0;terasort;91.245
120.0;dfsioe;95.825
120.0;pagerank;90.25999999999999
120.0;terasort;91.405
125.0;dfsioe;96.025
125.0;pagerank;90.245
125.0;terasort;91.575
130.0;dfsioe;96.52000000000001
130.0;pagerank;90.25999999999999
130.0;terasort;91.245
131.0;pagerank;95.96
135.0;dfsioe;95.755
135.0;pagerank;90.36
135.0;terasort;91.28
136.0;pagerank;94.3
140.0;dfsioe;95.595
140.0;pagerank;90.38
140.0;terasort;91.3
141.0;pagerank;94.23
145.0;dfsioe;95.515
145.0;pagerank;90.275
145.0;terasort;91.335
146.0;pagerank;94.37
150.0;dfsioe;95.47
150.0;pagerank;90.12
150.0;terasort;91.64500000000001
151.0;pagerank;94.29
155.0;dfsioe;95.61500000000001
155.0;pagerank;90.13
155.0;terasort;91.38
156.0;pagerank;94.23
160.0;dfsioe;95.59
160.0;pagerank;90.30000000000001
160.0;terasort;91.32499999999999
161.0;pagerank;94.24
165.0;dfsioe;95.7
165.0;pagerank;90.445
165.0;terasort;91.195
166.0;pagerank;94.24
170.0;dfsioe;95.59
170.0;pagerank;90.67
170.0;terasort;91.32
171.0;pagerank;94.29
175.0;dfsioe;95.59
175.0;pagerank;91.03
175.0;terasort;91.255
176.0;pagerank;94.3
180.0;dfsioe;95.86
180.0;pagerank;90.25999999999999
180.0;terasort;91.22
181.0;pagerank;94.39
185.0;dfsioe;96.17500000000001
185.0;pagerank;90.265
185.0;terasort;91.435
186.0;pagerank;95.71
190.0;dfsioe;95.97
190.0;pagerank;90.39500000000001
190.0;terasort;91.375
191.0;pagerank;97.43
195.0;dfsioe;95.805
195.0;pagerank;90.36
195.0;terasort;91.365
196.0;pagerank;98.3
200.0;dfsioe;95.315
200.0;pagerank;90.69999999999999
200.0;terasort;91.37
201.0;pagerank;93.67
205.0;dfsioe;95.405
205.0;pagerank;90.39500000000001
205.0;terasort;91.38499999999999
206.0;pagerank;93.66
210.0;dfsioe;95.155
210.0;pagerank;90.375
210.0;terasort;91.32499999999999
211.0;pagerank;93.69
215.0;dfsioe;95.345
215.0;pagerank;90.225
215.0;terasort;91.13499999999999
216.0;pagerank;93.69
220.0;dfsioe;95.41499999999999
220.0;pagerank;90.47
220.0;terasort;91.205
221.0;pagerank;93.76
225.0;dfsioe;95.33500000000001
225.0;pagerank;91.235
225.0;terasort;91.275
226.0;pagerank;93.99
230.0;dfsioe;95.25
230.0;pagerank;90.46000000000001
230.0;terasort;91.245
231.0;pagerank;94.08
235.0;dfsioe;95.225
235.0;pagerank;90.37
235.0;terasort;91.28999999999999
236.0;pagerank;93.97
240.0;dfsioe;95.39500000000001
240.0;pagerank;90.335
240.0;terasort;91.16
241.0;pagerank;93.95
245.0;dfsioe;95.09
245.0;pagerank;90.71000000000001
245.0;terasort;91.325
246.0;pagerank;93.95
250.0;dfsioe;95.1
250.0;pagerank;90.19
250.0;terasort;91.3
251.0;pagerank;93.84
255.0;dfsioe;95.29499999999999
255.0;pagerank;90.18
255.0;terasort;91.25
256.0;pagerank;94.05
260.0;dfsioe;95.15
260.0;pagerank;90.16
260.0;terasort;91.59
261.0;pagerank;94.05
265.0;dfsioe;95.02000000000001
265.0;pagerank;90.17500000000001
265.0;terasort;91.375
266.0;pagerank;94.03
270.0;dfsioe;95.03999999999999
270.0;pagerank;90.345
270.0;terasort;91.45
271.0;pagerank;93.88
275.0;dfsioe;95.03999999999999
275.0;pagerank;90.44
275.0;terasort;91.44
276.0;pagerank;93.86
280.0;dfsioe;95.08500000000001
280.0;pagerank;90.47
280.0;terasort;91.38499999999999
281.0;pagerank;93.86
285.0;dfsioe;95.255
285.0;pagerank;90.78999999999999
285.0;terasort;91.33000000000001
286.0;pagerank;93.87
290.0;dfsioe;95.235
290.0;pagerank;90.865
290.0;terasort;91.43
291.0;pagerank;93.9
295.0;dfsioe;94.695
295.0;pagerank;91.15
295.0;terasort;91.385
296.0;pagerank;94.08
300.0;dfsioe;94.54499999999999
300.0;pagerank;90.21000000000001
300.0;terasort;91.32
301.0;pagerank;94.14
305.0;dfsioe;94.56
305.0;pagerank;90.275
305.0;terasort;91.6
306.0;pagerank;93.97
310.0;dfsioe;94.045
310.0;pagerank;90.42
310.0;terasort;91.58
311.0;pagerank;92.06
315.0;dfsioe;94.005
315.0;pagerank;90.3
315.0;terasort;91.255
316.0;pagerank;93.92
320.0;dfsioe;94.085
320.0;pagerank;90.21
320.0;terasort;91.225
321.0;pagerank;92.05
325.0;dfsioe;94.015
325.0;pagerank;90.22
325.0;terasort;91.445
326.0;pagerank;92.095
330.0;dfsioe;94.03
330.0;pagerank;90.67
330.0;terasort;91.53999999999999
331.0;pagerank;92.185
335.0;dfsioe;94.19
335.0;pagerank;90.64
335.0;terasort;91.58500000000001
336.0;pagerank;92.22999999999999
340.0;dfsioe;94.055
340.0;pagerank;90.5
340.0;terasort;91.58
341.0;pagerank;92.17500000000001
345.0;dfsioe;94.715
345.0;pagerank;90.66
345.0;terasort;91.46000000000001
346.0;pagerank;92.31
350.0;dfsioe;94.69
350.0;pagerank;91.08
350.0;terasort;91.26
351.0;pagerank;92.2
355.0;dfsioe;94.16999999999999
355.0;pagerank;90.52
355.0;terasort;91.265
356.0;pagerank;92.15
360.0;dfsioe;94.59
360.0;pagerank;90.74
360.0;terasort;91.38
361.0;pagerank;92.235
365.0;dfsioe;94.735
365.0;pagerank;90.67
365.0;terasort;91.775
366.0;pagerank;92.61500000000001
370.0;dfsioe;94.66
370.0;pagerank;90.6
370.0;terasort;91.78
371.0;pagerank;93.08
375.0;dfsioe;94.55000000000001
375.0;pagerank;90.47
375.0;terasort;91.625
376.0;pagerank;92.16499999999999
380.0;dfsioe;94.015
380.0;pagerank;90.37
380.0;terasort;91.375
381.0;pagerank;92.10499999999999
385.0;dfsioe;94.005
385.0;pagerank;90.53
385.0;terasort;91.375
386.0;pagerank;92.245
390.0;dfsioe;94.34
390.0;pagerank;90.54
390.0;terasort;91.36500000000001
391.0;pagerank;92.13499999999999
395.0;dfsioe;94.47
395.0;pagerank;90.36
395.0;terasort;91.29499999999999
396.0;pagerank;92.445
400.0;dfsioe;94.555
400.0;pagerank;90.25
400.0;terasort;91.26
401.0;pagerank;92.425
405.0;dfsioe;94.44
405.0;pagerank;90.6
405.0;terasort;91.405
406.0;pagerank;92.655
410.0;dfsioe;94.41499999999999
410.0;pagerank;91.13
410.0;terasort;91.375
411.0;pagerank;92.245
415.0;dfsioe;94.41499999999999
415.0;pagerank;91.14
415.0;terasort;91.435
416.0;pagerank;92.25
420.0;dfsioe;94.42500000000001
420.0;pagerank;90.82
420.0;terasort;91.39
421.0;pagerank;92.455
425.0;dfsioe;95.005
425.0;pagerank;91.18
425.0;terasort;91.83500000000001
426.0;pagerank;93.35
430.0;dfsioe;94.53999999999999
430.0;pagerank;90.3
430.0;terasort;91.62
431.0;pagerank;93.265
435.0;dfsioe;94.77
435.0;pagerank;90.57
435.0;terasort;91.265
436.0;pagerank;92.325
440.0;dfsioe;94.195
440.0;pagerank;90.59
440.0;terasort;91.495
441.0;pagerank;92.305
445.0;dfsioe;94.02000000000001
445.0;pagerank;90.52
445.0;terasort;91.495
446.0;pagerank;92.27000000000001
450.0;dfsioe;93.99
450.0;pagerank;90.36
450.0;terasort;91.57
451.0;pagerank;92.255
455.0;dfsioe;94.28999999999999
455.0;pagerank;90.6
455.0;terasort;91.53999999999999
456.0;pagerank;92.27000000000001
460.0;dfsioe;94.445
460.0;pagerank;90.62
460.0;terasort;91.64500000000001
461.0;pagerank;92.23
465.0;dfsioe;94.535
465.0;pagerank;90.7
465.0;terasort;91.36
466.0;pagerank;92.89
470.0;dfsioe;94.465
470.0;pagerank;91.18
470.0;terasort;91.36
471.0;pagerank;93.305
475.0;dfsioe;94.20500000000001
475.0;pagerank;90.77
475.0;terasort;91.405
476.0;pagerank;92.405
480.0;dfsioe;94.26
480.0;pagerank;90.61
480.0;terasort;91.4
481.0;pagerank;92.435
485.0;dfsioe;94.625
485.0;pagerank;90.61
485.0;terasort;91.495
486.0;pagerank;93.41
490.0;dfsioe;94.49000000000001
490.0;pagerank;90.61
490.0;terasort;91.39
491.0;pagerank;92.275
495.0;dfsioe;94.46000000000001
495.0;pagerank;90.31
495.0;terasort;91.4
496.0;pagerank;92.24000000000001
500.0;dfsioe;94.36
500.0;pagerank;90.27
500.0;terasort;91.575
501.0;pagerank;92.625
505.0;dfsioe;94.08
505.0;pagerank;90.28
505.0;terasort;91.525
506.0;pagerank;92.72
510.0;dfsioe;94.08500000000001
510.0;pagerank;90.29
510.0;terasort;91.615
511.0;pagerank;92.435
515.0;dfsioe;94.10499999999999
515.0;pagerank;90.34
515.0;terasort;91.47
516.0;pagerank;92.24000000000001
520.0;dfsioe;94.13
520.0;pagerank;90.62
520.0;terasort;91.395
521.0;pagerank;92.37
525.0;dfsioe;94.03
525.0;pagerank;90.62
525.0;terasort;91.345
526.0;pagerank;92.925
530.0;dfsioe;94.05
530.0;pagerank;90.68
530.0;terasort;91.38499999999999
531.0;pagerank;92.435
535.0;dfsioe;94.11500000000001
535.0;pagerank;91.22
535.0;terasort;91.38
536.0;pagerank;93.505
540.0;dfsioe;94.19999999999999
540.0;pagerank;91.21
540.0;terasort;91.445
541.0;pagerank;92.605
545.0;dfsioe;94.03999999999999
545.0;pagerank;90.98
545.0;terasort;91.605
546.0;pagerank;92.975
550.0;dfsioe;94.05000000000001
550.0;pagerank;91.27
550.0;terasort;91.50999999999999
551.0;pagerank;93.305
555.0;dfsioe;93.835
555.0;pagerank;90.95
555.0;terasort;91.535
556.0;pagerank;92.345
560.0;dfsioe;93.88
560.0;pagerank;90.32
560.0;terasort;91.575
561.0;pagerank;92.31
565.0;dfsioe;93.89
565.0;pagerank;90.3
565.0;terasort;91.455
566.0;pagerank;92.31
570.0;dfsioe;93.62
570.0;pagerank;90.79
570.0;terasort;91.405
571.0;pagerank;92.32
575.0;dfsioe;94.035
575.0;pagerank;90.66
575.0;terasort;91.52
576.0;pagerank;92.47
580.0;dfsioe;94.015
580.0;pagerank;90.41
580.0;terasort;91.58500000000001
581.0;pagerank;92.51499999999999
585.0;dfsioe;94.06
585.0;pagerank;90.31
585.0;terasort;91.58
586.0;pagerank;92.93
590.0;dfsioe;94.37
590.0;pagerank;90.67
590.0;terasort;91.665
591.0;pagerank;93.66499999999999
595.0;dfsioe;94.405
595.0;pagerank;90.46
595.0;terasort;91.46000000000001
596.0;pagerank;92.455
600.0;dfsioe;94.405
