timeline;application;%cpu_utilization
0.0;kmeans;28.295
0.0;pagerank;28.37
5.0;kmeans;38.129999999999995
5.0;pagerank;19.665
10.0;kmeans;47.96
10.0;pagerank;29.575000000000003
15.0;kmeans;54.425
15.0;pagerank;20.935000000000002
20.0;kmeans;35.955
20.0;pagerank;37.495000000000005
25.0;kmeans;34.370000000000005
25.0;pagerank;52.81
30.0;pagerank;77.91999999999999
35.0;pagerank;77.13499999999999
40.0;pagerank;69.16
45.0;pagerank;81.16999999999999
50.0;pagerank;68.295
55.0;pagerank;51.010000000000005
60.0;pagerank;37.525
65.0;pagerank;36.010000000000005
70.0;pagerank;18.160000000000004
75.0;pagerank;18.380000000000003
80.0;pagerank;17.525000000000006
85.0;pagerank;16.265
90.0;pagerank;31.625
95.0;pagerank;30.605000000000004
100.0;pagerank;30.075000000000003
105.0;pagerank;28.975
110.0;pagerank;28.154999999999994
115.0;pagerank;25.04
120.0;pagerank;17.300000000000004
125.0;pagerank;35.58
130.0;pagerank;43.474999999999994
135.0;pagerank;34.04
140.0;pagerank;29.159999999999997
145.0;pagerank;31.465000000000003
150.0;pagerank;33.055
155.0;pagerank;35.910000000000004
160.0;pagerank;42.795
165.0;pagerank;44.485
170.0;pagerank;45.84
175.0;pagerank;31.995000000000005
180.0;pagerank;20.089999999999996
185.0;pagerank;16.630000000000003
190.0;pagerank;12.369999999999997
195.0;pagerank;21.770000000000003
200.0;pagerank;30.905
205.0;pagerank;35.625
210.0;pagerank;34.09
215.0;pagerank;29.200000000000003
220.0;pagerank;31.915
225.0;pagerank;17.445
230.0;pagerank;16.739999999999995
235.0;pagerank;22.519999999999996
240.0;pagerank;32.504999999999995
245.0;pagerank;41.010000000000005
250.0;pagerank;28.095
255.0;pagerank;20.865000000000002
260.0;pagerank;16.93
265.0;pagerank;21.86
270.0;pagerank;27.445
275.0;pagerank;28.11
276.0;pagerank;71.37
280.0;pagerank;22.230000000000004
281.0;pagerank;83.63
285.0;pagerank;30.569999999999993
286.0;pagerank;80.31
290.0;pagerank;36.24
295.0;pagerank;17.299999999999997
300.0;pagerank;19.89
305.0;pagerank;11.689999999999998
