timeline;application;bread/s;bwrtn/s
0.0;kmeans;392.8;36.0
0.0;pagerank;307.20000000000005;125.475
5.0;kmeans;13.585;111.13
5.0;pagerank;21.6;101.6
10.0;kmeans;99.19999999999999;104.0
10.0;pagerank;12.8;32.8
15.0;kmeans;16.8;60.8
15.0;pagerank;22.4;2715.2
20.0;kmeans;17.6;54.4
20.0;pagerank;31.2;65.525
25.0;kmeans;108.8;2811.2
25.0;pagerank;77.53999999999999;97.60000000000001
30.0;pagerank;228.0;183.2
35.0;pagerank;27.18;141.60000000000002
40.0;pagerank;109.495;65.6
45.0;pagerank;64.0;183.04000000000002
50.0;pagerank;74.4;116.57
55.0;pagerank;39.2;153.26
60.0;pagerank;28.78;114.39999999999999
65.0;pagerank;25.6;235.20000000000002
70.0;pagerank;13.600000000000001;163.775
75.0;pagerank;12.8;460.8
80.0;pagerank;8.8;172.0
85.0;pagerank;24.8;68.0
90.0;pagerank;27.200000000000003;146.4
95.0;pagerank;10.39;79.145
100.0;pagerank;12.0;148.0
105.0;pagerank;16.0;213.6
110.0;pagerank;19.2;58.4
115.0;pagerank;9.6;106.3
120.0;pagerank;8.8;32.8
125.0;pagerank;14.4;116.0
130.0;pagerank;11.2;51.2
135.0;pagerank;6.4;202.4
140.0;pagerank;41.6;116.0
145.0;pagerank;9.59;97.49000000000001
150.0;pagerank;12.8;56.8
155.0;pagerank;10.4;83.16
160.0;pagerank;13.6;44.7
165.0;pagerank;16.0;258.12
170.0;pagerank;5.6;139.2
175.0;pagerank;4.800000000000001;281.6
180.0;pagerank;8.0;244.8
185.0;pagerank;14.379999999999999;89.6
190.0;pagerank;4.800000000000001;45.54
195.0;pagerank;13.600000000000001;144.8
200.0;pagerank;20.0;253.6
205.0;pagerank;7.99;299.74
210.0;pagerank;11.2;101.47999999999999
215.0;pagerank;9.59;137.6
220.0;pagerank;5.6;55.2
225.0;pagerank;8.8;68.0
230.0;pagerank;6.4;96.8
235.0;pagerank;9.61;471.2
240.0;pagerank;5.6;127.19999999999999
245.0;pagerank;7.199999999999999;100.80000000000001
250.0;pagerank;19.2;98.4
255.0;pagerank;8.8;46.400000000000006
260.0;pagerank;13.600000000000001;213.6
265.0;pagerank;3.2;158.4
270.0;pagerank;6.4;104.0
275.0;pagerank;1.6;65.6
276.0;pagerank;19.16;194.81
280.0;pagerank;31.2;51.16
281.0;pagerank;8.0;30.4
285.0;pagerank;548.8;136.0
286.0;pagerank;213.97;43.11
290.0;pagerank;9.6;38.4
295.0;pagerank;1.6;233.6
300.0;pagerank;244.8;41.6
305.0;pagerank;0.0;46.4
