timeline;application;rxkB/s;txkB/s
0.0;kmeans;58.325;41.6975
0.0;pagerank;46.8575;38.21
5.0;kmeans;58.43000000000001;41.3225
5.0;pagerank;48.322500000000005;45.962500000000006
10.0;kmeans;49.2525;47.7675
10.0;pagerank;36.0;41.715
15.0;kmeans;40.8025;43.627500000000005
15.0;pagerank;60.5425;42.849999999999994
20.0;kmeans;62.1475;50.1325
20.0;pagerank;52.6525;47.6375
25.0;kmeans;70.96000000000001;46.114999999999995
25.0;pagerank;33.4;19.8975
30.0;pagerank;37.205;30.655
35.0;pagerank;30.47;18.275
40.0;pagerank;33.019999999999996;30.475
45.0;pagerank;32.6375;69.3325
50.0;pagerank;57.1775;755.9300000000001
55.0;pagerank;43.89;60.3725
60.0;pagerank;35.805;42.075
65.0;pagerank;25.832500000000003;44.7025
70.0;pagerank;28.7725;26.87
75.0;pagerank;32.2875;20.9375
80.0;pagerank;45.44;23.005
85.0;pagerank;23.9925;20.7575
90.0;pagerank;38.56;21.8575
95.0;pagerank;30.415;23.8275
100.0;pagerank;29.04;19.0725
105.0;pagerank;33.5675;27.285000000000004
110.0;pagerank;53.567499999999995;30.799999999999997
115.0;pagerank;49.1225;28.490000000000002
120.0;pagerank;33.535;28.259999999999998
125.0;pagerank;46.662499999999994;48.4275
130.0;pagerank;29.7125;30.509999999999998
135.0;pagerank;33.660000000000004;21.88
140.0;pagerank;31.0775;24.4075
145.0;pagerank;28.8175;17.2875
150.0;pagerank;41.04;24.91
155.0;pagerank;31.877499999999998;19.9775
160.0;pagerank;26.207500000000003;43.5075
165.0;pagerank;36.6025;35.2425
170.0;pagerank;33.465;62.0175
175.0;pagerank;33.275;15.82
180.0;pagerank;30.5375;29.44
185.0;pagerank;30.1475;42.535000000000004
190.0;pagerank;32.335;21.61
195.0;pagerank;41.677499999999995;25.942500000000003
200.0;pagerank;40.0525;32.945
205.0;pagerank;32.5375;19.402499999999996
210.0;pagerank;32.9075;25.2525
215.0;pagerank;28.46;23.8725
220.0;pagerank;23.6875;18.3375
225.0;pagerank;28.362499999999997;23.4775
230.0;pagerank;51.2625;30.527500000000003
235.0;pagerank;58.31;44.64
240.0;pagerank;36.58;27.445
245.0;pagerank;37.04;21.675
250.0;pagerank;22.51;32.790000000000006
255.0;pagerank;34.275000000000006;19.555
260.0;pagerank;28.735;22.9375
265.0;pagerank;25.3275;19.962500000000002
270.0;pagerank;22.8825;22.575
275.0;pagerank;27.905;20.48
276.0;pagerank;32.165;23.97
280.0;pagerank;25.77;23.875
281.0;pagerank;160.37;151.7
285.0;pagerank;24.465;16.92
286.0;pagerank;62.685;65.24
290.0;pagerank;31.515;20.685
295.0;pagerank;9.73;9.344999999999999
300.0;pagerank;31.68;22.87
305.0;pagerank;15.545;12.295000000000002
