timeline;application;%cpu_utilization
0.0;wordcount;28.5
5.0;wordcount;58.25
10.0;wordcount;63.72
15.0;wordcount;64.17
20.0;wordcount;69.26
25.0;wordcount;34.285000000000004
30.0;wordcount;21.835
35.0;wordcount;17.629999999999995
40.0;wordcount;17.200000000000003
45.0;wordcount;25.034999999999997
50.0;wordcount;18.114999999999995
55.0;wordcount;36.735
60.0;wordcount;28.28
65.0;wordcount;19.224999999999994
70.0;wordcount;18.549999999999997
75.0;wordcount;22.255000000000003
80.0;wordcount;24.54
85.0;wordcount;29.465
90.0;wordcount;26.655
95.0;wordcount;26.945
100.0;wordcount;24.355000000000004
105.0;wordcount;27.634999999999998
110.0;wordcount;26.535000000000004
115.0;wordcount;30.625000000000004
120.0;wordcount;28.04
125.0;wordcount;29.875
130.0;wordcount;33.8
135.0;wordcount;24.964999999999996
140.0;wordcount;21.340000000000003
145.0;wordcount;25.905
150.0;wordcount;32.61
155.0;wordcount;37.3
156.0;wordcount;51.62
160.0;wordcount;30.310000000000002
161.0;wordcount;41.66
165.0;wordcount;25.340000000000003
166.0;wordcount;12.799999999999997
170.0;wordcount;17.989999999999995
171.0;wordcount;27.75
175.0;wordcount;20.57
180.0;wordcount;29.299999999999997
181.0;wordcount;16.42
185.0;wordcount;28.650000000000006
186.0;wordcount;9.25
190.0;wordcount;31.120000000000005
191.0;wordcount;8.629999999999995
195.0;wordcount;23.040000000000006
196.0;wordcount;9.719999999999999
200.0;wordcount;32.19
201.0;wordcount;25.86
205.0;wordcount;25.25
206.0;wordcount;44.18
210.0;wordcount;28.409999999999997
211.0;wordcount;22.519999999999996
215.0;wordcount;35.64
216.0;wordcount;13.540000000000006
220.0;wordcount;29.680000000000007
221.0;wordcount;9.290000000000006
225.0;wordcount;20.61
226.0;wordcount;8.730000000000004
230.0;wordcount;11.530000000000001
231.0;wordcount;16.78
235.0;wordcount;19.269999999999996
236.0;wordcount;33.16
240.0;wordcount;16.42
241.0;wordcount;34.55
245.0;wordcount;29.340000000000003
246.0;wordcount;9.430000000000007
250.0;wordcount;36.17
251.0;wordcount;18.040000000000006
255.0;wordcount;21.540000000000006
256.0;wordcount;10.019999999999996
260.0;wordcount;20.519999999999996
261.0;wordcount;14.959999999999994
265.0;wordcount;16.909999999999997
266.0;wordcount;34.81
270.0;wordcount;16.120000000000005
271.0;wordcount;42.16
275.0;wordcount;22.67
276.0;wordcount;21.269999999999996
280.0;wordcount;30.305
281.0;wordcount;9.719999999999999
285.0;wordcount;30.46
286.0;wordcount;27.730000000000004
290.0;wordcount;21.36
291.0;wordcount;8.409999999999997
295.0;wordcount;9.680000000000007
296.0;wordcount;27.810000000000002
300.0;wordcount;53.24
305.0;wordcount;54.16
310.0;wordcount;63.66
315.0;wordcount;84.55
320.0;wordcount;53.94
325.0;wordcount;8.920000000000002
330.0;wordcount;7.989999999999995
335.0;wordcount;11.769999999999996
340.0;wordcount;30.019999999999996
345.0;wordcount;49.79
350.0;wordcount;52.09
355.0;wordcount;26.200000000000003
360.0;wordcount;31.879999999999995
365.0;wordcount;27.840000000000003
370.0;wordcount;21.980000000000004
375.0;wordcount;41.28
380.0;wordcount;87.03999999999999
0.0;sort;39.345
5.0;sort;79.22
10.0;sort;69.69500000000001
15.0;sort;68.47
20.0;sort;64.81
25.0;sort;37.9
30.0;sort;24.21
35.0;sort;24.270000000000003
40.0;sort;29.57
45.0;sort;34.52
50.0;sort;28.254999999999995
55.0;sort;30.739999999999995
60.0;sort;29.479999999999997
65.0;sort;27.075000000000003
70.0;sort;29.810000000000002
75.0;sort;27.15
80.0;sort;25.305
85.0;sort;30.97
90.0;sort;22.75
95.0;sort;25.71
100.0;sort;30.46
105.0;sort;29.65
110.0;sort;28.665
115.0;sort;34.105000000000004
120.0;sort;23.575000000000003
125.0;sort;33.05
130.0;sort;26.129999999999995
135.0;sort;29.674999999999997
140.0;sort;18.655
145.0;sort;19.209999999999994
0.0;SQL-join;42.59
5.0;SQL-join;75.84
6.0;SQL-join;73.74
10.0;SQL-join;62.735
15.0;SQL-join;74.94
20.0;SQL-join;56.59
21.0;SQL-join;28.069999999999993
25.0;SQL-join;55.39
26.0;SQL-join;66.06
30.0;SQL-join;34.72
31.0;SQL-join;91.2
35.0;SQL-join;70.7
41.0;SQL-join;81.48
