timeline;application;bread/s;bwrtn/s
0.0;wordcount;0.8;60.0
5.0;wordcount;2.4000000000000004;260.0
10.0;wordcount;10.4;120.8
15.0;wordcount;3.99;185.4
20.0;wordcount;5.6;226.39999999999998
25.0;wordcount;3.2;105.6
30.0;wordcount;31.2;132.8
35.0;wordcount;0.8;179.2
40.0;wordcount;41.6;176.0
45.0;wordcount;11.184999999999999;501.125
50.0;wordcount;23.2;435.20000000000005
55.0;wordcount;12.780000000000001;152.8
60.0;wordcount;2.4000000000000004;40.84
65.0;wordcount;0.0;113.6
70.0;wordcount;1.6;120.80000000000001
75.0;wordcount;4.8;114.25999999999999
80.0;wordcount;0.0;166.4
85.0;wordcount;8.0;64.8
90.0;wordcount;20.0;55.2
95.0;wordcount;2.4;84.75
100.0;wordcount;0.8;101.6
105.0;wordcount;9.6;189.6
110.0;wordcount;19.200000000000003;224.8
115.0;wordcount;3.2;71.9
120.0;wordcount;1.6;53.545
125.0;wordcount;2.4000000000000004;101.6
130.0;wordcount;3.995;116.80000000000001
135.0;wordcount;0.795;113.6
140.0;wordcount;3.2;312.0
145.0;wordcount;4.800000000000001;45.599999999999994
150.0;wordcount;51.150000000000006;83.14
155.0;wordcount;24.0;65.6
156.0;wordcount;0.0;364.8
160.0;wordcount;11.2;148.8
161.0;wordcount;6.4;48.0
165.0;wordcount;0.0;41.6
166.0;wordcount;0.0;395.2
170.0;wordcount;3.2;291.2
171.0;wordcount;0.0;30.4
175.0;wordcount;9.6;95.2
180.0;wordcount;9.6;54.4
181.0;wordcount;0.0;19.2
185.0;wordcount;3.2;44.8
186.0;wordcount;0.0;273.6
190.0;wordcount;1.6;105.39
191.0;wordcount;0.0;20.8
195.0;wordcount;6.4;64.0
196.0;wordcount;4.8;136.0
200.0;wordcount;1.6;296.0
201.0;wordcount;0.0;79.84
205.0;wordcount;8.0;136.0
206.0;wordcount;1.6;54.4
210.0;wordcount;12.8;105.6
211.0;wordcount;30.4;40.0
215.0;wordcount;6.4;62.4
216.0;wordcount;0.0;211.2
220.0;wordcount;1.6;62.4
221.0;wordcount;3.2;372.8
225.0;wordcount;11.2;104.0
226.0;wordcount;1.6;25.6
230.0;wordcount;3.2;145.6
231.0;wordcount;0.0;137.6
235.0;wordcount;1.6;49.6
236.0;wordcount;0.0;80.0
240.0;wordcount;1.6;162.87
241.0;wordcount;0.0;86.4
245.0;wordcount;1.6;43.2
246.0;wordcount;4.8;582.4
250.0;wordcount;1.6;57.6
251.0;wordcount;3.2;19.2
255.0;wordcount;6.4;113.6
256.0;wordcount;52.8;41.6
260.0;wordcount;0.0;193.6
261.0;wordcount;0.0;140.8
265.0;wordcount;16.0;54.29
266.0;wordcount;0.0;160.0
270.0;wordcount;4.8;182.4
271.0;wordcount;68.66;177.25
275.0;wordcount;1.6;182.4
276.0;wordcount;0.0;720.0
280.0;wordcount;2.4000000000000004;93.6
281.0;wordcount;27.2;176.0
285.0;wordcount;1.6;44.0
286.0;wordcount;0.0;59.2
290.0;wordcount;4.8;212.8
291.0;wordcount;1.6;582.4
295.0;wordcount;3.2;24.0
296.0;wordcount;0.0;166.4
300.0;wordcount;133.6;805.6
305.0;wordcount;316.79999999999995;1368.8
310.0;wordcount;94.4;156.8
315.0;wordcount;0.0;40.0
320.0;wordcount;1.6;443.2
325.0;wordcount;0.0;56.0
330.0;wordcount;0.0;20.8
335.0;wordcount;0.0;192.0
340.0;wordcount;4.8;44.8
345.0;wordcount;12.8;86.4
350.0;wordcount;1.6;219.2
355.0;wordcount;0.0;31.94
360.0;wordcount;0.0;35.2
365.0;wordcount;6.4;534.4
370.0;wordcount;56.0;68.8
375.0;wordcount;0.0;57.49
380.0;wordcount;16.0;446.4
0.0;sort;3.995;64.74000000000001
5.0;sort;2.4000000000000004;73.6
10.0;sort;4.0;131.2
15.0;sort;1.6;63.135
20.0;sort;1.6;81.6
25.0;sort;0.0;269.6
30.0;sort;3.2;200.0
35.0;sort;3.1950000000000003;119.2
40.0;sort;11.2;356.44
45.0;sort;3.2;410.4
50.0;sort;12.795;461.6
55.0;sort;23.2;91.19999999999999
60.0;sort;3.1950000000000003;56.8
65.0;sort;6.4;167.2
70.0;sort;20.775;106.4
75.0;sort;2.4000000000000004;268.79999999999995
80.0;sort;0.8;56.0
85.0;sort;3.1950000000000003;189.60000000000002
90.0;sort;2.4;47.2
95.0;sort;10.4;72.8
100.0;sort;6.4;114.4
105.0;sort;1.6;151.2
110.0;sort;2.4;149.60000000000002
115.0;sort;3.2;99.2
120.0;sort;3.2;67.13
125.0;sort;6.4;212.0
130.0;sort;2.4000000000000004;229.60000000000002
135.0;sort;6.4;222.39999999999998
140.0;sort;7.199999999999999;68.8
145.0;sort;8.0;41.6
0.0;SQL-join;2649.6;76.8
5.0;SQL-join;331.2;51.2
6.0;SQL-join;4672.0;5358.4
10.0;SQL-join;16673.6;882.4
15.0;SQL-join;14816.8;98.4
20.0;SQL-join;502.4;92.8
21.0;SQL-join;459.2;240.0
25.0;SQL-join;939.2;466.27
26.0;SQL-join;996.8;64.0
30.0;SQL-join;249.6;1158.4
31.0;SQL-join;28.8;224.0
35.0;SQL-join;67.17;134.975
41.0;SQL-join;28.8;5043.2
