timeline;application;rxkB/s;txkB/s
0.0;wordcount;67.565;46.91
5.0;wordcount;34.36;31.119999999999997
10.0;wordcount;46.465;30.415
15.0;wordcount;40.01;27.08
20.0;wordcount;33.105;26.265
25.0;wordcount;49.760000000000005;72.80000000000001
30.0;wordcount;28.270000000000003;23.215
35.0;wordcount;36.835;23.509999999999998
40.0;wordcount;41.8;37.68
45.0;wordcount;67.745;151.01
50.0;wordcount;80.09;112.81
55.0;wordcount;43.955;41.645
60.0;wordcount;29.395;22.585
65.0;wordcount;38.89;19.28
70.0;wordcount;24.865000000000002;16.755000000000003
75.0;wordcount;33.895;16.565
80.0;wordcount;28.759999999999998;21.96
85.0;wordcount;37.785;27.205
90.0;wordcount;29.299999999999997;28.365
95.0;wordcount;31.48;22.854999999999997
100.0;wordcount;31.310000000000002;21.965
105.0;wordcount;36.855000000000004;37.435
110.0;wordcount;35.16;29.615000000000002
115.0;wordcount;37.555;22.939999999999998
120.0;wordcount;30.155;34.205
125.0;wordcount;34.17;23.58
130.0;wordcount;40.875;32.46
135.0;wordcount;30.47;29.525
140.0;wordcount;47.45;44.565
145.0;wordcount;45.67;44.215
150.0;wordcount;63.9;66.475
155.0;wordcount;67.88;78.485
160.0;wordcount;41.980000000000004;50.125
165.0;wordcount;38.015;35.135
170.0;wordcount;32.53;31.785
175.0;wordcount;39.230000000000004;34.125
180.0;wordcount;34.334999999999994;29.3
185.0;wordcount;32.515;24.665
190.0;wordcount;32.29;26.255000000000003
195.0;wordcount;25.115000000000002;22.759999999999998
200.0;wordcount;26.259999999999998;26.225
205.0;wordcount;46.525;45.595
210.0;wordcount;38.65;36.71
215.0;wordcount;40.985;38.97
220.0;wordcount;28.735;24.655
225.0;wordcount;30.560000000000002;28.22
230.0;wordcount;26.36;22.865000000000002
235.0;wordcount;34.68;34.58
240.0;wordcount;38.185;30.25
245.0;wordcount;40.265;38.135000000000005
250.0;wordcount;44.365;29.23
255.0;wordcount;38.230000000000004;31.064999999999998
260.0;wordcount;37.41;23.405
265.0;wordcount;44.74;38.349999999999994
270.0;wordcount;42.19;30.415
275.0;wordcount;59.295;34.205
280.0;wordcount;33.875;28.57
285.0;wordcount;30.045;32.76
290.0;wordcount;35.195;32.0
295.0;wordcount;53.715;48.395
300.0;wordcount;54.58;64.705
305.0;wordcount;49.394999999999996;51.22
310.0;wordcount;61.975;48.125
315.0;wordcount;51.55;55.89
320.0;wordcount;38.865;44.519999999999996
325.0;wordcount;40.94;42.635
330.0;wordcount;42.265;42.265
335.0;wordcount;45.629999999999995;58.6
340.0;wordcount;58.905;50.57
0.0;sort;59.72;43.045
5.0;sort;36.285;27.275
10.0;sort;44.16;47.035
15.0;sort;40.275;23.535
20.0;sort;35.92;22.21
25.0;sort;49.144999999999996;49.815
30.0;sort;29.915;23.615000000000002
35.0;sort;37.045;26.835
40.0;sort;47.2;34.9
45.0;sort;54.375;59.115
50.0;sort;69.465;84.99000000000001
55.0;sort;43.540000000000006;23.705
60.0;sort;30.625;22.705
65.0;sort;36.84;19.595
70.0;sort;36.84;34.665000000000006
75.0;sort;43.415;33.555
80.0;sort;37.165000000000006;37.620000000000005
85.0;sort;66.57;91.07499999999999
90.0;sort;63.61;83.06
95.0;sort;45.510000000000005;49.114999999999995
100.0;sort;37.230000000000004;36.83
105.0;sort;35.894999999999996;31.869999999999997
110.0;sort;27.045;25.445
115.0;sort;34.31;39.155
120.0;sort;51.675;50.705
125.0;sort;60.045;63.94499999999999
130.0;sort;36.705;49.095
135.0;sort;40.875;38.765
140.0;sort;46.24;33.935
145.0;sort;41.565;38.290000000000006
150.0;sort;46.845;58.015
155.0;sort;80.255;84.525
160.0;sort;61.21;77.83500000000001
165.0;sort;60.615;42.22
170.0;sort;39.465;41.765
175.0;sort;46.105000000000004;34.894999999999996
180.0;sort;43.585;39.41
185.0;sort;45.815;46.28
190.0;sort;60.16;83.33
195.0;sort;51.99;39.455
200.0;sort;52.790000000000006;46.905
205.0;sort;51.945;36.76
0.0;SQL-join;70.755;52.79
5.0;SQL-join;34.29;22.54
10.0;SQL-join;79.5;61.43
15.0;SQL-join;33.129999999999995;19.345
20.0;SQL-join;40.25;75.85
25.0;SQL-join;29.240000000000002;23.0
30.0;SQL-join;27.83;23.355
