timeline;application;%cpu_utilization
0.0;bayes;31.384999999999998
0.0;dfsioe;38.89
0.0;kmeans;29.980000000000004
0.0;pagerank;27.42
0.0;sort;57.09
0.0;sql-join;37.58
0.0;terasort;34.805
0.0;wordcount;18.879999999999995
5.0;bayes;33.165
5.0;dfsioe;37.655
5.0;kmeans;31.404999999999994
5.0;pagerank;30.699999999999996
5.0;sort;26.450000000000003
5.0;sql-join;38.620000000000005
5.0;terasort;23.270000000000003
5.0;wordcount;16.89
10.0;bayes;38.955
10.0;dfsioe;21.214999999999996
10.0;kmeans;23.54
10.0;pagerank;21.020000000000003
10.0;sort;20.060000000000002
10.0;sql-join;43.715
10.0;terasort;33.135000000000005
10.0;wordcount;22.25
15.0;bayes;18.465000000000003
15.0;dfsioe;24.79
15.0;kmeans;30.985
15.0;pagerank;32.535
15.0;sort;27.980000000000004
15.0;sql-join;41.879999999999995
15.0;terasort;35.599999999999994
15.0;wordcount;17.14
20.0;bayes;37.69
20.0;dfsioe;27.37
20.0;kmeans;31.855000000000004
20.0;pagerank;35.035
20.0;sort;32.3
20.0;sql-join;22.675000000000004
20.0;terasort;21.5
20.0;wordcount;19.810000000000002
25.0;dfsioe;59.855000000000004
25.0;pagerank;63.995000000000005
25.0;sort;65.06
25.0;sql-join;59.135000000000005
25.0;terasort;51.75
25.0;wordcount;64.81
30.0;dfsioe;76.505
30.0;pagerank;69.83500000000001
30.0;sort;66.44
30.0;sql-join;62.525000000000006
30.0;terasort;59.989999999999995
30.0;wordcount;74.07
35.0;dfsioe;82.035
35.0;pagerank;68.655
35.0;sort;73.81
35.0;sql-join;58.489999999999995
35.0;terasort;69.66999999999999
35.0;wordcount;72.62
40.0;dfsioe;75.725
40.0;pagerank;61.459999999999994
40.0;sort;85.58
40.0;sql-join;55.84
40.0;terasort;86.05
40.0;wordcount;71.48
45.0;dfsioe;62.24000000000001
45.0;pagerank;64.795
45.0;sort;91.68
45.0;sql-join;35.53
45.0;terasort;81.275
45.0;wordcount;32.370000000000005
50.0;dfsioe;70.595
50.0;pagerank;50.425
50.0;sort;90.03
50.0;sql-join;69.41
50.0;terasort;53.89
50.0;wordcount;26.92
55.0;dfsioe;62.89
55.0;pagerank;28.915
55.0;sort;61.16
55.0;sql-join;93.51
55.0;terasort;30.200000000000003
55.0;wordcount;16.17
56.0;terasort;94.54
60.0;dfsioe;72.105
60.0;pagerank;41.445
60.0;sort;37.45
60.0;terasort;25.849999999999994
60.0;wordcount;22.870000000000005
61.0;terasort;35.25
65.0;dfsioe;58.620000000000005
65.0;pagerank;48.885000000000005
65.0;sort;18.239999999999995
65.0;terasort;29.03
65.0;wordcount;20.049999999999997
66.0;terasort;12.560000000000002
70.0;dfsioe;61.815
70.0;pagerank;23.555
70.0;sort;26.03
70.0;terasort;16.47
70.0;wordcount;20.849999999999994
75.0;dfsioe;36.4
75.0;pagerank;18.225
75.0;sort;33.519999999999996
75.0;terasort;20.300000000000004
75.0;wordcount;33.959999999999994
80.0;dfsioe;17.314999999999998
80.0;pagerank;36.795
80.0;sort;26.25
80.0;terasort;27.195
80.0;wordcount;20.25
85.0;dfsioe;18.740000000000002
85.0;pagerank;38.379999999999995
85.0;sort;27.510000000000005
85.0;terasort;37.53
85.0;wordcount;15.25
90.0;dfsioe;23.724999999999994
90.0;pagerank;38.165
90.0;sort;32.55
90.0;terasort;38.495
90.0;wordcount;30.200000000000003
95.0;dfsioe;44.29
95.0;pagerank;41.370000000000005
95.0;sort;25.36
95.0;terasort;37.68
95.0;wordcount;48.08
100.0;dfsioe;44.315
100.0;pagerank;24.525000000000006
100.0;sort;26.760000000000005
100.0;terasort;27.805
100.0;wordcount;54.96
105.0;dfsioe;34.725
105.0;pagerank;26.625
105.0;sort;25.11
105.0;terasort;12.629999999999995
105.0;wordcount;37.4
106.0;terasort;12.450000000000003
110.0;dfsioe;21.994999999999997
110.0;pagerank;21.924999999999997
110.0;sort;21.61
110.0;terasort;29.959999999999994
110.0;wordcount;43.37
111.0;terasort;25.799999999999997
115.0;dfsioe;19.010000000000005
115.0;pagerank;32.485
115.0;sort;18.959999999999994
115.0;terasort;19.83
115.0;wordcount;11.439999999999998
116.0;terasort;28.590000000000003
120.0;dfsioe;19.365000000000002
120.0;pagerank;35.135000000000005
120.0;sort;29.879999999999995
120.0;terasort;23.97
120.0;wordcount;20.14
121.0;terasort;23.319999999999993
125.0;dfsioe;23.294999999999995
125.0;pagerank;35.19
125.0;sort;27.75
125.0;terasort;21.680000000000007
125.0;wordcount;28.159999999999997
126.0;terasort;14.379999999999995
130.0;dfsioe;35.595
130.0;pagerank;21.120000000000005
130.0;sort;29.310000000000002
130.0;terasort;14.980000000000004
130.0;wordcount;31.17
131.0;terasort;9.909999999999997
135.0;dfsioe;40.120000000000005
135.0;pagerank;18.1
135.0;sort;25.945
135.0;terasort;32.84
135.0;wordcount;41.62
136.0;terasort;9.010000000000005
140.0;dfsioe;36.545
140.0;pagerank;23.54
140.0;sort;29.67
140.0;terasort;29.150000000000006
140.0;wordcount;33.91
141.0;terasort;24.47
145.0;dfsioe;27.545
145.0;pagerank;30.830000000000005
145.0;sort;13.049999999999997
145.0;terasort;35.459999999999994
145.0;wordcount;22.980000000000004
146.0;terasort;29.5
150.0;dfsioe;27.314999999999998
150.0;pagerank;24.22
150.0;sort;25.555
150.0;terasort;53.52
150.0;wordcount;23.799999999999997
151.0;terasort;29.099999999999994
155.0;dfsioe;30.36
155.0;pagerank;21.754999999999995
155.0;terasort;27.430000000000007
155.0;wordcount;27.049999999999997
156.0;terasort;18.75
160.0;dfsioe;46.825
160.0;pagerank;19.125
160.0;terasort;28.810000000000002
160.0;wordcount;17.090000000000003
161.0;terasort;19.659999999999997
165.0;dfsioe;49.545
165.0;pagerank;14.494999999999997
165.0;terasort;16.53
165.0;wordcount;27.269999999999996
166.0;terasort;9.530000000000001
170.0;dfsioe;35.245
170.0;pagerank;24.985
170.0;terasort;18.980000000000004
170.0;wordcount;48.78
171.0;terasort;14.049999999999997
175.0;dfsioe;24.145000000000003
175.0;pagerank;35.12
175.0;terasort;29.090000000000003
175.0;wordcount;32.28
176.0;terasort;29.739999999999995
180.0;dfsioe;19.365000000000002
180.0;pagerank;30.820000000000004
180.0;terasort;24.060000000000002
180.0;wordcount;31.25
181.0;terasort;28.75
185.0;dfsioe;19.11
185.0;pagerank;28.214999999999996
185.0;terasort;27.989999999999995
185.0;wordcount;29.700000000000003
186.0;terasort;20.959999999999994
190.0;dfsioe;25.464999999999996
190.0;pagerank;25.190000000000005
190.0;terasort;28.209999999999994
190.0;wordcount;15.780000000000001
191.0;terasort;15.239999999999995
195.0;dfsioe;29.279999999999998
195.0;pagerank;19.055
195.0;terasort;31.67
195.0;wordcount;16.590000000000003
196.0;terasort;11.0
200.0;dfsioe;27.769999999999996
200.0;pagerank;20.765
200.0;terasort;26.47
200.0;wordcount;29.959999999999994
201.0;terasort;7.549999999999997
205.0;dfsioe;24.65
205.0;pagerank;21.759999999999998
205.0;terasort;28.39
205.0;wordcount;31.689999999999998
206.0;terasort;27.689999999999998
210.0;dfsioe;22.529999999999994
210.0;pagerank;22.394999999999996
210.0;terasort;17.510000000000005
210.0;wordcount;26.590000000000003
211.0;terasort;28.459999999999994
215.0;dfsioe;31.120000000000005
215.0;pagerank;28.845
215.0;terasort;25.180000000000007
215.0;wordcount;17.33
216.0;terasort;31.200000000000003
220.0;dfsioe;27.259999999999998
220.0;pagerank;25.424999999999997
220.0;terasort;23.189999999999998
220.0;wordcount;15.350000000000001
221.0;terasort;10.829999999999998
221.0;wordcount;69.27
225.0;dfsioe;30.9
225.0;pagerank;26.064999999999998
225.0;terasort;13.769999999999996
225.0;wordcount;19.755000000000003
226.0;terasort;10.260000000000005
226.0;wordcount;80.37
230.0;dfsioe;31.415
230.0;pagerank;26.284999999999997
230.0;terasort;22.78
230.0;wordcount;41.85000000000001
231.0;terasort;26.060000000000002
231.0;wordcount;64.77000000000001
235.0;dfsioe;27.615000000000002
235.0;pagerank;21.534999999999997
235.0;terasort;22.67
235.0;wordcount;42.260000000000005
236.0;terasort;18.39
236.0;wordcount;47.2
240.0;dfsioe;17.015
240.0;pagerank;24.705
240.0;terasort;32.22
240.0;wordcount;33.78
241.0;terasort;28.939999999999998
241.0;wordcount;30.83
245.0;dfsioe;13.105000000000004
245.0;pagerank;27.785000000000004
245.0;terasort;33.83
245.0;wordcount;23.435000000000002
246.0;terasort;29.22
246.0;wordcount;19.89
250.0;dfsioe;21.880000000000003
250.0;pagerank;21.585
250.0;terasort;31.53
250.0;wordcount;16.665
251.0;terasort;24.400000000000006
251.0;wordcount;11.120000000000005
255.0;dfsioe;22.22
255.0;pagerank;20.665
255.0;terasort;22.439999999999998
255.0;wordcount;10.11
256.0;terasort;22.5
256.0;wordcount;12.739999999999995
260.0;dfsioe;40.475
260.0;pagerank;13.269999999999996
260.0;terasort;35.849999999999994
260.0;wordcount;25.400000000000006
261.0;terasort;30.379999999999995
261.0;wordcount;9.464999999999996
265.0;dfsioe;29.810000000000002
265.0;pagerank;27.434999999999995
265.0;terasort;29.099999999999994
265.0;wordcount;23.680000000000007
266.0;terasort;35.42
266.0;wordcount;52.53
270.0;dfsioe;21.945
270.0;pagerank;29.724999999999994
270.0;terasort;68.92
270.0;wordcount;23.180000000000007
271.0;wordcount;60.33
275.0;dfsioe;16.835
275.0;pagerank;27.915
275.0;terasort;41.19
275.0;wordcount;44.63
276.0;wordcount;34.015
280.0;dfsioe;17.229999999999997
280.0;pagerank;34.58
280.0;wordcount;24.67
281.0;wordcount;13.879999999999995
285.0;dfsioe;24.585
285.0;pagerank;45.095
285.0;wordcount;23.42
286.0;wordcount;9.335
290.0;dfsioe;31.715000000000003
290.0;pagerank;13.684999999999995
290.0;wordcount;20.239999999999995
291.0;wordcount;8.630000000000003
295.0;dfsioe;30.759999999999998
295.0;pagerank;27.964999999999996
295.0;wordcount;43.06
296.0;wordcount;16.385000000000005
300.0;dfsioe;29.525
300.0;pagerank;19.575000000000003
300.0;wordcount;14.189999999999998
301.0;wordcount;31.464999999999996
305.0;dfsioe;12.150000000000006
305.0;pagerank;37.605000000000004
305.0;wordcount;14.599999999999994
306.0;wordcount;30.199999999999996
310.0;dfsioe;15.785000000000004
310.0;pagerank;31.185000000000002
310.0;wordcount;10.760000000000005
311.0;wordcount;16.435000000000002
315.0;dfsioe;23.36
315.0;pagerank;26.825000000000003
315.0;wordcount;17.459999999999994
316.0;wordcount;9.619999999999997
320.0;dfsioe;23.504999999999995
320.0;pagerank;22.46
320.0;wordcount;28.680000000000007
321.0;wordcount;10.934999999999995
325.0;dfsioe;33.585
325.0;pagerank;32.18000000000001
325.0;wordcount;33.709999999999994
326.0;wordcount;11.854999999999997
330.0;dfsioe;40.105000000000004
330.0;pagerank;31.68
330.0;wordcount;20.989999999999995
331.0;wordcount;27.15
335.0;dfsioe;25.78
335.0;pagerank;10.945
335.0;wordcount;28.010000000000005
336.0;wordcount;40.21
340.0;dfsioe;42.73
340.0;pagerank;25.78
340.0;wordcount;15.350000000000001
341.0;wordcount;28.154999999999998
345.0;dfsioe;42.665
345.0;pagerank;35.945
345.0;wordcount;14.355000000000004
346.0;wordcount;17.57
350.0;dfsioe;34.075
350.0;pagerank;47.105000000000004
350.0;wordcount;30.78
351.0;wordcount;8.264999999999993
355.0;dfsioe;32.105
355.0;pagerank;56.59
355.0;wordcount;43.935
356.0;wordcount;9.410000000000004
360.0;dfsioe;37.99
360.0;pagerank;50.980000000000004
360.0;wordcount;43.815
361.0;wordcount;26.694999999999993
365.0;dfsioe;22.92
365.0;pagerank;30.72
365.0;wordcount;31.55
366.0;wordcount;35.89
370.0;dfsioe;14.744999999999997
370.0;pagerank;18.299999999999997
370.0;wordcount;22.685000000000002
371.0;wordcount;74.27
375.0;dfsioe;21.305
375.0;pagerank;28.064999999999998
375.0;wordcount;9.239999999999995
376.0;wordcount;23.400000000000006
380.0;dfsioe;20.28
380.0;pagerank;31.32
380.0;wordcount;13.299999999999997
381.0;wordcount;36.17
385.0;dfsioe;26.5
385.0;pagerank;19.18
385.0;wordcount;40.07
386.0;wordcount;17.430000000000007
390.0;dfsioe;31.68
390.0;pagerank;20.75
390.0;wordcount;54.41
391.0;wordcount;8.560000000000002
395.0;dfsioe;30.339999999999996
395.0;pagerank;29.034999999999997
395.0;wordcount;31.42
400.0;dfsioe;22.059999999999995
400.0;pagerank;25.714999999999996
400.0;wordcount;21.680000000000007
405.0;dfsioe;26.880000000000003
405.0;pagerank;39.065
405.0;wordcount;37.21
410.0;dfsioe;21.155
410.0;pagerank;33.325
410.0;wordcount;18.540000000000006
415.0;dfsioe;20.485
415.0;pagerank;34.04
415.0;wordcount;27.709999999999994
420.0;dfsioe;32.045
420.0;pagerank;25.22
420.0;wordcount;68.86
425.0;dfsioe;30.869999999999997
425.0;pagerank;29.35
430.0;dfsioe;27.905
430.0;pagerank;22.505000000000003
435.0;dfsioe;22.769999999999996
435.0;pagerank;29.025
440.0;dfsioe;29.435000000000002
440.0;pagerank;31.134999999999998
445.0;dfsioe;22.57
445.0;pagerank;30.200000000000003
450.0;dfsioe;23.325000000000003
450.0;pagerank;21.025000000000006
455.0;dfsioe;48.32
455.0;pagerank;14.784999999999997
460.0;dfsioe;45.129999999999995
460.0;pagerank;16.474999999999994
465.0;dfsioe;17.75
465.0;pagerank;19.235
470.0;dfsioe;33.040000000000006
470.0;pagerank;28.695
475.0;dfsioe;27.439999999999998
475.0;pagerank;23.239999999999995
480.0;dfsioe;20.625
480.0;pagerank;27.394999999999996
485.0;dfsioe;24.229999999999997
485.0;pagerank;17.895000000000003
490.0;dfsioe;30.485
490.0;pagerank;23.685000000000002
495.0;dfsioe;24.615000000000002
495.0;pagerank;22.775
500.0;dfsioe;15.75
500.0;pagerank;28.555
505.0;dfsioe;29.585
505.0;pagerank;32.995000000000005
510.0;dfsioe;25.6
510.0;pagerank;21.884999999999998
515.0;dfsioe;56.175
515.0;pagerank;17.940000000000005
520.0;dfsioe;81.96
520.0;pagerank;19.22
525.0;dfsioe;48.41
525.0;pagerank;22.89
530.0;dfsioe;34.864999999999995
530.0;pagerank;34.894999999999996
535.0;dfsioe;44.855000000000004
535.0;pagerank;31.0
540.0;dfsioe;49.510000000000005
540.0;pagerank;38.59
545.0;dfsioe;57.5
545.0;pagerank;14.190000000000005
550.0;dfsioe;71.675
550.0;pagerank;17.230000000000004
555.0;dfsioe;65.31
555.0;pagerank;11.300000000000004
560.0;dfsioe;63.47
560.0;pagerank;13.855000000000004
565.0;dfsioe;47.7
565.0;pagerank;27.865000000000002
570.0;dfsioe;54.980000000000004
570.0;pagerank;36.025000000000006
575.0;dfsioe;40.555
575.0;pagerank;22.480000000000004
580.0;dfsioe;43.025000000000006
580.0;pagerank;24.049999999999997
585.0;dfsioe;47.06
585.0;pagerank;24.230000000000004
586.0;dfsioe;66.53
590.0;dfsioe;44.07
590.0;pagerank;19.43
591.0;dfsioe;71.78999999999999
595.0;dfsioe;22.61
595.0;pagerank;25.65
596.0;dfsioe;66.0
600.0;dfsioe;19.590000000000003
600.0;pagerank;29.669999999999995
601.0;dfsioe;34.67
605.0;dfsioe;12.670000000000002
605.0;pagerank;33.55
606.0;dfsioe;35.06999999999999
610.0;dfsioe;19.989999999999995
610.0;pagerank;12.625
611.0;dfsioe;34.400000000000006
615.0;dfsioe;35.84
615.0;pagerank;18.97
616.0;dfsioe;15.459999999999994
620.0;dfsioe;32.17
620.0;pagerank;21.875
621.0;dfsioe;33.790000000000006
625.0;dfsioe;13.86
625.0;pagerank;23.445
626.0;dfsioe;34.099999999999994
630.0;dfsioe;31.53
630.0;pagerank;37.05499999999999
631.0;dfsioe;25.480000000000004
635.0;dfsioe;31.39
635.0;pagerank;44.425
636.0;dfsioe;13.39
640.0;dfsioe;19.819999999999993
640.0;pagerank;34.195
641.0;dfsioe;17.010000000000005
645.0;dfsioe;41.51
645.0;pagerank;35.965
646.0;dfsioe;9.030000000000001
650.0;dfsioe;35.03
650.0;pagerank;28.669999999999995
651.0;dfsioe;30.47
655.0;dfsioe;28.17
655.0;pagerank;23.335
656.0;dfsioe;33.89
660.0;dfsioe;17.840000000000003
660.0;pagerank;43.5
661.0;dfsioe;23.439999999999998
665.0;dfsioe;16.290000000000006
665.0;pagerank;45.59
666.0;dfsioe;10.170000000000002
670.0;dfsioe;11.790000000000006
670.0;pagerank;29.735
671.0;dfsioe;21.019999999999996
675.0;dfsioe;20.799999999999997
675.0;pagerank;20.479999999999997
676.0;dfsioe;9.75
680.0;dfsioe;23.189999999999998
680.0;pagerank;19.019999999999996
681.0;dfsioe;22.909999999999997
685.0;dfsioe;30.400000000000006
685.0;pagerank;20.835
686.0;dfsioe;66.25999999999999
690.0;dfsioe;25.549999999999997
690.0;pagerank;29.120000000000005
691.0;dfsioe;80.09
695.0;dfsioe;17.89
695.0;pagerank;40.339999999999996
696.0;dfsioe;21.47
700.0;dfsioe;34.55
700.0;pagerank;29.700000000000003
701.0;dfsioe;22.980000000000004
705.0;dfsioe;52.77
705.0;pagerank;36.16
706.0;dfsioe;15.760000000000005
710.0;dfsioe;24.989999999999995
710.0;pagerank;39.285
711.0;dfsioe;11.739999999999995
715.0;dfsioe;30.569999999999993
715.0;pagerank;29.75
716.0;dfsioe;37.04
720.0;dfsioe;28.180000000000007
720.0;pagerank;27.16
721.0;dfsioe;38.59
725.0;dfsioe;20.25
725.0;pagerank;33.044999999999995
726.0;dfsioe;33.0
730.0;dfsioe;24.0
730.0;pagerank;32.03
731.0;dfsioe;24.950000000000003
735.0;dfsioe;28.099999999999994
735.0;pagerank;32.775
736.0;dfsioe;32.93000000000001
740.0;dfsioe;22.239999999999995
740.0;pagerank;13.339999999999996
741.0;dfsioe;42.82
745.0;dfsioe;28.120000000000005
745.0;pagerank;14.190000000000005
746.0;dfsioe;34.33
750.0;dfsioe;28.599999999999994
750.0;pagerank;13.96
751.0;dfsioe;28.569999999999993
755.0;dfsioe;15.530000000000001
755.0;pagerank;18.935000000000002
756.0;dfsioe;59.17
760.0;dfsioe;23.870000000000005
760.0;pagerank;38.175
761.0;dfsioe;69.5
765.0;dfsioe;34.05
765.0;pagerank;35.055
766.0;dfsioe;73.78
770.0;dfsioe;36.72
770.0;pagerank;25.514999999999993
771.0;dfsioe;30.790000000000006
775.0;dfsioe;18.700000000000003
775.0;pagerank;24.709999999999997
776.0;dfsioe;35.730000000000004
780.0;dfsioe;29.22
780.0;pagerank;19.585
781.0;dfsioe;29.629999999999995
785.0;dfsioe;25.22
785.0;pagerank;20.025
786.0;dfsioe;44.73
790.0;dfsioe;20.180000000000007
790.0;pagerank;30.449999999999996
791.0;dfsioe;31.58
795.0;dfsioe;17.33
795.0;pagerank;30.125
796.0;dfsioe;9.719999999999999
800.0;dfsioe;24.349999999999994
800.0;pagerank;23.835
801.0;dfsioe;15.379999999999995
805.0;dfsioe;28.700000000000003
805.0;pagerank;16.424999999999997
806.0;dfsioe;23.409999999999997
810.0;dfsioe;28.78
810.0;pagerank;16.190000000000005
811.0;dfsioe;76.23
815.0;dfsioe;52.53
815.0;pagerank;19.18
816.0;dfsioe;94.0
820.0;dfsioe;41.33
820.0;pagerank;23.825000000000003
821.0;dfsioe;89.76
825.0;dfsioe;13.920000000000002
825.0;pagerank;38.325
826.0;dfsioe;36.31
830.0;dfsioe;30.03
830.0;pagerank;30.505000000000003
831.0;dfsioe;16.209999999999994
835.0;dfsioe;27.239999999999995
835.0;pagerank;23.740000000000002
836.0;dfsioe;12.75
840.0;dfsioe;25.83
840.0;pagerank;13.07
841.0;dfsioe;13.0
845.0;dfsioe;27.599999999999994
845.0;pagerank;22.035000000000004
846.0;dfsioe;26.200000000000003
850.0;dfsioe;20.939999999999998
850.0;pagerank;14.89
851.0;dfsioe;29.0
855.0;dfsioe;12.159999999999997
855.0;pagerank;30.569999999999993
856.0;dfsioe;33.69
860.0;dfsioe;28.75
860.0;pagerank;27.459999999999994
861.0;dfsioe;28.290000000000006
865.0;dfsioe;21.490000000000002
865.0;pagerank;21.67
866.0;dfsioe;45.41
870.0;dfsioe;25.744999999999997
870.0;pagerank;16.400000000000006
871.0;dfsioe;53.33
875.0;dfsioe;41.285
875.0;pagerank;21.790000000000006
876.0;dfsioe;14.200000000000003
880.0;dfsioe;24.205000000000002
880.0;pagerank;18.510000000000005
881.0;dfsioe;29.209999999999994
885.0;dfsioe;48.62
885.0;pagerank;33.760000000000005
886.0;dfsioe;28.97
890.0;dfsioe;78.95
890.0;pagerank;31.370000000000005
891.0;dfsioe;13.290000000000006
895.0;dfsioe;87.11
895.0;pagerank;54.22
896.0;dfsioe;16.299999999999997
900.0;dfsioe;76.42
900.0;pagerank;27.620000000000005
901.0;dfsioe;10.939999999999998
905.0;pagerank;32.22
906.0;dfsioe;13.099999999999994
910.0;pagerank;23.335
915.0;pagerank;12.239999999999995
920.0;pagerank;25.144999999999996
925.0;pagerank;34.06
930.0;pagerank;34.65
