timeline;application;bread/s;bwrtn/s
0.0;bayes;17568.165;38.4
0.0;dfsioe;1944.8000000000002;48.0
0.0;kmeans;1309.6;306.4
0.0;pagerank;935.2;125.6
0.0;sort;254.4;84.8
0.0;sql-join;348.0;742.4000000000001
0.0;terasort;20.78;138.39999999999998
0.0;wordcount;14.4;158.4
5.0;bayes;15060.0;138.4
5.0;dfsioe;24.0;3912.8
5.0;kmeans;234.4;105.6
5.0;pagerank;66.4;121.6
5.0;sort;70.4;198.4
5.0;sql-join;382.4;160.0
5.0;terasort;24.755;138.4
5.0;wordcount;16.0;107.2
10.0;bayes;5304.0;101.6
10.0;dfsioe;20.8;97.6
10.0;kmeans;426.4;53.6
10.0;pagerank;83.12;311.03
10.0;sort;20.8;108.8
10.0;sql-join;224.8;350.4
10.0;terasort;6.385;44.75
10.0;wordcount;91.2;99.2
15.0;bayes;10013.6;105.6
15.0;dfsioe;30.4;88.0
15.0;kmeans;159.2;68.0
15.0;pagerank;184.0;2473.6
15.0;sort;20.8;54.4
15.0;sql-join;51.2;65.6
15.0;terasort;13.600000000000001;103.19999999999999
15.0;wordcount;105.6;136.0
20.0;bayes;3472.8;110.4
20.0;dfsioe;43.965;60.8
20.0;kmeans;169.60000000000002;283.2
20.0;pagerank;78.4;100.80000000000001
20.0;sort;118.4;217.6
20.0;sql-join;321.6;66.4
20.0;terasort;34.355000000000004;398.4
20.0;wordcount;16.0;52.8
25.0;dfsioe;260.8;317.6
25.0;pagerank;71.2;47.2
25.0;sort;22.4;129.6
25.0;sql-join;164.61;62.33
25.0;terasort;28.0;46.345
25.0;wordcount;89.6;308.8
30.0;dfsioe;381.865;125.485
30.0;pagerank;68.0;366.4
30.0;sort;72.0;475.2
30.0;sql-join;7957.599999999999;208.0
30.0;terasort;12.0;188.8
30.0;wordcount;31.94;246.4
35.0;dfsioe;112.0;283.2
35.0;pagerank;242.185;308.65
35.0;sort;43.2;44.8
35.0;sql-join;15391.865;96.0
35.0;terasort;8.0;518.4
35.0;wordcount;41.6;60.8
40.0;dfsioe;60.754999999999995;348.0
40.0;pagerank;198.4;269.6
40.0;sort;60.8;172.8
40.0;sql-join;10955.2;455.2
40.0;terasort;28.8;195.61
40.0;wordcount;36.8;152.0
45.0;dfsioe;4708.225;831.12
45.0;pagerank;209.6;160.8
45.0;sort;31.94;97.41
45.0;sql-join;366.4;68.0
45.0;terasort;14.375;53.599999999999994
45.0;wordcount;81.44;128.0
50.0;dfsioe;3461.6000000000004;40253.695
50.0;pagerank;103.2;333.6
50.0;sort;19.16;433.6
50.0;sql-join;336.0;62.4
50.0;terasort;17.585;252.0
50.0;wordcount;36.8;156.8
55.0;dfsioe;1474.4;47218.4
55.0;pagerank;46.335;318.4
55.0;sort;126.4;262.4
55.0;sql-join;76.8;4948.8
55.0;terasort;38.4;507.2
55.0;wordcount;19.2;128.0
56.0;terasort;137.6;246.4
60.0;dfsioe;796.0;12298.415
60.0;pagerank;83.075;259.815
60.0;sort;67.2;108.8
60.0;terasort;112.0;281.6
60.0;wordcount;43.2;137.6
61.0;terasort;12.8;867.2
65.0;dfsioe;126.39999999999999;10229.599999999999
65.0;pagerank;85.6;296.0
65.0;sort;57.6;587.2
65.0;terasort;14.4;152.0
65.0;wordcount;20.8;304.0
66.0;terasort;46.4;118.4
70.0;dfsioe;704.36;1728.0
70.0;pagerank;129.60000000000002;396.8
70.0;sort;22.4;553.6
70.0;terasort;4.8;484.8
70.0;wordcount;28.8;443.2
75.0;dfsioe;640.8;1563.2
75.0;pagerank;59.2;358.4
75.0;sort;57.6;424.0
75.0;terasort;50.345;397.6
75.0;wordcount;22.4;144.0
80.0;dfsioe;43.2;740.0
80.0;pagerank;234.4;298.255
80.0;sort;132.8;209.6
80.0;terasort;16.0;180.0
80.0;wordcount;27.2;70.4
85.0;dfsioe;39.2;3654.4
85.0;pagerank;144.8;136.8
85.0;sort;64.0;86.23
85.0;terasort;71.2;67.135
85.0;wordcount;56.0;72.0
90.0;dfsioe;109.6;145.6
90.0;pagerank;99.055;147.845
90.0;sort;89.6;131.2
90.0;terasort;16.0;496.8
90.0;wordcount;56.0;60.8
95.0;dfsioe;300.0;2184.0
95.0;pagerank;96.8;112.8
95.0;sort;116.57;62.28
95.0;terasort;36.0;126.4
95.0;wordcount;59.2;51.2
100.0;dfsioe;184.8;1348.8
100.0;pagerank;91.075;112.66999999999999
100.0;sort;24.0;224.0
100.0;terasort;9.585;157.39
100.0;wordcount;24.0;99.2
105.0;dfsioe;583.2;302.4
105.0;pagerank;93.6;433.6
105.0;sort;22.4;233.6
105.0;terasort;3.19;132.8
105.0;wordcount;14.4;244.8
106.0;terasort;11.2;132.8
110.0;dfsioe;298.4;2004.0
110.0;pagerank;132.0;174.4
110.0;sort;23.95;143.71
110.0;terasort;0.0;78.4
110.0;wordcount;40.0;246.4
111.0;terasort;40.0;27.2
115.0;dfsioe;80.80000000000001;367.20000000000005
115.0;pagerank;28.0;47.2
115.0;sort;12.8;134.4
115.0;terasort;14.4;52.8
115.0;wordcount;16.0;81.6
116.0;terasort;11.2;41.6
120.0;dfsioe;47.2;1799.2
120.0;pagerank;68.0;99.09
120.0;sort;46.4;102.4
120.0;terasort;16.0;33.6
120.0;wordcount;9.6;65.47
121.0;terasort;20.8;726.4
125.0;dfsioe;28.799999999999997;130.4
125.0;pagerank;120.0;79.19999999999999
125.0;sort;115.2;28.8
125.0;terasort;4.8;121.6
125.0;wordcount;25.6;67.2
126.0;terasort;20.8;48.0
130.0;dfsioe;35.2;99.2
130.0;pagerank;33.56;504.0
130.0;sort;11.2;140.8
130.0;terasort;11.2;185.6
130.0;wordcount;51.2;140.8
131.0;terasort;4.8;46.4
135.0;dfsioe;153.6;144.8
135.0;pagerank;57.6;364.8
135.0;sort;32.0;78.4
135.0;terasort;56.0;358.4
135.0;wordcount;32.0;440.0
