timeline;application;%memused
0.0;bayes;70.175
0.0;dfsioe;87.505
0.0;kmeans;84.325
0.0;pagerank;85.41999999999999
0.0;sort;88.05
0.0;sql-join;85.75999999999999
0.0;terasort;90.37
0.0;wordcount;89.24
5.0;bayes;70.56
5.0;dfsioe;87.465
5.0;kmeans;84.305
5.0;pagerank;85.65
5.0;sort;88.11
5.0;sql-join;85.24000000000001
5.0;terasort;90.58500000000001
5.0;wordcount;89.3
10.0;bayes;71.76
10.0;dfsioe;87.605
10.0;kmeans;84.42500000000001
10.0;pagerank;85.44
10.0;sort;88.16
10.0;sql-join;85.81
10.0;terasort;90.6
10.0;wordcount;89.33
15.0;bayes;71.11
15.0;dfsioe;87.72999999999999
15.0;kmeans;84.535
15.0;pagerank;85.495
15.0;sort;88.28
15.0;sql-join;85.95500000000001
15.0;terasort;90.5
15.0;wordcount;89.39
20.0;bayes;71.175
20.0;dfsioe;87.77
20.0;kmeans;84.595
20.0;pagerank;85.62
20.0;sort;88.53
20.0;sql-join;86.125
20.0;terasort;90.84
20.0;wordcount;89.51
25.0;dfsioe;89.80000000000001
25.0;pagerank;87.805
25.0;sort;90.26
25.0;sql-join;87.31
25.0;terasort;92.26
25.0;wordcount;91.25
30.0;dfsioe;89.88499999999999
30.0;pagerank;87.595
30.0;sort;90.11
30.0;sql-join;86.56
30.0;terasort;92.245
30.0;wordcount;91.39
35.0;dfsioe;89.495
35.0;pagerank;87.69
35.0;sort;89.94
35.0;sql-join;87.615
35.0;terasort;91.905
35.0;wordcount;90.92
40.0;dfsioe;89.26
40.0;pagerank;88.8
40.0;sort;90.52
40.0;sql-join;87.11500000000001
40.0;terasort;93.615
40.0;wordcount;92.2
45.0;dfsioe;93.245
45.0;pagerank;90.155
45.0;sort;92.24
45.0;sql-join;87.66499999999999
45.0;terasort;95.09
45.0;wordcount;93.17
50.0;dfsioe;96.38499999999999
50.0;pagerank;91.465
50.0;sort;92.19
50.0;sql-join;87.79
50.0;terasort;95.65
50.0;wordcount;92.76
55.0;dfsioe;97.47
55.0;pagerank;91.36500000000001
55.0;sort;92.43
55.0;sql-join;92.77
55.0;terasort;95.66
55.0;wordcount;92.84
56.0;terasort;97.73
60.0;dfsioe;98.1
60.0;pagerank;91.195
60.0;sort;91.4
60.0;terasort;95.11
60.0;wordcount;93.32
61.0;terasort;95.87
65.0;dfsioe;98.06
65.0;pagerank;90.97999999999999
65.0;sort;91.39
65.0;terasort;95.07
65.0;wordcount;92.89
66.0;terasort;95.83
70.0;dfsioe;98.03999999999999
70.0;pagerank;90.96000000000001
70.0;sort;91.9
70.0;terasort;95.345
70.0;wordcount;92.67
75.0;dfsioe;98.055
75.0;pagerank;90.955
75.0;sort;92.31
75.0;terasort;95.46000000000001
75.0;wordcount;92.62
80.0;dfsioe;98.085
80.0;pagerank;91.09
80.0;sort;91.6
80.0;terasort;95.66
80.0;wordcount;92.55
85.0;dfsioe;97.85
85.0;pagerank;91.03
85.0;sort;91.37
85.0;terasort;95.52000000000001
85.0;wordcount;92.57
90.0;dfsioe;97.83
90.0;pagerank;90.94
90.0;sort;91.36
90.0;terasort;95.54
90.0;wordcount;92.65
95.0;dfsioe;98.15
95.0;pagerank;90.88
95.0;sort;91.99
95.0;terasort;95.255
95.0;wordcount;92.84
100.0;dfsioe;97.045
100.0;pagerank;91.035
100.0;sort;91.58
100.0;terasort;95.225
100.0;wordcount;93.41
105.0;dfsioe;97.095
105.0;pagerank;90.935
105.0;sort;91.53
105.0;terasort;95.04
105.0;wordcount;92.64
106.0;terasort;95.52
110.0;dfsioe;97.345
110.0;pagerank;90.95500000000001
110.0;sort;91.53
110.0;terasort;95.11
110.0;wordcount;92.68
111.0;terasort;95.72
115.0;dfsioe;96.47
115.0;pagerank;91.14
115.0;sort;91.58
115.0;terasort;95.02
115.0;wordcount;92.7
116.0;terasort;95.66
120.0;dfsioe;96.505
120.0;pagerank;90.94
120.0;sort;91.86
120.0;terasort;94.96
120.0;wordcount;93.22
121.0;terasort;95.54
125.0;dfsioe;96.42
125.0;pagerank;91.23500000000001
125.0;sort;92.92
125.0;terasort;94.95
125.0;wordcount;93.22
126.0;terasort;95.54
130.0;dfsioe;96.5
130.0;pagerank;90.97
130.0;sort;91.61
130.0;terasort;94.95
130.0;wordcount;93.38
131.0;terasort;95.54
135.0;dfsioe;96.81
135.0;pagerank;90.96000000000001
135.0;sort;91.75
135.0;terasort;94.96
135.0;wordcount;92.77
136.0;terasort;95.64
140.0;dfsioe;96.11
140.0;pagerank;91.11
140.0;sort;92.02
140.0;terasort;95.6
140.0;wordcount;92.76
141.0;terasort;95.66
145.0;dfsioe;96.65
145.0;pagerank;91.03999999999999
145.0;sort;93.19
145.0;terasort;95.49
145.0;wordcount;92.75
146.0;terasort;95.7
150.0;dfsioe;96.405
150.0;pagerank;90.83
150.0;sort;93.70500000000001
150.0;terasort;94.96
150.0;wordcount;92.77
151.0;terasort;95.56
155.0;dfsioe;97.07
155.0;pagerank;90.82499999999999
155.0;terasort;95.93
155.0;wordcount;92.81
156.0;terasort;95.56
160.0;dfsioe;97.055
160.0;pagerank;90.935
160.0;terasort;94.98
160.0;wordcount;92.92
161.0;terasort;95.57
165.0;dfsioe;96.725
165.0;pagerank;90.935
165.0;terasort;94.97
165.0;wordcount;92.82
166.0;terasort;95.68
170.0;dfsioe;96.015
170.0;pagerank;90.975
170.0;terasort;95.12
170.0;wordcount;93.4
171.0;terasort;95.68
175.0;dfsioe;95.75999999999999
175.0;pagerank;91.14500000000001
175.0;terasort;94.97
175.0;wordcount;93.41
176.0;terasort;95.81
180.0;dfsioe;95.77000000000001
180.0;pagerank;90.895
180.0;terasort;94.98
180.0;wordcount;93.35
181.0;terasort;95.68
185.0;dfsioe;95.78
185.0;pagerank;91.025
185.0;terasort;94.98
185.0;wordcount;92.79
186.0;terasort;95.65
190.0;dfsioe;95.88499999999999
190.0;pagerank;91.065
190.0;terasort;94.98
190.0;wordcount;92.86
191.0;terasort;95.63
195.0;dfsioe;95.89
195.0;pagerank;91.11
195.0;terasort;95.01
195.0;wordcount;92.73
196.0;terasort;95.68
200.0;dfsioe;95.85499999999999
200.0;pagerank;91.175
200.0;terasort;95.15
200.0;wordcount;92.76
201.0;terasort;95.68
205.0;dfsioe;95.695
205.0;pagerank;91.19
205.0;terasort;95.3
205.0;wordcount;92.76
206.0;terasort;95.84
210.0;dfsioe;96.03999999999999
210.0;pagerank;91.14
210.0;terasort;95.68
210.0;wordcount;92.78
211.0;terasort;95.74
215.0;dfsioe;96.0
215.0;pagerank;91.1
215.0;terasort;95.02
215.0;wordcount;92.84
216.0;terasort;95.69
220.0;dfsioe;96.19
220.0;pagerank;91.22
220.0;terasort;95.02
220.0;wordcount;93.225
221.0;terasort;95.69
221.0;wordcount;94.05
225.0;dfsioe;95.82499999999999
225.0;pagerank;91.15
225.0;terasort;95.65
225.0;wordcount;93.565
226.0;terasort;95.7
226.0;wordcount;93.3
230.0;dfsioe;95.905
230.0;pagerank;91.58
230.0;terasort;95.0
230.0;wordcount;93.61
231.0;terasort;95.72
231.0;wordcount;94.94
235.0;dfsioe;95.795
235.0;pagerank;91.265
235.0;terasort;95.15
235.0;wordcount;93.285
236.0;terasort;95.87
236.0;wordcount;92.22
240.0;dfsioe;95.735
240.0;pagerank;91.17
240.0;terasort;95.505
240.0;wordcount;93.175
241.0;terasort;95.74
241.0;wordcount;92.12
245.0;dfsioe;95.71000000000001
245.0;pagerank;91.16
245.0;terasort;96.13
245.0;wordcount;93.275
246.0;terasort;95.91
246.0;wordcount;92.05
250.0;dfsioe;95.75
250.0;pagerank;91.225
250.0;terasort;95.48
250.0;wordcount;93.21000000000001
251.0;terasort;95.77
251.0;wordcount;92.06
255.0;dfsioe;95.89
255.0;pagerank;91.255
255.0;terasort;95.04
255.0;wordcount;93.245
256.0;terasort;95.85
256.0;wordcount;92.1
260.0;dfsioe;95.935
260.0;pagerank;91.27000000000001
260.0;terasort;95.04
260.0;wordcount;93.1
261.0;terasort;95.86
261.0;wordcount;92.89
265.0;dfsioe;95.885
265.0;pagerank;91.305
265.0;terasort;95.12
265.0;wordcount;92.93
266.0;terasort;95.8
266.0;wordcount;93.565
270.0;dfsioe;95.87
270.0;pagerank;91.22
270.0;terasort;95.27
270.0;wordcount;92.95
271.0;wordcount;94.16
275.0;dfsioe;96.035
275.0;pagerank;91.27
275.0;terasort;95.28
275.0;wordcount;93.14
276.0;wordcount;92.905
280.0;dfsioe;95.855
280.0;pagerank;91.735
280.0;wordcount;93.63
281.0;wordcount;92.865
285.0;dfsioe;96.42
285.0;pagerank;91.305
285.0;wordcount;93.63
286.0;wordcount;92.865
290.0;dfsioe;95.94
290.0;pagerank;91.625
290.0;wordcount;93.84
291.0;wordcount;92.875
