timeline;application;bread/s;bwrtn/s
0.0;dfsioe;3524.0;1081.6
0.0;pagerank;2865.6;255.49
0.0;terasort;90.4;114.30000000000001
5.0;dfsioe;155.2;76.0
5.0;pagerank;73.6;65.6
5.0;terasort;42.400000000000006;147.2
10.0;dfsioe;80.0;136.0
10.0;pagerank;62.4;456.0
10.0;terasort;62.4;40.8
15.0;dfsioe;93.485;268.0
15.0;pagerank;193.6;136.0
15.0;terasort;140.0;158.4
20.0;dfsioe;227.2;44.8
20.0;pagerank;153.6;43.2
20.0;terasort;24.799999999999997;291.2
25.0;dfsioe;1184.8;118.4
25.0;pagerank;185.6;49.4
25.0;terasort;114.4;166.945
30.0;dfsioe;2807.47;604.3299999999999
30.0;pagerank;846.4;192.0
30.0;terasort;108.0;146.4
35.0;dfsioe;209.6;280.8
35.0;pagerank;220.8;59.2
35.0;terasort;107.2;267.2
40.0;dfsioe;686.4000000000001;345.6
40.0;pagerank;439.12;628.8
40.0;terasort;101.6;261.94
45.0;dfsioe;436.975;494.68500000000006
45.0;pagerank;1662.4;224.0
45.0;terasort;94.215;96.0
50.0;dfsioe;5661.6;279.135
50.0;pagerank;1926.4;35.2
50.0;terasort;135.2;100.8
55.0;dfsioe;9637.6;40076.0
55.0;pagerank;246.4;379.2
55.0;terasort;112.8;347.2
60.0;dfsioe;8168.0;42017.600000000006
60.0;pagerank;278.4;44.8
60.0;terasort;497.6;228.8
65.0;dfsioe;8543.2;20619.239999999998
65.0;pagerank;217.6;305.6
65.0;terasort;108.0;168.0
70.0;dfsioe;4584.0;5153.6
70.0;pagerank;238.4;630.4
70.0;terasort;96.80000000000001;280.0
75.0;dfsioe;7145.6;976.0
75.0;pagerank;46.4;81.6
75.0;terasort;100.0;224.0
76.0;dfsioe;9820.36;31.94
80.0;dfsioe;2345.71;2633.6
80.0;pagerank;488.0;134.4
80.0;terasort;97.60000000000001;69.6
81.0;dfsioe;244.8;32.0
85.0;dfsioe;3404.8;291.2
85.0;pagerank;219.2;115.2
85.0;terasort;72.8;243.2
86.0;dfsioe;3666.27;25.55
90.0;dfsioe;537.6;76.8
90.0;pagerank;158.4;91.2
90.0;terasort;54.400000000000006;392.0
91.0;dfsioe;1593.6;25.6
95.0;dfsioe;2710.4;5700.8
95.0;pagerank;278.4;44.8
95.0;terasort;158.11;148.0
96.0;dfsioe;92.8;9705.6
100.0;dfsioe;590.4;332.8
100.0;pagerank;494.4;353.6
100.0;terasort;171.815;104.705
101.0;dfsioe;5937.6;3705.6
105.0;dfsioe;3964.8;396.8
105.0;pagerank;75.2;81.6
105.0;terasort;20.77;177.6
106.0;dfsioe;30.4;33.6
110.0;dfsioe;7776.0;283.2
110.0;pagerank;84.8;83.2
110.0;terasort;117.6;36.8
111.0;dfsioe;14683.2;4355.2
115.0;dfsioe;2921.6;4427.2
115.0;pagerank;73.6;684.8
115.0;terasort;40.0;76.8
116.0;dfsioe;2720.0;2814.4
120.0;dfsioe;2064.0;5459.2
120.0;pagerank;363.2;35.2
120.0;terasort;41.599999999999994;47.13
121.0;dfsioe;13350.4;1603.2
125.0;dfsioe;1502.4;62.28
125.0;pagerank;134.4;315.2
125.0;terasort;63.2;87.2
126.0;dfsioe;451.2;315.2
130.0;dfsioe;414.4;83.03
130.0;pagerank;78.4;46.4
130.0;terasort;84.0;547.2
131.0;dfsioe;89.6;182.4
135.0;dfsioe;7722.16;244.8
135.0;pagerank;201.6;68.8
135.0;terasort;108.72;147.10500000000002
136.0;dfsioe;609.98;485.43
140.0;dfsioe;2136.0;577.6
140.0;pagerank;195.2;30.4
140.0;terasort;237.6;104.0
141.0;dfsioe;94.4;38.4
145.0;dfsioe;3044.8;32.0
145.0;pagerank;57.6;156.8
145.0;terasort;76.0;95.19999999999999
146.0;dfsioe;132.8;35.2
150.0;dfsioe;331.2;371.2
150.0;pagerank;115.2;174.4
150.0;terasort;40.0;135.2
151.0;dfsioe;2273.6;126.4
155.0;dfsioe;190.4;180.8
155.0;pagerank;160.0;200.0
155.0;terasort;204.0;193.6
156.0;dfsioe;628.8;776.0
160.0;dfsioe;152.0;27.2
160.0;pagerank;304.0;163.2
160.0;terasort;227.2;144.0
161.0;dfsioe;9960.0;123.2
165.0;dfsioe;256.0;158.4
165.0;pagerank;172.8;75.2
165.0;terasort;191.2;118.39999999999999
166.0;dfsioe;152.0;4124.8
170.0;dfsioe;564.8;36.8
170.0;pagerank;81.6;140.8
170.0;terasort;64.0;75.2
171.0;dfsioe;652.8;2841.6
175.0;dfsioe;172.8;86.4
175.0;pagerank;248.0;252.8
175.0;terasort;84.0;188.0
