timeline;application;rxkB/s;txkB/s
0.0;dfsioe;45.692499999999995;37.6725
0.0;pagerank;51.405;47.7
0.0;terasort;40.92;34.4725
5.0;dfsioe;76.59;53.0075
5.0;pagerank;44.725;40.39
5.0;terasort;52.3525;40.0125
10.0;dfsioe;39.05;33.519999999999996
10.0;pagerank;40.1;28.765
10.0;terasort;41.325;35.05
15.0;dfsioe;52.897499999999994;37.265
15.0;pagerank;58.845;58.345
15.0;terasort;45.3375;75.18
20.0;dfsioe;69.98750000000001;48.557500000000005
20.0;pagerank;43.339999999999996;114.26
20.0;terasort;57.7175;64.2675
25.0;dfsioe;74.8325;60.8425
25.0;pagerank;41.165;84.89
25.0;terasort;52.730000000000004;38.3275
30.0;dfsioe;43.665;62.295
30.0;pagerank;140.67;141.125
30.0;terasort;31.4825;28.0
35.0;dfsioe;41.112500000000004;38.0725
35.0;pagerank;50.095;51.565
35.0;terasort;43.1475;31.215
40.0;dfsioe;53.4825;35.4825
40.0;pagerank;50.25;672.33
40.0;terasort;99.89;30.6475
45.0;dfsioe;42.1875;25.375
45.0;pagerank;66.25999999999999;182.78
45.0;terasort;1840.8524999999997;53.59
50.0;dfsioe;33.870000000000005;23.0425
50.0;pagerank;54.02;48.595
50.0;terasort;92.2075;104.495
55.0;dfsioe;37.260000000000005;28.845
55.0;pagerank;46.32;37.585
55.0;terasort;32.019999999999996;64.3575
60.0;dfsioe;35.9975;30.7025
60.0;pagerank;26.11;16.87
60.0;terasort;56.677499999999995;37.9825
65.0;dfsioe;74.29249999999999;58.4925
65.0;pagerank;43.235;54.47
65.0;terasort;55.745000000000005;57.315
70.0;dfsioe;57.6375;90.15
70.0;pagerank;34.5;27.735
70.0;terasort;33.11;28.435000000000002
75.0;dfsioe;57.6;484.21
75.0;pagerank;31.645;22.97
75.0;terasort;56.1275;85.0425
76.0;dfsioe;79.3;68.78999999999999
80.0;dfsioe;55.334999999999994;168.435
80.0;pagerank;35.114999999999995;94.655
80.0;terasort;30.7125;30.9375
81.0;dfsioe;58.26;158.085
85.0;dfsioe;81.03;160.605
85.0;pagerank;24.94;41.54
85.0;terasort;29.9275;27.534999999999997
86.0;dfsioe;323.745;4648.264999999999
90.0;dfsioe;132.465;150.715
90.0;pagerank;29.575;25.645
90.0;terasort;37.575;23.9275
91.0;dfsioe;153.095;3368.21
95.0;dfsioe;40.395;37.705
95.0;pagerank;66.27000000000001;60.415
95.0;terasort;37.2875;27.4025
96.0;dfsioe;16.799999999999997;17.17
100.0;dfsioe;50.394999999999996;40.905
100.0;pagerank;48.92;38.93
100.0;terasort;29.302500000000002;24.845000000000002
101.0;dfsioe;67.515;40.959999999999994
105.0;dfsioe;29.845;30.38
105.0;pagerank;48.575;34.325
105.0;terasort;24.305;14.639999999999999
106.0;dfsioe;34.62;35.57
110.0;dfsioe;56.195;49.165
110.0;pagerank;43.3;40.995000000000005
110.0;terasort;36.17;37.2525
111.0;dfsioe;201.03;197.26
115.0;dfsioe;49.894999999999996;87.795
115.0;pagerank;48.855000000000004;35.375
115.0;terasort;34.4275;30.1325
116.0;dfsioe;41.205;33.55
