timeline;application;%cpu_utilization
0.0;dfsioe;36.36
0.0;kmeans;25.630000000000003
0.0;pagerank;40.0
0.0;terasort;35.285000000000004
5.0;dfsioe;32.335
5.0;kmeans;29.200000000000003
5.0;pagerank;32.7
5.0;terasort;34.22
10.0;dfsioe;29.064999999999998
10.0;kmeans;29.955
10.0;pagerank;34.525
10.0;terasort;26.059999999999995
15.0;dfsioe;17.644999999999996
15.0;kmeans;32.464999999999996
15.0;pagerank;35.655
15.0;terasort;21.93
20.0;dfsioe;28.095
20.0;kmeans;27.769999999999996
20.0;pagerank;35.275
20.0;terasort;13.865000000000002
25.0;dfsioe;43.41
25.0;pagerank;49.129999999999995
25.0;terasort;57.81
30.0;dfsioe;70.575
30.0;pagerank;72.055
30.0;terasort;79.15
35.0;dfsioe;79.215
35.0;pagerank;71.785
35.0;terasort;81.315
40.0;dfsioe;75.87
40.0;pagerank;78.205
40.0;terasort;81.92500000000001
45.0;dfsioe;80.69500000000001
45.0;pagerank;76.465
45.0;terasort;82.115
50.0;dfsioe;70.08
50.0;pagerank;69.095
50.0;terasort;86.365
55.0;dfsioe;76.5
55.0;pagerank;61.905
55.0;terasort;65.965
60.0;dfsioe;68.84
60.0;pagerank;35.78
60.0;terasort;63.64
65.0;dfsioe;73.505
65.0;pagerank;14.324999999999996
65.0;terasort;38.21
70.0;dfsioe;76.11
70.0;pagerank;13.034999999999997
70.0;terasort;50.114999999999995
75.0;dfsioe;66.91499999999999
75.0;pagerank;25.589999999999996
75.0;terasort;41.845
80.0;dfsioe;68.685
80.0;pagerank;31.980000000000004
80.0;terasort;36.790000000000006
85.0;dfsioe;63.065000000000005
85.0;pagerank;31.465000000000003
85.0;terasort;32.06
90.0;dfsioe;53.165000000000006
90.0;pagerank;31.775
90.0;terasort;13.760000000000005
95.0;dfsioe;42.865
95.0;pagerank;24.270000000000003
95.0;terasort;22.365000000000002
100.0;dfsioe;39.575
100.0;pagerank;17.769999999999996
100.0;terasort;28.409999999999997
105.0;dfsioe;22.86
105.0;pagerank;21.285000000000004
105.0;terasort;30.384999999999998
110.0;dfsioe;46.33
110.0;pagerank;26.055
110.0;terasort;28.585
115.0;dfsioe;50.095
115.0;pagerank;22.325000000000003
115.0;terasort;17.799999999999997
120.0;dfsioe;42.09
120.0;pagerank;31.195
120.0;terasort;27.894999999999996
125.0;dfsioe;24.099999999999994
125.0;pagerank;42.269999999999996
125.0;terasort;12.300000000000004
130.0;dfsioe;16.939999999999998
130.0;pagerank;22.08
130.0;terasort;24.6
135.0;dfsioe;13.645000000000003
135.0;pagerank;16.955
135.0;terasort;33.464999999999996
140.0;dfsioe;20.980000000000004
140.0;pagerank;18.79
140.0;terasort;31.335
145.0;dfsioe;36.655
145.0;pagerank;30.544999999999995
145.0;terasort;26.904999999999994
150.0;dfsioe;45.19
150.0;pagerank;28.369999999999997
150.0;terasort;19.68
155.0;dfsioe;32.14
155.0;pagerank;30.86
155.0;terasort;24.229999999999997
160.0;dfsioe;31.985
160.0;pagerank;27.354999999999997
160.0;terasort;16.599999999999994
165.0;dfsioe;20.47
165.0;pagerank;17.875
165.0;terasort;20.864999999999995
170.0;dfsioe;21.244999999999997
170.0;pagerank;12.015
170.0;terasort;30.160000000000004
175.0;dfsioe;12.614999999999995
175.0;pagerank;17.645000000000003
175.0;terasort;31.92
180.0;dfsioe;25.435000000000002
180.0;pagerank;25.46
180.0;terasort;36.425
185.0;dfsioe;34.685
185.0;pagerank;25.535000000000004
185.0;terasort;14.204999999999998
190.0;dfsioe;36.915
190.0;pagerank;33.155
190.0;terasort;32.09
195.0;dfsioe;22.47
195.0;pagerank;31.395000000000003
195.0;terasort;13.170000000000002
200.0;dfsioe;16.93
200.0;pagerank;34.435
200.0;terasort;36.16
205.0;dfsioe;13.085
205.0;pagerank;15.165
210.0;dfsioe;14.945
210.0;pagerank;27.265
215.0;dfsioe;27.67
215.0;pagerank;25.28
220.0;dfsioe;30.955
220.0;pagerank;27.32
225.0;dfsioe;31.150000000000006
225.0;pagerank;26.009999999999998
230.0;dfsioe;24.964999999999996
230.0;pagerank;25.655
235.0;dfsioe;12.5
235.0;pagerank;23.104999999999997
240.0;dfsioe;9.510000000000005
240.0;pagerank;16.345
245.0;dfsioe;17.099999999999994
245.0;pagerank;26.275
250.0;dfsioe;30.519999999999996
250.0;pagerank;26.549999999999997
255.0;dfsioe;30.450000000000003
255.0;pagerank;31.810000000000002
260.0;dfsioe;32.19499999999999
260.0;pagerank;52.980000000000004
265.0;dfsioe;18.869999999999997
265.0;pagerank;57.269999999999996
270.0;dfsioe;14.029999999999994
270.0;pagerank;41.545
275.0;dfsioe;13.64
275.0;pagerank;37.97
280.0;dfsioe;20.950000000000003
280.0;pagerank;32.654999999999994
285.0;dfsioe;30.669999999999995
285.0;pagerank;43.955
290.0;dfsioe;32.86
290.0;pagerank;55.08
295.0;dfsioe;29.85
295.0;pagerank;35.74
300.0;dfsioe;21.275
300.0;pagerank;35.735
305.0;dfsioe;16.455
305.0;pagerank;18.549999999999997
310.0;dfsioe;14.555
310.0;pagerank;20.85
315.0;dfsioe;21.045
315.0;pagerank;14.880000000000003
320.0;dfsioe;33.35
320.0;pagerank;14.870000000000005
321.0;pagerank;39.33
325.0;dfsioe;41.165
325.0;pagerank;37.64
326.0;pagerank;31.0
330.0;dfsioe;39.425
330.0;pagerank;32.78
331.0;pagerank;11.829999999999998
335.0;dfsioe;31.520000000000003
335.0;pagerank;44.44
336.0;pagerank;12.030000000000001
340.0;dfsioe;14.309999999999995
340.0;pagerank;34.89
341.0;pagerank;11.75
345.0;dfsioe;12.584999999999994
345.0;pagerank;42.61
346.0;pagerank;16.939999999999998
350.0;dfsioe;20.905
350.0;pagerank;25.519999999999996
351.0;pagerank;32.769999999999996
355.0;dfsioe;25.665000000000006
355.0;pagerank;29.599999999999994
356.0;pagerank;41.14
360.0;dfsioe;32.894999999999996
360.0;pagerank;28.950000000000003
361.0;pagerank;50.29
365.0;dfsioe;44.29
365.0;pagerank;23.340000000000003
366.0;pagerank;71.98
370.0;dfsioe;31.43
370.0;pagerank;30.03
371.0;pagerank;53.04
375.0;dfsioe;23.58
375.0;pagerank;20.36
376.0;pagerank;11.340000000000003
380.0;dfsioe;22.39
380.0;pagerank;26.209999999999994
381.0;pagerank;17.310000000000002
385.0;dfsioe;13.884999999999998
385.0;pagerank;24.349999999999994
386.0;pagerank;30.430000000000007
390.0;dfsioe;33.295
390.0;pagerank;16.730000000000004
391.0;pagerank;30.180000000000007
395.0;dfsioe;40.51
395.0;pagerank;25.650000000000006
396.0;pagerank;25.159999999999997
400.0;dfsioe;35.45
400.0;pagerank;22.61
401.0;pagerank;13.629999999999995
405.0;dfsioe;32.919999999999995
405.0;pagerank;31.269999999999996
406.0;pagerank;24.849999999999994
410.0;dfsioe;46.705
410.0;pagerank;14.870000000000005
411.0;pagerank;14.049999999999997
415.0;dfsioe;44.03
415.0;pagerank;11.019999999999996
416.0;pagerank;60.85
420.0;dfsioe;26.760000000000005
420.0;pagerank;14.680000000000007
421.0;dfsioe;22.680000000000007
421.0;pagerank;84.69
425.0;dfsioe;30.83
425.0;pagerank;12.14
426.0;dfsioe;35.47
426.0;pagerank;47.66
430.0;dfsioe;35.349999999999994
430.0;pagerank;22.340000000000003
431.0;dfsioe;30.92
431.0;pagerank;27.260000000000005
435.0;dfsioe;36.54
435.0;pagerank;31.019999999999996
436.0;dfsioe;16.180000000000007
436.0;pagerank;9.980000000000004
440.0;dfsioe;31.08
440.0;pagerank;30.629999999999995
441.0;dfsioe;11.079999999999998
441.0;pagerank;11.280000000000001
445.0;dfsioe;28.909999999999997
445.0;pagerank;20.379999999999995
446.0;dfsioe;14.129999999999995
446.0;pagerank;21.060000000000002
450.0;dfsioe;31.42
450.0;pagerank;15.680000000000007
451.0;dfsioe;22.159999999999997
451.0;pagerank;16.629999999999995
455.0;dfsioe;15.060000000000002
455.0;pagerank;25.83
456.0;dfsioe;24.650000000000006
456.0;pagerank;30.849999999999994
460.0;dfsioe;14.629999999999995
460.0;pagerank;25.760000000000005
461.0;dfsioe;41.31
461.0;pagerank;31.78
465.0;dfsioe;34.464999999999996
465.0;pagerank;27.5
466.0;pagerank;19.590000000000003
470.0;dfsioe;36.44499999999999
470.0;pagerank;28.560000000000002
471.0;pagerank;11.829999999999998
475.0;dfsioe;28.895000000000003
475.0;pagerank;28.450000000000003
476.0;pagerank;17.549999999999997
480.0;dfsioe;18.439999999999998
480.0;pagerank;19.810000000000002
481.0;dfsioe;9.719999999999999
481.0;pagerank;10.049999999999997
485.0;dfsioe;15.379999999999995
485.0;pagerank;9.89
486.0;dfsioe;11.049999999999997
486.0;pagerank;18.989999999999995
490.0;dfsioe;23.590000000000003
490.0;pagerank;12.615000000000002
491.0;dfsioe;27.08
491.0;pagerank;34.61
495.0;dfsioe;29.129999999999995
495.0;pagerank;17.120000000000005
496.0;dfsioe;34.400000000000006
496.0;pagerank;29.92
500.0;dfsioe;33.94
500.0;pagerank;28.700000000000003
501.0;dfsioe;30.700000000000003
501.0;pagerank;20.709999999999994
505.0;dfsioe;35.040000000000006
505.0;pagerank;40.0
506.0;dfsioe;10.920000000000002
506.0;pagerank;10.39
510.0;dfsioe;31.799999999999997
510.0;pagerank;21.89
511.0;dfsioe;16.239999999999995
511.0;pagerank;11.75
515.0;dfsioe;19.36
515.0;pagerank;25.659999999999997
516.0;dfsioe;12.310000000000002
520.0;dfsioe;14.719999999999999
521.0;dfsioe;44.18
525.0;dfsioe;12.299999999999997
526.0;dfsioe;79.41
530.0;dfsioe;24.03
531.0;dfsioe;52.32
535.0;dfsioe;31.519999999999996
536.0;dfsioe;31.53
540.0;dfsioe;30.590000000000003
541.0;dfsioe;15.14
545.0;dfsioe;27.590000000000003
546.0;dfsioe;8.959999999999994
550.0;dfsioe;26.510000000000005
551.0;dfsioe;8.849999999999994
555.0;dfsioe;33.260000000000005
556.0;dfsioe;10.780000000000001
560.0;dfsioe;60.43
561.0;dfsioe;27.980000000000004
565.0;dfsioe;55.2
566.0;dfsioe;39.38
570.0;dfsioe;75.23
571.0;dfsioe;33.7
575.0;dfsioe;69.1
576.0;dfsioe;34.31999999999999
580.0;dfsioe;69.65
581.0;dfsioe;74.34
585.0;dfsioe;61.81
586.0;dfsioe;58.66
590.0;dfsioe;61.91
591.0;dfsioe;52.33
595.0;dfsioe;51.2
596.0;dfsioe;59.38
600.0;dfsioe;64.75999999999999
601.0;dfsioe;68.46000000000001
