timeline;application;bread/s;bwrtn/s
0.0;dfsioe;120.0;95.19999999999999
0.0;kmeans;4.0;101.6
0.0;pagerank;75.19999999999999;97.6
0.0;terasort;10.4;80.0
5.0;dfsioe;0.0;308.79999999999995
5.0;kmeans;0.0;128.67000000000002
5.0;pagerank;0.0;120.0
5.0;terasort;0.0;368.79999999999995
10.0;dfsioe;0.8;86.4
10.0;kmeans;0.0;42.400000000000006
10.0;pagerank;1.6;109.495
10.0;terasort;0.0;90.4
15.0;dfsioe;0.0;89.6
15.0;kmeans;0.0;80.8
15.0;pagerank;0.0;112.68
15.0;terasort;0.0;36.8
20.0;dfsioe;1.6;49.599999999999994
20.0;kmeans;0.0;89.6
20.0;pagerank;0.0;112.8
20.0;terasort;0.0;41.6
25.0;dfsioe;4.8;57.599999999999994
25.0;pagerank;6.4;94.33
25.0;terasort;3.19;219.2
30.0;dfsioe;1.6;98.4
30.0;pagerank;0.0;141.48
30.0;terasort;0.0;172.8
35.0;dfsioe;1.6;220.8
35.0;pagerank;0.0;123.83
35.0;terasort;0.0;167.2
40.0;dfsioe;0.0;114.28
40.0;pagerank;67.10499999999999;70.4
40.0;terasort;0.0;52.8
45.0;dfsioe;0.0;90.4
45.0;pagerank;5.6;71.14
45.0;terasort;0.8;91.2
50.0;dfsioe;2.4000000000000004;575.2
50.0;pagerank;9.600000000000001;226.4
50.0;terasort;1.6;49.599999999999994
55.0;dfsioe;0.8;3224.7999999999997
55.0;pagerank;0.8;336.0
55.0;terasort;0.0;215.055
60.0;dfsioe;0.0;15049.6
60.0;pagerank;0.0;121.6
60.0;terasort;1.6;92.0
65.0;dfsioe;0.0;5476.835
65.0;pagerank;0.0;137.735
65.0;terasort;0.0;143.095
70.0;dfsioe;1.6;405.36
70.0;pagerank;3.195;141.6
70.0;terasort;0.0;138.25
75.0;dfsioe;0.0;534.4
75.0;pagerank;0.0;399.6
75.0;terasort;0.0;448.8
80.0;dfsioe;1.6;69.6
80.0;pagerank;0.8;308.8
80.0;terasort;0.0;126.4
85.0;dfsioe;0.0;44.0
85.0;pagerank;0.0;180.8
85.0;terasort;0.0;268.8
90.0;dfsioe;0.0;48.8
90.0;pagerank;0.0;218.195
90.0;terasort;0.0;99.19999999999999
95.0;dfsioe;0.0;4368.8
95.0;pagerank;0.0;94.33
95.0;terasort;0.0;132.0
